Service,Src IP,Dst IP,Frame Size,Timestamp
ads,192.168.137.46,52.40.55.147,971,1553849008.199398
ads,52.40.55.147,192.168.137.46,870,1553849008.248243
ads,192.168.137.46,52.40.55.147,66,1553849008.24941
benign,23.49.141.226,192.168.137.46,97,1553849009.299468
benign,23.49.141.226,192.168.137.46,66,1553849009.299691
benign,192.168.137.46,23.49.141.226,66,1553849009.527741
benign,192.168.137.46,23.49.141.226,112,1553849009.529015
benign,192.168.137.46,23.49.141.226,97,1553849009.530505
benign,23.49.141.226,192.168.137.46,54,1553849009.55725
benign,23.49.141.226,192.168.137.46,54,1553849009.557498
benign,172.217.3.168,192.168.137.46,66,1553849009.779452
benign,172.217.3.168,192.168.137.46,66,1553849010.034212
benign,192.168.137.46,172.217.3.168,78,1553849010.067999
benign,23.49.141.226,192.168.137.46,97,1553849010.369584
benign,23.49.141.226,192.168.137.46,66,1553849010.369964
benign,23.49.141.226,192.168.137.46,97,1553849010.629427
benign,192.168.137.46,23.49.141.226,78,1553849010.683076
benign,192.168.137.46,23.49.141.226,112,1553849010.683843
benign,192.168.137.46,23.49.141.226,97,1553849010.68486
benign,23.49.141.226,192.168.137.46,54,1553849010.712754
benign,23.49.141.226,192.168.137.46,54,1553849010.712856
benign,192.168.137.46,142.46.208.46,74,1553849011.82186
benign,142.46.208.46,192.168.137.46,74,1553849011.873765
benign,192.168.137.46,142.46.208.46,66,1553849011.875571
benign,192.168.137.46,142.46.208.46,254,1553849011.877254
benign,142.46.208.46,192.168.137.46,1514,1553849011.932956
benign,142.46.208.46,192.168.137.46,1514,1553849011.933604
benign,142.46.208.46,192.168.137.46,1514,1553849011.933799
benign,142.46.208.46,192.168.137.46,308,1553849011.933941
benign,192.168.137.46,142.46.208.46,66,1553849011.934064
benign,192.168.137.46,142.46.208.46,66,1553849011.935282
benign,192.168.137.46,142.46.208.46,66,1553849011.935451
benign,192.168.137.46,142.46.208.46,66,1553849011.935799
benign,192.168.137.46,142.46.208.46,216,1553849011.950483
benign,142.46.208.46,192.168.137.46,141,1553849012.000703
benign,192.168.137.46,142.46.208.46,375,1553849012.003983
benign,142.46.208.46,192.168.137.46,66,1553849012.070215
benign,192.168.137.46,142.46.208.46,74,1553849012.797296
benign,142.46.208.46,192.168.137.46,74,1553849012.851688
benign,192.168.137.46,142.46.208.46,66,1553849012.853635
benign,192.168.137.46,142.46.208.46,286,1553849012.855151
benign,142.46.208.46,192.168.137.46,231,1553849012.909023
benign,192.168.137.46,142.46.208.46,66,1553849012.910936
benign,192.168.137.46,142.46.208.46,141,1553849012.911759
benign,142.46.208.46,192.168.137.46,66,1553849012.98472
benign,192.168.137.46,142.46.208.46,375,1553849012.986831
benign,142.46.208.46,192.168.137.46,66,1553849013.05441
benign,192.168.137.46,172.217.3.168,97,1553849013.408786
