Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,52.20.83.15,864,1553849906.095474
benign,52.20.83.15,192.168.137.46,553,1553849906.193699
benign,192.168.137.46,52.20.83.15,66,1553849906.195584
benign,192.168.137.46,52.20.83.15,796,1553849906.262927
benign,192.168.137.46,185.151.204.15,74,1553849906.288645
benign,52.20.83.15,192.168.137.46,490,1553849906.358492
benign,52.20.83.15,192.168.137.46,158,1553849906.358568
benign,192.168.137.46,52.20.83.15,66,1553849906.360197
benign,192.168.137.46,52.20.83.15,66,1553849906.360363
benign,192.168.137.46,157.240.3.20,1464,1553849906.390801
benign,192.168.137.46,157.240.3.20,172,1553849906.393102
benign,157.240.3.20,192.168.137.46,66,1553849906.420611
benign,157.240.3.20,192.168.137.46,66,1553849906.425525
benign,185.151.204.15,192.168.137.46,74,1553849906.432494
benign,192.168.137.46,185.151.204.15,66,1553849906.435287
benign,192.168.137.46,185.151.204.15,583,1553849906.437524
benign,157.240.3.20,192.168.137.46,786,1553849906.476412
benign,192.168.137.46,157.240.3.20,66,1553849906.477978
benign,192.168.137.46,157.240.3.20,915,1553849906.516587
benign,157.240.3.20,192.168.137.46,66,1553849906.546683
benign,192.168.137.46,157.240.3.20,100,1553849906.548159
benign,157.240.3.20,192.168.137.46,66,1553849906.577603
benign,185.151.204.15,192.168.137.46,1514,1553849906.5867
benign,185.151.204.15,192.168.137.46,1514,1553849906.587417
benign,185.151.204.15,192.168.137.46,803,1553849906.587684
benign,192.168.137.46,185.151.204.15,66,1553849906.58896
benign,192.168.137.46,185.151.204.15,66,1553849906.591121
benign,192.168.137.46,185.151.204.15,66,1553849906.592065
benign,192.168.137.46,185.151.204.15,192,1553849906.619364
benign,185.151.204.15,192.168.137.46,308,1553849906.760667
benign,192.168.137.46,185.151.204.15,1264,1553849906.770985
benign,185.151.204.15,192.168.137.46,330,1553849906.915626
benign,185.151.204.15,192.168.137.46,97,1553849906.915727
benign,185.151.204.15,192.168.137.46,66,1553849906.91649
benign,192.168.137.46,185.151.204.15,97,1553849906.920103
benign,192.168.137.46,185.151.204.15,66,1553849906.921509
benign,185.151.204.15,192.168.137.46,54,1553849907.061836
benign,157.240.3.20,192.168.137.46,745,1553849907.104469
benign,192.168.137.46,157.240.3.20,66,1553849907.106217
benign,192.168.137.46,52.20.83.15,812,1553849911.959063
benign,192.168.137.46,52.20.83.15,1384,1553849912.003112
benign,52.20.83.15,192.168.137.46,553,1553849912.056531
benign,192.168.137.46,52.20.83.15,66,1553849912.057615
benign,52.20.83.15,192.168.137.46,724,1553849912.099674
benign,192.168.137.46,52.20.83.15,66,1553849912.100747
benign,192.168.137.46,157.240.3.35,74,1553849912.251616
benign,157.240.3.35,192.168.137.46,74,1553849912.282478
benign,192.168.137.46,157.240.3.35,66,1553849912.283451
benign,192.168.137.46,157.240.3.35,583,1553849912.284312
benign,157.240.3.35,192.168.137.46,66,1553849912.317601
benign,157.240.3.35,192.168.137.46,1464,1553849912.318812
benign,157.240.3.35,192.168.137.46,1464,1553849912.318878
benign,157.240.3.35,192.168.137.46,411,1553849912.318919
benign,192.168.137.46,157.240.3.35,66,1553849912.320062
benign,192.168.137.46,157.240.3.35,66,1553849912.320169
benign,192.168.137.46,157.240.3.35,66,1553849912.320623
benign,192.168.137.46,157.240.3.35,130,1553849912.352214
benign,192.168.137.46,157.240.3.35,769,1553849912.359253
benign,157.240.3.35,192.168.137.46,229,1553849912.382212
benign,157.240.3.35,192.168.137.46,140,1553849912.382275
benign,192.168.137.46,157.240.3.35,66,1553849912.38368
benign,192.168.137.46,157.240.3.35,97,1553849912.383917
benign,157.240.3.35,192.168.137.46,110,1553849912.38732
benign,192.168.137.46,157.240.3.35,66,1553849912.426293
benign,157.240.3.35,192.168.137.46,66,1553849912.451066
benign,157.240.3.35,192.168.137.46,1464,1553849912.452317
benign,157.240.3.35,192.168.137.46,669,1553849912.452442
benign,192.168.137.46,157.240.3.35,66,1553849912.453926
benign,192.168.137.46,157.240.3.35,66,1553849912.454098
benign,192.168.137.46,157.240.3.35,966,1553849912.460016
benign,157.240.3.35,192.168.137.46,66,1553849912.490401
benign,157.240.3.35,192.168.137.46,101,1553849912.490517
benign,192.168.137.46,157.240.3.35,66,1553849912.529883
benign,157.240.3.35,192.168.137.46,1464,1553849912.752113
benign,157.240.3.35,192.168.137.46,1464,1553849912.752189
benign,157.240.3.35,192.168.137.46,1464,1553849912.75247
benign,157.240.3.35,192.168.137.46,1464,1553849912.752551
benign,157.240.3.35,192.168.137.46,1464,1553849912.752607
benign,157.240.3.35,192.168.137.46,1464,1553849912.75277
benign,157.240.3.35,192.168.137.46,1464,1553849912.752843
benign,157.240.3.35,192.168.137.46,1464,1553849912.752916
benign,157.240.3.35,192.168.137.46,1464,1553849912.753141
benign,157.240.3.35,192.168.137.46,1464,1553849912.753208
benign,192.168.137.46,157.240.3.35,66,1553849912.755304
benign,192.168.137.46,157.240.3.35,66,1553849912.755463
benign,192.168.137.46,157.240.3.35,66,1553849912.756138
benign,192.168.137.46,157.240.3.35,66,1553849912.756849
benign,192.168.137.46,157.240.3.35,66,1553849912.756974
benign,192.168.137.46,157.240.3.35,66,1553849912.757693
benign,192.168.137.46,157.240.3.35,66,1553849912.757985
benign,192.168.137.46,157.240.3.35,66,1553849912.75868
benign,192.168.137.46,157.240.3.35,66,1553849912.758977
benign,192.168.137.46,157.240.3.35,66,1553849912.759247
benign,157.240.3.35,192.168.137.46,1464,1553849912.782382
benign,157.240.3.35,192.168.137.46,1464,1553849912.78245
benign,157.240.3.35,192.168.137.46,1464,1553849912.782576
benign,157.240.3.35,192.168.137.46,1464,1553849912.782614
benign,157.240.3.35,192.168.137.46,1464,1553849912.782657
benign,157.240.3.35,192.168.137.46,1464,1553849912.782991
benign,157.240.3.35,192.168.137.46,1464,1553849912.783051
benign,157.240.3.35,192.168.137.46,1464,1553849912.783073
benign,157.240.3.35,192.168.137.46,1464,1553849912.783248
benign,157.240.3.35,192.168.137.46,1464,1553849912.783285
benign,192.168.137.46,157.240.3.35,66,1553849912.783767
benign,157.240.3.35,192.168.137.46,1464,1553849912.784472
benign,192.168.137.46,157.240.3.35,66,1553849912.784597
benign,157.240.3.35,192.168.137.46,1464,1553849912.78476
benign,192.168.137.46,157.240.3.35,66,1553849912.785027
benign,192.168.137.46,157.240.3.35,66,1553849912.785308
benign,192.168.137.46,157.240.3.35,66,1553849912.785965
benign,192.168.137.46,157.240.3.35,66,1553849912.786253
benign,157.240.3.35,192.168.137.46,1315,1553849912.786435
benign,192.168.137.46,157.240.3.35,66,1553849912.787049
benign,192.168.137.46,157.240.3.35,66,1553849912.787346
benign,192.168.137.46,157.240.3.35,66,1553849912.787592
benign,192.168.137.46,157.240.3.35,66,1553849912.78838
benign,192.168.137.46,157.240.3.35,66,1553849912.788951
benign,192.168.137.46,157.240.3.35,66,1553849912.789249
benign,192.168.137.46,157.240.3.35,66,1553849912.789579
benign,192.168.137.46,157.240.3.29,74,1553849912.816191
benign,192.168.137.46,157.240.3.29,74,1553849912.816941
