Service,Src IP,Dst IP,Frame Size,Timestamp
tracking,192.168.137.46,216.239.36.126,65,1553852696.748236
tracking,216.239.36.126,192.168.137.46,64,1553852696.80032
tracking,192.168.137.46,216.239.36.126,66,1553852710.627283
tracking,192.168.137.46,216.239.36.126,66,1553852710.628084
"ads,tracking",192.168.137.46,35.186.197.135,74,1553852710.657737
tracking,192.168.137.46,216.239.36.126,688,1553852710.683233
tracking,192.168.137.46,216.239.36.126,311,1553852710.683823
"ads,tracking",35.186.197.135,192.168.137.46,74,1553852710.688937
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852710.68992
"ads,tracking",192.168.137.46,35.186.197.135,283,1553852710.690465
tracking,216.239.36.126,192.168.137.46,64,1553852710.71817
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852710.721714
"ads,tracking",35.186.197.135,192.168.137.46,1484,1553852710.722644
"ads,tracking",35.186.197.135,192.168.137.46,1484,1553852710.722706
"ads,tracking",35.186.197.135,192.168.137.46,522,1553852710.723667
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852710.72418
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852710.724652
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852710.726017
"ads,tracking",192.168.137.46,35.186.197.135,159,1553852710.772695
"ads,tracking",192.168.137.46,35.186.197.135,1361,1553852710.773498
"ads,tracking",35.186.197.135,192.168.137.46,350,1553852710.799857
"ads,tracking",35.186.197.135,192.168.137.46,135,1553852710.799942
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852710.801334
"ads,tracking",192.168.137.46,35.186.197.135,104,1553852710.801637
"ads,tracking",35.186.197.135,192.168.137.46,104,1553852710.80851
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852710.847262
"ads,tracking",35.186.197.135,192.168.137.46,242,1553852710.848197
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852710.850118
"ads,tracking",192.168.137.46,35.186.197.135,112,1553852710.85332
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852710.926262
benign,192.168.137.46,172.217.14.244,74,1553852710.933503
benign,172.217.14.244,192.168.137.46,74,1553852710.962784
benign,192.168.137.46,172.217.14.244,66,1553852710.964
benign,192.168.137.46,172.217.14.244,281,1553852710.966167
benign,172.217.14.244,192.168.137.46,66,1553852711.000687
benign,172.217.14.244,192.168.137.46,1484,1553852711.01058
benign,172.217.14.244,192.168.137.46,1484,1553852711.010643
benign,172.217.14.244,192.168.137.46,319,1553852711.010665
benign,192.168.137.46,172.217.14.244,66,1553852711.011771
benign,192.168.137.46,172.217.14.244,66,1553852711.012435
benign,192.168.137.46,172.217.14.244,66,1553852711.013129
benign,192.168.137.46,172.217.14.244,159,1553852711.013294
benign,192.168.137.46,172.217.14.244,159,1553852711.022241
benign,192.168.137.46,172.217.14.244,361,1553852711.022754
benign,192.168.137.46,172.217.14.244,965,1553852711.024472
tracking,216.239.36.126,192.168.137.46,268,1553852711.033178
tracking,216.239.36.126,192.168.137.46,79,1553852711.033241
tracking,192.168.137.46,216.239.36.126,72,1553852711.034571
benign,172.217.14.244,192.168.137.46,350,1553852711.044886
benign,172.217.14.244,192.168.137.46,135,1553852711.045028
benign,192.168.137.46,172.217.14.244,66,1553852711.046578
benign,192.168.137.46,172.217.14.244,104,1553852711.04676
benign,172.217.14.244,192.168.137.46,66,1553852711.049751
benign,172.217.14.244,192.168.137.46,104,1553852711.053395
benign,172.217.14.244,192.168.137.46,66,1553852711.076496
benign,192.168.137.46,172.217.14.244,66,1553852711.093846
benign,172.217.14.244,192.168.137.46,279,1553852711.114782
benign,172.217.14.244,192.168.137.46,104,1553852711.115619
benign,172.217.14.244,192.168.137.46,112,1553852711.115728
benign,192.168.137.46,172.217.14.244,66,1553852711.116144
benign,192.168.137.46,172.217.14.244,66,1553852711.116684
benign,192.168.137.46,172.217.14.244,66,1553852711.117425
benign,192.168.137.46,172.217.14.244,112,1553852711.117661
benign,172.217.14.244,192.168.137.46,66,1553852711.190755
tracking,192.168.137.46,216.239.36.126,65,1553852725.800663
tracking,216.239.36.126,192.168.137.46,64,1553852725.855516
"ads,tracking",192.168.137.46,35.186.197.135,188,1553852733.719628
"ads,tracking",192.168.137.46,35.186.197.135,1230,1553852733.720334
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852733.752542
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852733.758454
"ads,tracking",35.186.197.135,192.168.137.46,112,1553852733.758565
"ads,tracking",35.186.197.135,192.168.137.46,184,1553852733.796504
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852733.797813
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852733.798673
"ads,tracking",192.168.137.46,35.186.197.135,112,1553852733.799789
benign,192.168.137.46,172.217.14.244,185,1553852733.841859
benign,192.168.137.46,172.217.14.244,1226,1553852733.842459
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852733.868804
benign,172.217.14.244,192.168.137.46,66,1553852733.874759
benign,172.217.14.244,192.168.137.46,66,1553852733.880488
benign,172.217.14.244,192.168.137.46,112,1553852733.88067
benign,192.168.137.46,172.217.14.244,66,1553852733.921043
benign,172.217.14.244,192.168.137.46,192,1553852733.931278
benign,172.217.14.244,192.168.137.46,104,1553852733.931458
benign,172.217.14.244,192.168.137.46,112,1553852733.931529
benign,192.168.137.46,172.217.14.244,66,1553852733.932824
benign,192.168.137.46,172.217.14.244,66,1553852733.933653
benign,192.168.137.46,172.217.14.244,66,1553852733.93388
benign,192.168.137.46,172.217.14.244,112,1553852733.935603
benign,172.217.14.244,192.168.137.46,66,1553852734.007074
benign,192.168.137.46,35.190.43.134,74,1553852745.382956
benign,35.190.43.134,192.168.137.46,74,1553852745.415443
benign,192.168.137.46,35.190.43.134,66,1553852745.519496
benign,192.168.137.46,35.190.43.134,289,1553852745.520512
benign,35.190.43.134,192.168.137.46,66,1553852745.556632
benign,35.190.43.134,192.168.137.46,1484,1553852745.557508
benign,35.190.43.134,192.168.137.46,1484,1553852745.557601
benign,192.168.137.46,35.190.43.134,66,1553852745.55866
benign,192.168.137.46,35.190.43.134,66,1553852745.559479
benign,35.190.43.134,192.168.137.46,525,1553852745.565851
benign,192.168.137.46,35.190.43.134,66,1553852745.566974
benign,192.168.137.46,35.190.43.134,159,1553852745.567957
benign,192.168.137.46,35.190.43.134,159,1553852745.57886
benign,192.168.137.46,35.190.43.134,1434,1553852745.584212
benign,192.168.137.46,35.190.43.134,1434,1553852745.58465
benign,192.168.137.46,35.190.43.134,966,1553852745.585045
benign,35.190.43.134,192.168.137.46,350,1553852745.598175
benign,35.190.43.134,192.168.137.46,135,1553852745.59899
benign,192.168.137.46,35.190.43.134,66,1553852745.60022
benign,192.168.137.46,35.190.43.134,104,1553852745.601693
benign,35.190.43.134,192.168.137.46,104,1553852745.60824
benign,35.190.43.134,192.168.137.46,66,1553852745.619969
benign,35.190.43.134,192.168.137.46,66,1553852745.634277
benign,35.190.43.134,192.168.137.46,228,1553852745.671797
benign,192.168.137.46,35.190.43.134,66,1553852745.673249
benign,192.168.137.46,35.190.43.134,112,1553852745.674143
benign,35.190.43.134,192.168.137.46,66,1553852745.747095
"ads,tracking",192.168.137.46,35.186.197.135,188,1553852746.226317
"ads,tracking",192.168.137.46,35.186.197.135,956,1553852746.228367
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852746.258785
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852746.264657
"ads,tracking",35.186.197.135,192.168.137.46,112,1553852746.264757
"ads,tracking",35.186.197.135,192.168.137.46,183,1553852746.302845
"ads,tracking",192.168.137.46,35.186.197.135,66,1553852746.304117
"ads,tracking",192.168.137.46,35.186.197.135,112,1553852746.30521
benign,192.168.137.46,172.217.14.244,183,1553852746.330206
benign,192.168.137.46,172.217.14.244,950,1553852746.33089
benign,172.217.14.244,192.168.137.46,66,1553852746.362806
benign,172.217.14.244,192.168.137.46,66,1553852746.367692
benign,172.217.14.244,192.168.137.46,112,1553852746.367769
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852746.378354
benign,192.168.137.46,172.217.14.244,66,1553852746.408061
benign,172.217.14.244,192.168.137.46,192,1553852746.417979
benign,172.217.14.244,192.168.137.46,104,1553852746.41808
benign,172.217.14.244,192.168.137.46,112,1553852746.418138
benign,192.168.137.46,172.217.14.244,66,1553852746.420279
benign,192.168.137.46,172.217.14.244,66,1553852746.420449
benign,192.168.137.46,172.217.14.244,66,1553852746.422277
benign,192.168.137.46,172.217.14.244,112,1553852746.423025
benign,172.217.14.244,192.168.137.46,66,1553852746.494247
"ads,tracking",192.168.137.46,35.186.197.135,187,1553852768.90433
"ads,tracking",192.168.137.46,35.186.197.135,1312,1553852768.905939
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852768.936745
"ads,tracking",35.186.197.135,192.168.137.46,66,1553852768.942616
