Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,185.151.204.14,74,1553853628.921453
benign,192.168.137.46,157.240.3.35,74,1553853628.944433
benign,157.240.3.35,192.168.137.46,74,1553853628.974162
benign,192.168.137.46,157.240.3.35,66,1553853628.977527
benign,192.168.137.46,157.240.3.35,583,1553853628.979508
benign,157.240.3.35,192.168.137.46,66,1553853629.012167
benign,157.240.3.35,192.168.137.46,1464,1553853629.012976
benign,157.240.3.35,192.168.137.46,1464,1553853629.014008
benign,157.240.3.35,192.168.137.46,410,1553853629.014095
benign,192.168.137.46,157.240.3.35,66,1553853629.017166
benign,192.168.137.46,157.240.3.35,66,1553853629.017318
benign,192.168.137.46,157.240.3.35,66,1553853629.017751
benign,192.168.137.46,157.240.3.35,130,1553853629.029372
benign,192.168.137.46,157.240.3.35,152,1553853629.029867
benign,192.168.137.46,157.240.3.35,677,1553853629.031858
benign,157.240.3.35,192.168.137.46,229,1553853629.055618
benign,157.240.3.35,192.168.137.46,140,1553853629.055705
benign,192.168.137.46,157.240.3.35,66,1553853629.0569
benign,192.168.137.46,157.240.3.35,97,1553853629.058969
benign,157.240.3.35,192.168.137.46,66,1553853629.060995
benign,157.240.3.35,192.168.137.46,110,1553853629.061105
benign,185.151.204.14,192.168.137.46,74,1553853629.070053
benign,192.168.137.46,185.151.204.14,66,1553853629.071285
benign,192.168.137.46,185.151.204.14,583,1553853629.072324
benign,192.168.137.46,157.240.3.35,66,1553853629.100676
benign,157.240.3.35,192.168.137.46,1464,1553853629.121788
benign,157.240.3.35,192.168.137.46,641,1553853629.12192
benign,192.168.137.46,157.240.3.35,66,1553853629.123539
benign,192.168.137.46,157.240.3.35,66,1553853629.124404
benign,192.168.137.46,157.240.3.35,957,1553853629.13093
benign,157.240.3.35,192.168.137.46,101,1553853629.160244
benign,192.168.137.46,157.240.3.35,66,1553853629.200717
benign,185.151.204.14,192.168.137.46,1514,1553853629.232336
benign,185.151.204.14,192.168.137.46,1514,1553853629.232949
benign,185.151.204.14,192.168.137.46,803,1553853629.233287
benign,192.168.137.46,185.151.204.14,66,1553853629.234078
benign,192.168.137.46,185.151.204.14,66,1553853629.234423
benign,192.168.137.46,185.151.204.14,66,1553853629.235154
benign,192.168.137.46,185.151.204.14,192,1553853629.246945
benign,185.151.204.14,192.168.137.46,308,1553853629.395198
benign,192.168.137.46,185.151.204.14,1287,1553853629.398421
benign,157.240.3.35,192.168.137.46,1464,1553853629.456815
benign,157.240.3.35,192.168.137.46,1464,1553853629.456933
benign,157.240.3.35,192.168.137.46,1464,1553853629.457012
benign,157.240.3.35,192.168.137.46,1464,1553853629.457059
benign,157.240.3.35,192.168.137.46,1464,1553853629.457136
benign,157.240.3.35,192.168.137.46,1464,1553853629.457369
benign,157.240.3.35,192.168.137.46,1464,1553853629.457451
benign,157.240.3.35,192.168.137.46,1464,1553853629.457538
benign,192.168.137.46,157.240.3.35,66,1553853629.458448
benign,192.168.137.46,157.240.3.35,66,1553853629.458669
benign,157.240.3.35,192.168.137.46,1464,1553853629.461137
benign,192.168.137.46,157.240.3.35,66,1553853629.461145
benign,157.240.3.35,192.168.137.46,1464,1553853629.46138
benign,192.168.137.46,157.240.3.35,66,1553853629.461842
benign,192.168.137.46,157.240.3.35,66,1553853629.462035
benign,192.168.137.46,157.240.3.35,66,1553853629.464113
benign,192.168.137.46,157.240.3.35,66,1553853629.464311
benign,192.168.137.46,157.240.3.35,66,1553853629.464601
benign,192.168.137.46,157.240.3.35,66,1553853629.464892
benign,192.168.137.46,157.240.3.35,66,1553853629.465169
benign,157.240.3.35,192.168.137.46,1464,1553853629.485407
benign,157.240.3.35,192.168.137.46,1464,1553853629.485525
benign,157.240.3.35,192.168.137.46,1464,1553853629.485605
benign,157.240.3.35,192.168.137.46,1464,1553853629.485651
benign,157.240.3.35,192.168.137.46,1464,1553853629.485725
benign,157.240.3.35,192.168.137.46,1464,1553853629.485838
benign,157.240.3.35,192.168.137.46,1464,1553853629.486046
benign,157.240.3.35,192.168.137.46,1464,1553853629.486171
benign,192.168.137.46,157.240.3.35,66,1553853629.486494
benign,192.168.137.46,157.240.3.35,66,1553853629.488787
benign,192.168.137.46,157.240.3.35,66,1553853629.489484
benign,192.168.137.46,157.240.3.35,66,1553853629.489671
benign,157.240.3.35,192.168.137.46,1464,1553853629.490055
benign,157.240.3.35,192.168.137.46,1464,1553853629.490357
benign,192.168.137.46,157.240.3.35,66,1553853629.490371
benign,157.240.3.35,192.168.137.46,1464,1553853629.490762
benign,192.168.137.46,157.240.3.35,66,1553853629.490776
benign,157.240.3.35,192.168.137.46,1464,1553853629.491048
benign,192.168.137.46,157.240.3.35,66,1553853629.491061
benign,192.168.137.46,157.240.3.35,66,1553853629.491601
benign,192.168.137.46,157.240.3.35,66,1553853629.492059
