timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553142392.215446,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,97
1553142392.215665,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,66
1553142392.715862,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553142392.750956,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553142400.525385,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",1434
1553142400.527347,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",726
1553142400.564538,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553142400.604498,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",120
1553142400.60982,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553142400.705994,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",217
1553142400.709748,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553142402.131023,192.168.137.186,52.49.153.180,benign,,74
1553142402.287726,52.49.153.180,192.168.137.186,benign,,74
1553142402.290045,192.168.137.186,52.49.153.180,benign,,66
1553142402.293304,192.168.137.186,52.49.153.180,benign,,247
1553142402.449997,52.49.153.180,192.168.137.186,benign,,66
1553142402.451943,52.49.153.180,192.168.137.186,benign,,1514
1553142402.452147,52.49.153.180,192.168.137.186,benign,,1514
1553142402.452237,52.49.153.180,192.168.137.186,benign,,467
1553142402.454975,192.168.137.186,52.49.153.180,benign,,66
1553142402.454976,192.168.137.186,52.49.153.180,benign,,66
1553142402.454977,192.168.137.186,52.49.153.180,benign,,66
1553142402.471344,192.168.137.186,52.49.153.180,benign,,192
1553142402.624368,52.49.153.180,192.168.137.186,benign,,117
1553142402.628216,192.168.137.186,52.49.153.180,benign,,1514
1553142402.632317,192.168.137.186,52.49.153.180,benign,,731
1553142402.786681,52.49.153.180,192.168.137.186,benign,,66
1553142402.790231,52.49.153.180,192.168.137.186,benign,,294
1553142402.795746,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,97
1553142402.795747,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,66
1553142402.825078,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,66
1553142402.825755,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,66
1553142402.827916,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,66
1553142402.830781,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,66
1553142402.831097,192.168.137.186,52.49.153.180,benign,,66
1553142402.837261,192.168.137.186,52.30.118.244,benign,,74
1553142402.993236,52.30.118.244,192.168.137.186,benign,,74
1553142402.995788,192.168.137.186,52.30.118.244,benign,,66
1553142402.995789,192.168.137.186,52.30.118.244,benign,,249
1553142403.15504,52.30.118.244,192.168.137.186,benign,,66
1553142403.156913,52.30.118.244,192.168.137.186,benign,,1514
1553142403.157062,52.30.118.244,192.168.137.186,benign,,1514
1553142403.15714,52.30.118.244,192.168.137.186,benign,,467
1553142403.159096,192.168.137.186,52.30.118.244,benign,,66
1553142403.159097,192.168.137.186,52.30.118.244,benign,,66
1553142403.159098,192.168.137.186,52.30.118.244,benign,,66
1553142403.172432,192.168.137.186,52.30.118.244,benign,,192
1553142403.325241,52.30.118.244,192.168.137.186,benign,,117
1553142403.329799,192.168.137.186,52.30.118.244,benign,,373
1553142403.523901,52.30.118.244,192.168.137.186,benign,,66
1553142406.340215,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",988
1553142406.412837,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",120
1553142406.417525,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553142406.515514,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",217
1553142406.517789,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
