timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553140549.977104,192.168.137.186,52.84.50.150,benign,,74
1553140550.010056,52.84.50.150,192.168.137.186,benign,,74
1553140550.012194,192.168.137.186,52.84.50.150,benign,,66
1553140550.012195,192.168.137.186,52.84.50.150,benign,,583
1553140550.015052,157.240.3.20,192.168.137.186,benign,,1464
1553140550.01523,157.240.3.20,192.168.137.186,benign,,796
1553140550.017342,192.168.137.186,157.240.3.20,benign,,66
1553140550.031066,192.168.137.186,52.84.50.17,benign,,812
1553140550.045173,192.168.137.186,52.84.50.17,benign,,814
1553140550.051136,52.84.50.150,192.168.137.186,benign,,66
1553140550.051679,52.84.50.150,192.168.137.186,benign,,175
1553140550.052943,52.84.50.150,192.168.137.186,benign,,1514
1553140550.053227,52.84.50.150,192.168.137.186,benign,,1514
1553140550.053424,52.84.50.150,192.168.137.186,benign,,1514
1553140550.053888,52.84.50.150,192.168.137.186,benign,,1514
1553140550.054277,52.84.50.150,192.168.137.186,benign,,1514
1553140550.054505,192.168.137.186,52.84.50.150,benign,,66
1553140550.055872,192.168.137.186,52.84.50.150,benign,,66
1553140550.055873,192.168.137.186,52.84.50.150,benign,,66
1553140550.055873,192.168.137.186,52.84.50.150,benign,,66
1553140550.055873,192.168.137.186,52.84.50.150,benign,,66
1553140550.055873,192.168.137.186,52.84.50.150,benign,,66
1553140550.056881,52.84.50.17,192.168.137.186,benign,,281
1553140550.058562,52.84.50.17,192.168.137.186,benign,,66
1553140550.060977,192.168.137.186,52.84.50.17,benign,,66
1553140550.072499,52.84.50.17,192.168.137.186,benign,,66
1553140550.074005,192.168.137.186,157.240.3.20,benign,,1464
1553140550.074006,192.168.137.186,157.240.3.20,benign,,1464
1553140550.074774,52.84.50.17,192.168.137.186,benign,,280
1553140550.075711,192.168.137.186,157.240.3.20,benign,,767
1553140550.076886,192.168.137.186,52.84.50.17,benign,,66
1553140550.086231,52.84.50.150,192.168.137.186,benign,,161
1553140550.092792,192.168.137.186,52.84.50.150,benign,,66
1553140550.096776,192.168.137.186,52.84.50.150,benign,,192
1553140550.104279,157.240.3.20,192.168.137.186,benign,,66
1553140550.109611,192.168.137.186,52.84.50.150,benign,,159
1553140550.109624,157.240.3.20,192.168.137.186,benign,,66
1553140550.109767,157.240.3.20,192.168.137.186,benign,,66
1553140550.111217,192.168.137.186,52.84.50.150,benign,,958
1553140550.128777,52.84.50.150,192.168.137.186,benign,,185
