timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553143330.363989,192.168.137.186,185.151.204.8,benign,,74
1553143330.3663,192.168.137.186,185.151.204.8,benign,,74
1553143330.521976,185.151.204.8,192.168.137.186,benign,,74
1553143330.524925,192.168.137.186,185.151.204.8,benign,,66
1553143330.524926,192.168.137.186,185.151.204.8,benign,,246
1553143330.531846,185.151.204.8,192.168.137.186,benign,,74
1553143330.534251,192.168.137.186,185.151.204.8,benign,,66
1553143330.535608,192.168.137.186,185.151.204.8,benign,,246
1553143330.688069,185.151.204.8,192.168.137.186,benign,,1514
1553143330.689017,185.151.204.8,192.168.137.186,benign,,1514
1553143330.689259,185.151.204.8,192.168.137.186,benign,,803
1553143330.690659,192.168.137.186,185.151.204.8,benign,,66
1553143330.69066,192.168.137.186,185.151.204.8,benign,,66
1553143330.691918,192.168.137.186,185.151.204.8,benign,,66
1553143330.704143,185.151.204.8,192.168.137.186,benign,,1514
1553143330.705387,185.151.204.8,192.168.137.186,benign,,1514
1553143330.705617,185.151.204.8,192.168.137.186,benign,,803
1553143330.708126,192.168.137.186,185.151.204.8,benign,,192
1553143330.708127,192.168.137.186,185.151.204.8,benign,,66
1553143330.713612,192.168.137.186,185.151.204.8,benign,,66
1553143330.713613,192.168.137.186,185.151.204.8,benign,,66
1553143330.721938,192.168.137.186,185.151.204.8,benign,,192
1553143330.863994,185.151.204.8,192.168.137.186,benign,,308
1553143330.876798,192.168.137.186,185.151.204.8,benign,,1386
1553143330.883044,185.151.204.8,192.168.137.186,benign,,308
1553143330.910124,192.168.137.186,185.151.204.8,benign,,1200
1553143331.009457,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,74
1553143331.03506,185.151.204.8,192.168.137.186,benign,,330
1553143331.035246,185.151.204.8,192.168.137.186,benign,,97
1553143331.036057,185.151.204.8,192.168.137.186,benign,,66
1553143331.039824,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,74
1553143331.042346,192.168.137.186,185.151.204.8,benign,,97
1553143331.042347,192.168.137.186,185.151.204.8,benign,,66
1553143331.042348,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,66
1553143331.04657,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,260
1553143331.073832,185.151.204.8,192.168.137.186,benign,,344
1553143331.074016,185.151.204.8,192.168.137.186,benign,,97
1553143331.074994,185.151.204.8,192.168.137.186,benign,,66
1553143331.080136,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,66
1553143331.081168,192.168.137.186,185.151.204.8,benign,,97
1553143331.081169,192.168.137.186,185.151.204.8,benign,,66
1553143331.082029,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,1484
1553143331.082223,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,1484
1553143331.082817,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,566
1553143331.085905,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,66
1553143331.085906,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,66
1553143331.085907,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,66
1553143331.100356,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,159
1553143331.127392,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,350
1553143331.129674,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,737
1553143331.197123,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,66
1553143331.19792,185.151.204.8,192.168.137.186,benign,,54
1553143331.209949,192.168.137.186,157.240.3.20,benign,,97
1553143331.209951,192.168.137.186,157.240.3.20,benign,,66
1553143331.213553,35.241.26.53,192.168.137.186,ads,config.uca.cloud.unity3d.com,466
1553143331.217958,192.168.137.186,157.240.3.20,benign,,97
1553143331.21796,192.168.137.186,157.240.3.20,benign,,66
1553143331.240997,185.151.204.8,192.168.137.186,benign,,54
1553143331.242534,157.240.3.20,192.168.137.186,benign,,66
1553143331.242865,157.240.3.20,192.168.137.186,benign,,97
1553143331.243695,157.240.3.20,192.168.137.186,benign,,66
1553143331.245747,192.168.137.186,157.240.3.20,benign,,54
1553143331.245748,192.168.137.186,157.240.3.20,benign,,54
1553143331.245887,157.240.3.20,192.168.137.186,benign,,66
1553143331.249756,192.168.137.186,157.240.3.20,benign,,54
1553143331.252057,157.240.3.20,192.168.137.186,benign,,66
1553143331.252363,157.240.3.20,192.168.137.186,benign,,97
1553143331.253019,157.240.3.20,192.168.137.186,benign,,66
1553143331.254124,192.168.137.186,35.241.26.53,ads,config.uca.cloud.unity3d.com,66
1553143331.254125,192.168.137.186,157.240.3.20,benign,,54
1553143331.255435,192.168.137.186,157.240.3.20,benign,,54
1553143331.386742,192.168.137.186,52.84.51.173,benign,,74
1553143331.42018,52.84.51.173,192.168.137.186,benign,,74
1553143331.422537,192.168.137.186,52.84.51.173,benign,,66
1553143331.42544,192.168.137.186,52.84.51.173,benign,,249
1553143331.460123,52.84.51.173,192.168.137.186,benign,,66
1553143331.460916,52.84.51.173,192.168.137.186,benign,,166
1553143331.461909,52.84.51.173,192.168.137.186,benign,,1514
1553143331.462063,52.84.51.173,192.168.137.186,benign,,1514
1553143331.462149,52.84.51.173,192.168.137.186,benign,,1514
1553143331.463268,192.168.137.186,52.84.51.173,benign,,66
1553143331.466015,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,74
1553143331.466016,192.168.137.186,52.84.51.173,benign,,66
1553143331.466017,192.168.137.186,52.84.51.173,benign,,66
1553143331.468793,192.168.137.186,52.84.51.173,benign,,66
1553143331.49362,52.84.51.173,192.168.137.186,benign,,1377
1553143331.496845,192.168.137.186,52.84.51.173,benign,,66
1553143331.523294,192.168.137.186,52.84.51.173,benign,,192
1553143331.548358,52.1.186.159,192.168.137.186,ads,p-v2.presage.io,74
1553143331.550939,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,66
1553143331.553963,52.84.51.173,192.168.137.186,benign,,185
1553143331.558999,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,250
1553143331.595546,192.168.137.186,52.84.51.173,benign,,66
1553143331.625572,52.84.51.173,192.168.137.186,benign,,117
1553143331.629851,192.168.137.186,52.84.51.173,benign,,66
1553143331.640099,52.1.186.159,192.168.137.186,ads,p-v2.presage.io,66
1553143331.641109,52.1.186.159,192.168.137.186,ads,p-v2.presage.io,1514
1553143331.642141,52.1.186.159,192.168.137.186,ads,p-v2.presage.io,1514
1553143331.642443,52.1.186.159,192.168.137.186,ads,p-v2.presage.io,1266
1553143331.643236,52.1.186.159,192.168.137.186,ads,p-v2.presage.io,1235
1553143331.643505,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,66
1553143331.646501,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,66
1553143331.646502,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,66
1553143331.646503,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,66
1553143331.691505,192.168.137.186,52.84.51.173,benign,,797
1553143331.738078,192.168.137.186,52.1.186.159,ads,p-v2.presage.io,192
1553143331.761193,52.84.51.173,192.168.137.186,benign,,66
