timestamp,src ip,dst ip,service,domain,frame size
1553145176.120092,192.168.137.186,52.84.50.103,benign,cmp.vidcoin.com,773
1553145177.081978,192.168.137.186,52.84.50.103,benign,cmp.vidcoin.com,773
1553145179.254922,192.168.137.186,52.84.50.103,benign,cmp.vidcoin.com,773
1553145180.958968,192.168.137.186,52.84.50.103,benign,cmp.vidcoin.com,773
1553145181.840868,192.168.137.186,52.84.50.103,benign,cmp.vidcoin.com,773
1553145183.709856,192.168.137.186,52.84.50.103,benign,cmp.vidcoin.com,773
1553145185.292101,192.168.137.186,52.84.50.103,benign,cmp.vidcoin.com,773
1553145560.514122,192.168.137.186,34.214.35.56,ads,insight.adsrvr.org,1511
1553145561.075832,192.168.137.186,216.58.193.65,ads,tpc.googlesyndication.com,479
1553145561.109493,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,458
1553145561.209517,192.168.137.186,216.58.193.65,ads,tpc.googlesyndication.com,593
1553145562.170958,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,497
1553145562.271652,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,497
1553145562.400236,192.168.137.186,209.15.224.17,ads,use-tor.adsrvr.org,1125
1553145562.960471,192.168.137.186,13.32.252.160,ads,choices.trustarc.com,578
1553145563.207186,192.168.137.186,13.32.252.160,ads,choices.trustarc.com,528
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553145173.224657,23.59.158.55,192.168.137.186,benign,,530
1553145173.2272,192.168.137.186,23.59.158.55,benign,,66
1553145173.231176,192.168.137.186,52.84.50.103,benign,,66
1553145173.265114,52.84.50.103,192.168.137.186,benign,,66
1553145173.26735,192.168.137.186,52.84.50.103,benign,,66
1553145173.274154,52.20.201.67,192.168.137.186,benign,,66
1553145173.275186,52.20.201.67,192.168.137.186,benign,,1514
1553145173.27533,52.20.201.67,192.168.137.186,benign,,1514
1553145173.275406,52.20.201.67,192.168.137.186,benign,,1266
1553145173.275525,52.20.201.67,192.168.137.186,benign,,1249
