timestamp,src ip,dst ip,service,domain,frame size
1553147154.633998,192.168.137.186,13.94.251.209,benign,hoodrunner.kiloo.com,389
1553147289.105344,192.168.137.186,13.94.251.209,benign,hoodrunner.kiloo.com,389
1553147412.338335,192.168.137.186,13.94.251.209,benign,hoodrunner.kiloo.com,389
1553147549.260084,192.168.137.186,13.94.251.209,benign,hoodrunner.kiloo.com,389
1553147670.526452,192.168.137.186,13.94.251.209,benign,hoodrunner.kiloo.com,389
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553147060.907069,13.95.170.235,192.168.137.186,benign,,1514
1553147060.907416,13.95.170.235,192.168.137.186,benign,,264
1553147061.237326,13.95.170.235,192.168.137.186,benign,,1514
1553147061.243195,192.168.137.186,13.95.170.235,benign,,66
1553147061.243196,192.168.137.186,13.95.170.235,benign,,78
1553147103.839556,192.168.137.186,173.194.203.188,benign,,101
1553147103.875652,173.194.203.188,192.168.137.186,benign,,99
1553147103.90543,192.168.137.186,173.194.203.188,benign,,66
1553147120.044474,216.115.100.124,192.168.137.186,benign,,97
1553147120.044745,216.115.100.124,192.168.137.186,benign,,66
1553147120.130298,216.115.100.124,192.168.137.186,benign,,66
1553147120.304536,192.168.137.186,216.115.100.124,benign,,66
1553147120.304537,192.168.137.186,216.115.100.124,benign,,78
1553147154.215392,192.168.137.186,13.94.251.209,benign,,74
1553147154.379376,13.94.251.209,192.168.137.186,benign,,74
1553147154.63247,192.168.137.186,13.94.251.209,benign,,66
1553147154.802676,13.94.251.209,192.168.137.186,benign,,66
1553147154.802901,13.94.251.209,192.168.137.186,benign,,91
1553147154.803699,13.94.251.209,192.168.137.186,benign,,316
1553147154.803852,13.94.251.209,192.168.137.186,benign,,66
1553147154.80605,192.168.137.186,13.94.251.209,benign,,66
1553147154.806052,192.168.137.186,13.94.251.209,benign,,66
1553147154.813328,192.168.137.186,13.94.251.209,benign,,66
1553147154.976301,13.94.251.209,192.168.137.186,benign,,66
1553147155.498516,52.174.46.206,192.168.137.186,benign,,54
1553147188.845356,13.95.170.235,192.168.137.186,benign,,54
1553147288.937072,192.168.137.186,13.94.251.209,benign,,74
1553147289.101681,13.94.251.209,192.168.137.186,benign,,74
1553147289.103984,192.168.137.186,13.94.251.209,benign,,66
1553147289.275861,13.94.251.209,192.168.137.186,benign,,66
1553147289.372541,13.94.251.209,192.168.137.186,benign,,316
1553147289.372727,13.94.251.209,192.168.137.186,benign,,91
1553147289.373531,13.94.251.209,192.168.137.186,benign,,66
1553147289.376323,192.168.137.186,13.94.251.209,benign,,78
1553147289.378134,192.168.137.186,13.94.251.209,benign,,66
1553147289.547073,13.94.251.209,192.168.137.186,benign,,66
1553147327.211157,192.168.137.186,108.161.188.128,ads,"config.safedk.com,form-cdn.pardot.com,asset.pagefair.net",85
1553147327.211158,192.168.137.186,108.161.188.128,ads,"config.safedk.com,form-cdn.pardot.com,asset.pagefair.net",54
1553147327.2442,108.161.188.128,192.168.137.186,ads,"config.safedk.com,form-cdn.pardot.com,asset.pagefair.net",54
1553147329.722954,192.168.137.186,216.115.100.124,benign,,97
1553147329.722956,192.168.137.186,216.115.100.124,benign,,66
1553147329.756586,216.115.100.124,192.168.137.186,benign,,54
1553147334.017866,192.168.137.186,173.194.203.188,benign,,101
1553147334.054463,173.194.203.188,192.168.137.186,benign,,99
1553147334.057766,192.168.137.186,173.194.203.188,benign,,66
1553147340.634593,173.194.203.188,192.168.137.186,benign,,105
1553147340.635064,173.194.203.188,192.168.137.186,benign,,242
1553147340.635524,173.194.203.188,192.168.137.186,benign,,512
1553147340.635665,173.194.203.188,192.168.137.186,benign,,463
1553147340.854592,173.194.203.188,192.168.137.186,benign,,463
1553147340.954038,173.194.203.188,192.168.137.186,benign,,609
1553147340.95491,173.194.203.188,192.168.137.186,benign,,1121
1553147340.956188,173.194.203.188,192.168.137.186,benign,,413
1553147341.107308,192.168.137.186,173.194.203.188,benign,,66
