timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553148898.807016,192.168.137.186,54.191.162.81,benign,,1229
1553148898.871425,54.191.162.81,192.168.137.186,benign,,279
1553148898.872116,54.191.162.81,192.168.137.186,benign,,104
1553148898.875376,192.168.137.186,54.191.162.81,benign,,66
1553148898.875377,192.168.137.186,54.191.162.81,benign,,66
1553148899.497419,192.168.137.186,54.191.162.81,benign,,1262
1553148899.566311,54.191.162.81,192.168.137.186,benign,,279
1553148899.566508,54.191.162.81,192.168.137.186,benign,,104
1553148899.568342,192.168.137.186,157.240.3.35,benign,,74
1553148899.568343,192.168.137.186,54.191.162.81,benign,,66
1553148899.57237,192.168.137.186,54.191.162.81,benign,,66
1553148899.604468,157.240.3.35,192.168.137.186,benign,,74
1553148899.606811,192.168.137.186,157.240.3.35,benign,,66
1553148899.606813,192.168.137.186,157.240.3.35,benign,,583
1553148899.644496,157.240.3.35,192.168.137.186,benign,,66
1553148899.645279,157.240.3.35,192.168.137.186,benign,,1464
1553148899.646423,157.240.3.35,192.168.137.186,benign,,1464
1553148899.646678,157.240.3.35,192.168.137.186,benign,,410
1553148899.647442,192.168.137.186,157.240.3.35,benign,,66
1553148899.648831,192.168.137.186,157.240.3.35,benign,,66
1553148899.648833,192.168.137.186,157.240.3.35,benign,,66
1553148899.650146,192.168.137.186,157.240.3.35,benign,,130
1553148899.670201,192.168.137.186,157.240.3.35,benign,,152
1553148899.671795,192.168.137.186,157.240.3.35,benign,,658
1553148899.684331,157.240.3.35,192.168.137.186,benign,,229
1553148899.684516,157.240.3.35,192.168.137.186,benign,,140
1553148899.687027,192.168.137.186,157.240.3.35,benign,,66
1553148899.687028,192.168.137.186,157.240.3.35,benign,,97
1553148899.700168,157.240.3.35,192.168.137.186,benign,,97
1553148899.705473,157.240.3.35,192.168.137.186,benign,,101
1553148899.708556,192.168.137.186,157.240.3.35,benign,,66
1553148899.758142,157.240.3.35,192.168.137.186,benign,,66
1553148899.765724,157.240.3.35,192.168.137.186,benign,,1464
1553148899.765916,157.240.3.35,192.168.137.186,benign,,642
1553148899.768192,192.168.137.186,157.240.3.35,benign,,66
1553148899.779503,192.168.137.186,157.240.3.35,benign,,939
1553148899.809864,157.240.3.35,192.168.137.186,benign,,66
1553148899.810087,157.240.3.35,192.168.137.186,benign,,101
1553148899.851465,192.168.137.186,157.240.3.35,benign,,66
1553148900.028775,157.240.3.35,192.168.137.186,benign,,884
1553148900.02905,157.240.3.35,192.168.137.186,benign,,1464
1553148900.029178,157.240.3.35,192.168.137.186,benign,,1464
1553148900.029356,157.240.3.35,192.168.137.186,benign,,1464
1553148900.029492,157.240.3.35,192.168.137.186,benign,,1464
1553148900.029662,157.240.3.35,192.168.137.186,benign,,1464
1553148900.029787,157.240.3.35,192.168.137.186,benign,,1464
1553148900.029887,157.240.3.35,192.168.137.186,benign,,1464
1553148900.030978,192.168.137.186,157.240.3.35,benign,,66
1553148900.030979,192.168.137.186,157.240.3.35,benign,,66
1553148900.03143,157.240.3.35,192.168.137.186,benign,,1464
1553148900.031759,157.240.3.35,192.168.137.186,benign,,1464
1553148900.036225,192.168.137.186,157.240.3.35,benign,,66
1553148900.036226,192.168.137.186,157.240.3.35,benign,,66
1553148900.036226,192.168.137.186,157.240.3.35,benign,,66
1553148900.037647,192.168.137.186,157.240.3.35,benign,,66
1553148900.037648,192.168.137.186,157.240.3.35,benign,,66
1553148900.037649,192.168.137.186,157.240.3.35,benign,,66
1553148900.037649,192.168.137.186,157.240.3.35,benign,,66
1553148900.037649,192.168.137.186,157.240.3.35,benign,,66
1553148900.06066,157.240.3.35,192.168.137.186,benign,,1464
1553148900.060782,157.240.3.35,192.168.137.186,benign,,1464
1553148900.060977,157.240.3.35,192.168.137.186,benign,,1464
1553148900.061302,157.240.3.35,192.168.137.186,benign,,1464
1553148900.063998,192.168.137.186,157.240.3.35,benign,,66
1553148900.063998,192.168.137.186,157.240.3.35,benign,,66
1553148900.063998,192.168.137.186,157.240.3.35,benign,,66
1553148900.063999,192.168.137.186,157.240.3.35,benign,,66
1553148900.066192,157.240.3.35,192.168.137.186,benign,,1464
1553148900.06638,157.240.3.35,192.168.137.186,benign,,1464
1553148900.066538,157.240.3.35,192.168.137.186,benign,,1464
1553148900.06676,157.240.3.35,192.168.137.186,benign,,1464
1553148900.066843,157.240.3.35,192.168.137.186,benign,,1464
1553148900.067039,157.240.3.35,192.168.137.186,benign,,1464
1553148900.067135,157.240.3.35,192.168.137.186,benign,,1464
1553148900.067373,157.240.3.35,192.168.137.186,benign,,1464
1553148900.068356,157.240.3.35,192.168.137.186,benign,,1464
1553148900.068502,157.240.3.35,192.168.137.186,benign,,543
1553148900.068986,192.168.137.186,157.240.3.35,benign,,66
1553148900.068986,192.168.137.186,157.240.3.35,benign,,66
1553148900.068987,192.168.137.186,157.240.3.35,benign,,66
1553148900.068987,192.168.137.186,157.240.3.35,benign,,66
1553148900.068987,192.168.137.186,157.240.3.35,benign,,66
1553148900.068987,192.168.137.186,157.240.3.35,benign,,66
1553148900.068987,192.168.137.186,157.240.3.35,benign,,66
1553148900.068987,192.168.137.186,157.240.3.35,benign,,66
1553148900.070542,192.168.137.186,157.240.3.35,benign,,66
1553148900.070542,192.168.137.186,157.240.3.35,benign,,66
1553148900.079045,192.168.137.186,157.240.3.29,benign,,74
1553148900.079046,192.168.137.186,157.240.3.29,benign,,74
1553148900.080445,192.168.137.186,157.240.3.29,benign,,74
1553148900.10609,192.168.137.186,24.244.44.209,benign,,74
1553148900.110596,192.168.137.186,157.240.3.35,benign,,264
1553148900.111518,157.240.3.29,192.168.137.186,benign,,74
1553148900.113258,157.240.3.29,192.168.137.186,benign,,74
1553148900.113416,192.168.137.186,157.240.3.29,benign,,66
1553148900.113416,192.168.137.186,157.240.3.29,benign,,583
1553148900.11533,192.168.137.186,157.240.3.29,benign,,66
1553148900.11533,192.168.137.186,157.240.3.29,benign,,583
1553148900.118037,157.240.3.29,192.168.137.186,benign,,74
1553148900.118411,24.244.44.209,192.168.137.186,benign,,74
1553148900.120766,192.168.137.186,157.240.3.29,benign,,66
1553148900.120767,192.168.137.186,24.244.44.209,benign,,66
1553148900.120768,192.168.137.186,157.240.3.29,benign,,583
1553148900.122589,192.168.137.186,24.244.44.209,benign,,583
1553148900.138434,24.244.44.209,192.168.137.186,benign,,66
1553148900.139367,24.244.44.209,192.168.137.186,benign,,1464
1553148900.140633,24.244.44.209,192.168.137.186,benign,,1464
1553148900.140844,24.244.44.209,192.168.137.186,benign,,405
1553148900.142079,192.168.137.186,24.244.44.209,benign,,66
1553148900.14261,157.240.3.35,192.168.137.186,benign,,101
1553148900.143813,192.168.137.186,24.244.44.209,benign,,66
1553148900.143814,192.168.137.186,24.244.44.209,benign,,66
1553148900.145147,192.168.137.186,24.244.44.209,benign,,130
1553148900.145148,192.168.137.186,157.240.3.35,benign,,66
1553148900.145811,157.240.3.29,192.168.137.186,benign,,66
1553148900.147332,157.240.3.29,192.168.137.186,benign,,1464
1553148900.147514,157.240.3.29,192.168.137.186,benign,,1464
1553148900.147612,157.240.3.29,192.168.137.186,benign,,409
1553148900.14827,157.240.3.29,192.168.137.186,benign,,66
1553148900.150461,157.240.3.29,192.168.137.186,benign,,1464
1553148900.150621,157.240.3.29,192.168.137.186,benign,,1464
1553148900.150697,157.240.3.29,192.168.137.186,benign,,409
1553148900.15541,192.168.137.186,157.240.3.29,benign,,66
1553148900.155412,192.168.137.186,157.240.3.29,benign,,66
1553148900.155412,192.168.137.186,157.240.3.29,benign,,66
1553148900.155413,192.168.137.186,157.240.3.29,benign,,66
1553148900.155413,192.168.137.186,157.240.3.29,benign,,66
1553148900.155414,192.168.137.186,157.240.3.29,benign,,66
1553148900.156739,192.168.137.186,157.240.3.29,benign,,130
1553148900.15674,192.168.137.186,157.240.3.29,benign,,130
1553148900.15674,192.168.137.186,24.244.44.209,benign,,152
1553148900.15818,192.168.137.186,24.244.44.209,benign,,472
1553148900.158603,24.244.44.209,192.168.137.186,benign,,238
1553148900.158753,24.244.44.209,192.168.137.186,benign,,140
1553148900.158987,157.240.3.29,192.168.137.186,benign,,66
1553148900.160463,157.240.3.29,192.168.137.186,benign,,1464
1553148900.160645,157.240.3.29,192.168.137.186,benign,,1464
1553148900.160788,157.240.3.29,192.168.137.186,benign,,409
1553148900.161459,192.168.137.186,24.244.44.209,benign,,66
1553148900.16146,192.168.137.186,24.244.44.209,benign,,97
1553148900.162914,192.168.137.186,157.240.3.29,benign,,66
1553148900.162915,192.168.137.186,157.240.3.29,benign,,66
1553148900.162916,192.168.137.186,157.240.3.29,benign,,66
1553148900.162917,192.168.137.186,157.240.3.29,benign,,130
1553148900.165868,24.244.44.209,192.168.137.186,benign,,97
1553148900.170421,192.168.137.186,157.240.3.29,benign,,66
1553148900.170422,192.168.137.186,157.240.3.29,benign,,66
1553148900.170423,192.168.137.186,157.240.3.29,benign,,152
1553148900.171366,24.244.44.209,192.168.137.186,benign,,101
1553148900.172558,192.168.137.186,157.240.3.29,benign,,552
1553148900.172715,24.244.44.209,192.168.137.186,benign,,1464
1553148900.172857,24.244.44.209,192.168.137.186,benign,,1464
1553148900.172977,24.244.44.209,192.168.137.186,benign,,1464
1553148900.17317,24.244.44.209,192.168.137.186,benign,,1464
1553148900.173296,24.244.44.209,192.168.137.186,benign,,1330
1553148900.17471,192.168.137.186,24.244.44.209,benign,,66
1553148900.174711,192.168.137.186,24.244.44.209,benign,,66
1553148900.174712,192.168.137.186,24.244.44.209,benign,,66
1553148900.183835,157.240.3.29,192.168.137.186,benign,,229
1553148900.183999,157.240.3.29,192.168.137.186,benign,,140
1553148900.188992,192.168.137.186,157.240.3.29,benign,,66
1553148900.188993,192.168.137.186,157.240.3.29,benign,,97
1553148900.190535,192.168.137.186,157.240.3.29,benign,,153
1553148900.192076,157.240.3.29,192.168.137.186,benign,,229
1553148900.192235,157.240.3.29,192.168.137.186,benign,,140
1553148900.194449,192.168.137.186,157.240.3.29,benign,,54
1553148900.19445,192.168.137.186,157.240.3.29,benign,,54
1553148900.19716,157.240.3.29,192.168.137.186,benign,,229
1553148900.197347,157.240.3.29,192.168.137.186,benign,,140
1553148900.198677,157.240.3.29,192.168.137.186,benign,,97
1553148900.199364,192.168.137.186,157.240.3.29,benign,,54
1553148900.199365,192.168.137.186,157.240.3.29,benign,,54
1553148900.203628,157.240.3.29,192.168.137.186,benign,,66
1553148900.204268,157.240.3.29,192.168.137.186,benign,,127
1553148900.204447,157.240.3.29,192.168.137.186,benign,,1464
1553148900.204777,157.240.3.29,192.168.137.186,benign,,1464
1553148900.204902,157.240.3.29,192.168.137.186,benign,,1464
1553148900.205024,157.240.3.29,192.168.137.186,benign,,1464
1553148900.205144,157.240.3.29,192.168.137.186,benign,,1464
1553148900.20547,157.240.3.29,192.168.137.186,benign,,1464
1553148900.20579,192.168.137.186,157.240.3.29,benign,,54
1553148900.205791,192.168.137.186,157.240.3.29,benign,,66
1553148900.208085,192.168.137.186,157.240.3.29,benign,,66
1553148900.208086,192.168.137.186,157.240.3.29,benign,,66
1553148900.208087,192.168.137.186,157.240.3.29,benign,,66
1553148900.208182,157.240.3.29,192.168.137.186,benign,,66
1553148900.209942,157.240.3.35,192.168.137.186,benign,,291
1553148900.210106,157.240.3.35,192.168.137.186,benign,,107
1553148900.211975,192.168.137.186,157.240.3.29,benign,,54
1553148900.211976,192.168.137.186,157.240.3.35,benign,,66
1553148900.211976,192.168.137.186,157.240.3.35,benign,,66
1553148900.214777,192.168.137.186,24.244.44.209,benign,,66
1553148900.215867,157.240.3.29,192.168.137.186,benign,,1464
1553148900.216082,157.240.3.29,192.168.137.186,benign,,1464
1553148900.216165,157.240.3.29,192.168.137.186,benign,,1464
1553148900.216334,157.240.3.29,192.168.137.186,benign,,1464
1553148900.218873,192.168.137.186,157.240.3.29,benign,,66
1553148900.218874,192.168.137.186,157.240.3.29,benign,,66
1553148900.220376,157.240.3.29,192.168.137.186,benign,,66
1553148900.22105,192.168.137.186,157.240.3.29,benign,,144
1553148900.235129,157.240.3.29,192.168.137.186,benign,,1464
1553148900.235348,157.240.3.29,192.168.137.186,benign,,1262
1553148900.235428,157.240.3.29,192.168.137.186,benign,,1464
1553148900.235706,157.240.3.29,192.168.137.186,benign,,1464
1553148900.236014,157.240.3.29,192.168.137.186,benign,,1464
1553148900.236137,157.240.3.29,192.168.137.186,benign,,199
1553148900.236302,157.240.3.29,192.168.137.186,benign,,1464
1553148900.236685,157.240.3.29,192.168.137.186,benign,,1464
1553148900.237039,157.240.3.29,192.168.137.186,benign,,1464
1553148900.237365,157.240.3.29,192.168.137.186,benign,,1464
1553148900.237694,192.168.137.186,157.240.3.29,benign,,66
1553148900.237695,192.168.137.186,157.240.3.29,benign,,66
1553148900.237695,192.168.137.186,157.240.3.29,benign,,66
1553148900.238541,157.240.3.29,192.168.137.186,benign,,1464
1553148900.238884,157.240.3.29,192.168.137.186,benign,,1464
1553148900.239232,192.168.137.186,157.240.3.29,benign,,66
1553148900.240413,157.240.3.29,192.168.137.186,benign,,1464
1553148900.240622,192.168.137.186,157.240.3.29,benign,,66
1553148900.240725,157.240.3.29,192.168.137.186,benign,,1464
1553148900.242184,157.240.3.29,192.168.137.186,benign,,1464
1553148900.242512,157.240.3.29,192.168.137.186,benign,,1464
1553148900.243742,192.168.137.186,157.240.3.29,benign,,66
1553148900.243743,192.168.137.186,157.240.3.29,benign,,66
1553148900.245562,192.168.137.186,157.240.3.29,benign,,66
1553148900.249572,157.240.3.29,192.168.137.186,benign,,1464
1553148900.249774,157.240.3.29,192.168.137.186,benign,,1464
1553148900.250511,157.240.3.29,192.168.137.186,benign,,1464
1553148900.250687,157.240.3.29,192.168.137.186,benign,,1464
1553148900.251845,157.240.3.29,192.168.137.186,benign,,1464
1553148900.252036,157.240.3.29,192.168.137.186,benign,,1464
1553148900.253373,157.240.3.29,192.168.137.186,benign,,1464
1553148900.253618,192.168.137.186,157.240.3.29,benign,,66
1553148900.253626,157.240.3.29,192.168.137.186,benign,,1464
1553148900.256279,192.168.137.186,157.240.3.29,benign,,66
1553148900.25628,192.168.137.186,157.240.3.29,benign,,66
1553148900.25628,192.168.137.186,157.240.3.29,benign,,66
1553148900.26476,157.240.3.29,192.168.137.186,benign,,1464
1553148900.264969,157.240.3.29,192.168.137.186,benign,,1464
1553148900.265325,157.240.3.29,192.168.137.186,benign,,1464
1553148900.265639,157.240.3.29,192.168.137.186,benign,,1464
1553148900.266306,157.240.3.29,192.168.137.186,benign,,1464
1553148900.266505,157.240.3.29,192.168.137.186,benign,,1464
1553148900.266584,157.240.3.29,192.168.137.186,benign,,1464
1553148900.266707,157.240.3.29,192.168.137.186,benign,,1464
1553148900.267328,192.168.137.186,157.240.3.29,benign,,66
1553148900.267364,157.240.3.29,192.168.137.186,benign,,1464
1553148900.267958,157.240.3.29,192.168.137.186,benign,,1464
1553148900.268574,157.240.3.29,192.168.137.186,benign,,1464
1553148900.268827,157.240.3.29,192.168.137.186,benign,,1464
1553148900.269574,157.240.3.29,192.168.137.186,benign,,1464
1553148900.269838,157.240.3.29,192.168.137.186,benign,,1464
1553148900.270614,157.240.3.29,192.168.137.186,benign,,1464
1553148900.270919,157.240.3.29,192.168.137.186,benign,,1464
1553148900.271247,192.168.137.186,157.240.3.29,benign,,66
1553148900.271454,157.240.3.29,192.168.137.186,benign,,1464
1553148900.271823,157.240.3.29,192.168.137.186,benign,,1464
1553148900.27246,157.240.3.29,192.168.137.186,benign,,1464
1553148900.272648,157.240.3.29,192.168.137.186,benign,,1464
1553148900.273528,157.240.3.29,192.168.137.186,benign,,1464
1553148900.273779,157.240.3.29,192.168.137.186,benign,,1464
1553148900.274427,157.240.3.29,192.168.137.186,benign,,1464
1553148900.27463,157.240.3.29,192.168.137.186,benign,,1464
1553148900.275248,157.240.3.29,192.168.137.186,benign,,1464
1553148900.27562,157.240.3.29,192.168.137.186,benign,,1464
1553148900.275671,192.168.137.186,157.240.3.29,benign,,66
1553148900.275671,192.168.137.186,157.240.3.29,benign,,66
1553148900.275672,192.168.137.186,157.240.3.29,benign,,66
1553148900.275673,192.168.137.186,157.240.3.29,benign,,66
1553148900.275673,192.168.137.186,157.240.3.29,benign,,66
1553148900.275674,192.168.137.186,157.240.3.29,benign,,66
1553148900.275674,192.168.137.186,157.240.3.29,benign,,66
1553148900.276025,157.240.3.29,192.168.137.186,benign,,1464
1553148900.276388,157.240.3.29,192.168.137.186,benign,,1464
1553148900.276921,157.240.3.29,192.168.137.186,benign,,1464
1553148900.27743,157.240.3.29,192.168.137.186,benign,,1464
1553148900.277463,192.168.137.186,157.240.3.29,benign,,66
1553148900.277464,192.168.137.186,157.240.3.29,benign,,66
1553148900.277465,192.168.137.186,157.240.3.29,benign,,66
1553148900.277819,157.240.3.29,192.168.137.186,benign,,1464
1553148900.278165,157.240.3.29,192.168.137.186,benign,,1464
1553148900.2788,192.168.137.186,157.240.3.29,benign,,66
1553148900.278801,192.168.137.186,157.240.3.29,benign,,66
1553148900.281235,157.240.3.29,192.168.137.186,benign,,1464
1553148900.281455,157.240.3.29,192.168.137.186,benign,,1464
1553148900.281823,157.240.3.29,192.168.137.186,benign,,1464
1553148900.282177,157.240.3.29,192.168.137.186,benign,,1464
1553148900.282381,157.240.3.29,192.168.137.186,benign,,1464
1553148900.282685,192.168.137.186,157.240.3.29,benign,,66
1553148900.282686,192.168.137.186,157.240.3.29,benign,,66
1553148900.282773,157.240.3.29,192.168.137.186,benign,,1464
1553148900.283078,157.240.3.29,192.168.137.186,benign,,1464
1553148900.283399,157.240.3.29,192.168.137.186,benign,,1464
1553148900.283944,157.240.3.29,192.168.137.186,benign,,1464
1553148900.284213,192.168.137.186,157.240.3.29,benign,,66
1553148900.284214,192.168.137.186,157.240.3.29,benign,,66
1553148900.284296,157.240.3.29,192.168.137.186,benign,,1464
1553148900.284645,157.240.3.29,192.168.137.186,benign,,1464
1553148900.284961,157.240.3.29,192.168.137.186,benign,,1464
1553148900.285622,192.168.137.186,157.240.3.29,benign,,66
1553148900.285622,192.168.137.186,157.240.3.29,benign,,66
1553148900.285623,192.168.137.186,157.240.3.29,benign,,66
1553148900.285632,157.240.3.29,192.168.137.186,benign,,1464
1553148900.285965,157.240.3.29,192.168.137.186,benign,,1464
1553148900.286329,157.240.3.29,192.168.137.186,benign,,1464
1553148900.286613,157.240.3.29,192.168.137.186,benign,,1464
1553148900.287585,192.168.137.186,157.240.3.29,benign,,66
1553148900.288954,192.168.137.186,157.240.3.29,benign,,66
1553148900.288955,192.168.137.186,157.240.3.29,benign,,66
1553148900.294397,157.240.3.29,192.168.137.186,benign,,1464
1553148900.294742,157.240.3.29,192.168.137.186,benign,,1464
1553148900.295043,157.240.3.29,192.168.137.186,benign,,1464
1553148900.295374,157.240.3.29,192.168.137.186,benign,,1464
1553148900.29838,192.168.137.186,157.240.3.29,benign,,66
1553148900.298381,192.168.137.186,157.240.3.29,benign,,66
1553148900.29908,157.240.3.29,192.168.137.186,benign,,1464
1553148900.299296,157.240.3.29,192.168.137.186,benign,,1464
1553148900.299425,157.240.3.29,192.168.137.186,benign,,1464
