timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553150739.282266,192.168.137.186,157.240.3.20,benign,,74
1553150739.311583,157.240.3.20,192.168.137.186,benign,,74
1553150739.314431,192.168.137.186,157.240.3.20,benign,,66
1553150739.31664,192.168.137.186,157.240.3.20,benign,,250
1553150739.34871,157.240.3.20,192.168.137.186,benign,,66
1553150739.350521,157.240.3.20,192.168.137.186,benign,,1464
1553150739.350852,157.240.3.20,192.168.137.186,benign,,1464
1553150739.350996,157.240.3.20,192.168.137.186,benign,,332
1553150739.352781,192.168.137.186,157.240.3.20,benign,,66
1553150739.352782,192.168.137.186,157.240.3.20,benign,,66
1553150739.352783,192.168.137.186,157.240.3.20,benign,,66
1553150739.372703,192.168.137.186,157.240.3.20,benign,,192
1553150739.39984,157.240.3.20,192.168.137.186,benign,,324
1553150739.402237,192.168.137.186,157.240.3.20,benign,,650
1553150739.469719,157.240.3.20,192.168.137.186,benign,,66
1553150739.481047,157.240.3.20,192.168.137.186,benign,,1113
1553150739.545339,192.168.137.186,52.52.240.97,benign,,97
1553150739.54534,192.168.137.186,52.52.240.97,benign,,66
1553150739.559914,192.168.137.186,157.240.3.20,benign,,1464
1553150739.561425,192.168.137.186,157.240.3.20,benign,,609
1553150739.575192,157.240.3.20,192.168.137.186,benign,,1113
1553150739.577856,192.168.137.186,157.240.3.20,benign,,78
1553150739.587493,157.240.3.20,192.168.137.186,benign,,66
1553150739.592133,157.240.3.20,192.168.137.186,benign,,66
1553150739.599856,52.52.240.97,192.168.137.186,benign,,66
1553150739.602428,192.168.137.186,52.52.240.97,benign,,66
1553150739.602644,52.52.240.97,192.168.137.186,benign,,66
1553150739.642152,157.240.3.20,192.168.137.186,benign,,1116
1553150739.645111,192.168.137.186,157.240.3.20,benign,,66
1553150745.185782,192.168.137.186,157.240.3.20,benign,,650
1553150745.185784,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",1335
1553150745.216769,157.240.3.20,192.168.137.186,benign,,66
1553150745.221569,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553150745.266818,157.240.3.20,192.168.137.186,benign,,1113
1553150745.361437,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",217
1553150745.379461,192.168.137.186,157.240.3.20,benign,,66
1553150745.379462,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553150745.399084,157.240.3.20,192.168.137.186,benign,,1113
1553150745.401444,192.168.137.186,157.240.3.20,benign,,78
1553150751.1171,192.168.137.186,157.240.3.20,benign,,650
1553150751.117101,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",956
1553150751.150661,157.240.3.20,192.168.137.186,benign,,66
1553150751.15109,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553150751.201337,157.240.3.20,192.168.137.186,benign,,1113
1553150751.203646,192.168.137.186,157.240.3.20,benign,,66
1553150751.293655,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",217
1553150751.297806,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553150756.357857,192.168.137.186,157.240.3.20,benign,,650
1553150756.388572,157.240.3.20,192.168.137.186,benign,,66
1553150756.437532,157.240.3.20,192.168.137.186,benign,,1113
1553150756.440061,192.168.137.186,157.240.3.20,benign,,66
1553150761.674912,192.168.137.186,157.240.3.20,benign,,650
1553150761.70449,157.240.3.20,192.168.137.186,benign,,66
1553150761.752666,157.240.3.20,192.168.137.186,benign,,1113
1553150761.755272,192.168.137.186,157.240.3.20,benign,,66
1553150766.634906,192.168.137.186,157.240.3.20,benign,,650
1553150766.66424,157.240.3.20,192.168.137.186,benign,,66
1553150766.713347,157.240.3.20,192.168.137.186,benign,,1113
1553150766.715523,192.168.137.186,157.240.3.20,benign,,66
1553150773.390168,192.168.137.186,157.240.3.20,benign,,650
1553150773.420587,157.240.3.20,192.168.137.186,benign,,66
1553150773.466658,157.240.3.20,192.168.137.186,benign,,1113
1553150773.46909,192.168.137.186,157.240.3.20,benign,,66
1553150778.444349,192.168.137.186,157.240.3.20,benign,,650
1553150778.474409,157.240.3.20,192.168.137.186,benign,,66
1553150778.524336,157.240.3.20,192.168.137.186,benign,,1113
1553150778.527276,192.168.137.186,157.240.3.20,benign,,66
1553150786.701938,192.168.137.186,157.240.3.20,benign,,650
1553150786.731758,157.240.3.20,192.168.137.186,benign,,66
1553150786.781606,157.240.3.20,192.168.137.186,benign,,1113
1553150786.783959,192.168.137.186,157.240.3.20,benign,,66
1553150791.322671,192.168.137.186,52.52.240.97,benign,,1023
1553150791.377601,52.52.240.97,192.168.137.186,benign,,254
1553150791.417637,192.168.137.186,52.52.240.97,benign,,66
1553150791.496863,52.52.240.97,192.168.137.186,benign,,97
1553150791.49709,52.52.240.97,192.168.137.186,benign,,66
1553150791.509632,52.52.240.97,192.168.137.186,benign,,97
