timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553156494.615241,54.210.73.165,192.168.137.186,benign,,333
1553156494.655382,192.168.137.186,54.210.73.165,benign,,66
1553156503.774568,192.168.137.186,54.93.133.71,benign,,74
1553156503.879865,192.168.137.186,35.157.45.181,benign,,74
1553156503.930027,54.93.133.71,192.168.137.186,benign,,74
1553156503.932212,192.168.137.186,54.93.133.71,benign,,66
1553156503.944695,192.168.137.186,54.93.133.71,benign,,583
1553156504.061191,35.157.45.181,192.168.137.186,benign,,74
1553156504.063447,192.168.137.186,35.157.45.181,benign,,66
1553156504.065444,192.168.137.186,35.157.45.181,benign,,260
1553156504.100176,54.93.133.71,192.168.137.186,benign,,66
1553156504.10095,54.93.133.71,192.168.137.186,benign,,218
1553156504.103167,192.168.137.186,54.93.133.71,benign,,66
1553156504.103168,192.168.137.186,54.93.133.71,benign,,117
1553156504.248272,35.157.45.181,192.168.137.186,benign,,66
1553156504.249048,35.157.45.181,192.168.137.186,benign,,1514
1553156504.25004,35.157.45.181,192.168.137.186,benign,,1514
1553156504.250326,35.157.45.181,192.168.137.186,benign,,1266
1553156504.250934,35.157.45.181,192.168.137.186,benign,,755
1553156504.251553,192.168.137.186,35.157.45.181,benign,,66
1553156504.254225,192.168.137.186,35.157.45.181,benign,,66
1553156504.254225,192.168.137.186,35.157.45.181,benign,,66
1553156504.254225,192.168.137.186,35.157.45.181,benign,,66
1553156504.270528,192.168.137.186,35.157.45.181,benign,,192
1553156504.300109,54.93.133.71,192.168.137.186,benign,,66
1553156504.302138,192.168.137.186,54.93.133.71,benign,,323
1553156504.409993,192.168.137.186,52.210.180.106,benign,,1514
1553156504.411725,192.168.137.186,52.210.180.106,benign,,566
1553156504.447417,35.157.45.181,192.168.137.186,benign,,117
1553156504.450359,192.168.137.186,35.157.45.181,benign,,532
1553156504.454921,54.93.133.71,192.168.137.186,benign,,66
1553156504.456367,54.93.133.71,192.168.137.186,benign,,468
1553156504.45642,54.93.133.71,192.168.137.186,benign,,100
1553156504.459901,192.168.137.186,54.93.133.71,benign,,66
1553156504.569298,52.210.180.106,192.168.137.186,benign,,66
1553156504.574379,52.210.180.106,192.168.137.186,benign,,294
1553156504.57639,192.168.137.186,52.210.180.106,benign,,66
1553156504.578368,192.168.137.186,13.32.252.240,benign,,97
1553156504.578369,192.168.137.186,13.32.252.240,benign,,66
1553156504.609232,13.32.252.240,192.168.137.186,benign,,66
1553156504.611243,192.168.137.186,13.32.252.240,benign,,66
1553156504.632036,35.157.45.181,192.168.137.186,benign,,821
1553156504.636237,192.168.137.186,13.32.252.240,benign,,97
1553156504.636238,192.168.137.186,13.32.252.240,benign,,66
1553156504.669343,13.32.252.240,192.168.137.186,benign,,66
1553156504.671506,192.168.137.186,13.32.252.240,benign,,66
1553156504.671508,192.168.137.186,35.157.45.181,benign,,66
1553156504.674189,13.32.252.240,192.168.137.186,benign,,66
1553156505.107533,192.168.137.186,52.219.74.64,benign,,74
1553156505.263582,52.219.74.64,192.168.137.186,benign,,66
1553156505.265767,192.168.137.186,52.219.74.64,benign,,54
1553156505.273844,192.168.137.186,52.219.74.64,benign,,249
1553156505.40423,192.168.137.186,216.58.217.34,benign,,74
1553156505.429978,52.219.74.64,192.168.137.186,benign,,54
1553156505.430456,52.219.74.64,192.168.137.186,benign,,146
1553156505.430764,52.219.74.64,192.168.137.186,benign,,1486
1553156505.431483,52.219.74.64,192.168.137.186,benign,,1486
1553156505.431711,52.219.74.64,192.168.137.186,benign,,365
1553156505.4318,52.219.74.64,192.168.137.186,benign,,392
1553156505.431911,52.219.74.64,192.168.137.186,benign,,63
1553156505.433505,216.58.217.34,192.168.137.186,benign,,74
1553156505.434887,192.168.137.186,52.219.74.64,benign,,54
1553156505.434888,192.168.137.186,52.219.74.64,benign,,54
1553156505.434889,192.168.137.186,52.219.74.64,benign,,54
1553156505.436251,192.168.137.186,52.219.74.64,benign,,54
1553156505.436252,192.168.137.186,52.219.74.64,benign,,54
1553156505.436253,192.168.137.186,52.219.74.64,benign,,54
1553156505.436254,192.168.137.186,216.58.217.34,benign,,66
1553156505.439303,192.168.137.186,216.58.217.34,benign,,583
1553156505.456302,192.168.137.186,52.219.74.64,benign,,180
1553156505.465111,52.219.74.64,192.168.137.186,benign,,63
1553156505.467858,192.168.137.186,52.219.74.64,benign,,66
1553156505.472535,216.58.217.34,192.168.137.186,benign,,66
1553156505.480508,216.58.217.34,192.168.137.186,benign,,1484
1553156505.480711,216.58.217.34,192.168.137.186,benign,,1428
1553156505.48703,192.168.137.186,216.58.217.34,benign,,66
1553156505.487031,192.168.137.186,216.58.217.34,benign,,66
1553156505.487032,192.168.137.186,216.58.217.34,benign,,159
1553156505.514352,216.58.217.34,192.168.137.186,benign,,350
1553156505.514588,216.58.217.34,192.168.137.186,benign,,135
1553156505.548249,192.168.137.186,216.58.217.34,benign,,159
1553156505.550609,192.168.137.186,216.58.217.34,benign,,505
1553156505.576143,216.58.217.34,192.168.137.186,benign,,104
1553156505.580696,216.58.217.34,192.168.137.186,benign,,542
1553156505.581093,216.58.217.34,192.168.137.186,benign,,1484
1553156505.582318,216.58.217.34,192.168.137.186,benign,,1484
1553156505.582572,216.58.217.34,192.168.137.186,benign,,1484
1553156505.583854,192.168.137.186,216.58.217.34,benign,,66
1553156505.583855,192.168.137.186,216.58.217.34,benign,,66
1553156505.584369,216.58.217.34,192.168.137.186,benign,,1484
1553156505.584529,216.58.217.34,192.168.137.186,benign,,1484
1553156505.585961,216.58.217.34,192.168.137.186,benign,,1484
1553156505.586378,216.58.217.34,192.168.137.186,benign,,1484
1553156505.587298,192.168.137.186,216.58.217.34,benign,,66
1553156505.587306,192.168.137.186,216.58.217.34,benign,,66
1553156505.587741,216.58.217.34,192.168.137.186,benign,,1484
1553156505.588037,216.58.217.34,192.168.137.186,benign,,1484
1553156505.589843,216.58.217.34,192.168.137.186,benign,,1484
1553156505.590061,216.58.217.34,192.168.137.186,benign,,1484
1553156505.591437,192.168.137.186,216.58.217.34,benign,,66
1553156505.591438,192.168.137.186,216.58.217.34,benign,,66
1553156505.591553,216.58.217.34,192.168.137.186,benign,,1484
1553156505.591927,216.58.217.34,192.168.137.186,benign,,1484
1553156505.593708,216.58.217.34,192.168.137.186,benign,,1484
1553156505.593714,192.168.137.186,216.58.217.34,benign,,66
1553156505.593922,216.58.217.34,192.168.137.186,benign,,1484
1553156505.595761,216.58.217.34,192.168.137.186,benign,,1484
1553156505.596047,216.58.217.34,192.168.137.186,benign,,1484
1553156505.596057,192.168.137.186,216.58.217.34,benign,,66
1553156505.597279,216.58.217.34,192.168.137.186,benign,,1484
1553156505.598175,192.168.137.186,216.58.217.34,benign,,66
1553156505.599467,192.168.137.186,216.58.217.34,benign,,66
1553156505.608942,192.168.137.186,34.227.126.240,benign,,74
1553156505.608999,52.219.74.64,192.168.137.186,benign,,54
1553156505.609206,52.219.74.64,192.168.137.186,benign,,60
1553156505.609286,52.219.74.64,192.168.137.186,benign,,99
1553156505.610469,216.58.217.34,192.168.137.186,benign,,1484
1553156505.610833,216.58.217.34,192.168.137.186,benign,,1484
1553156505.611599,192.168.137.186,52.219.74.64,benign,,54
1553156505.611601,192.168.137.186,52.219.74.64,benign,,54
1553156505.612499,216.58.217.34,192.168.137.186,benign,,1484
1553156505.612761,216.58.217.34,192.168.137.186,benign,,1484
1553156505.612994,192.168.137.186,216.58.217.34,benign,,66
1553156505.614265,216.58.217.34,192.168.137.186,benign,,1484
1553156505.614526,216.58.217.34,192.168.137.186,benign,,1484
1553156505.615989,192.168.137.186,216.58.217.34,benign,,66
1553156505.616182,216.58.217.34,192.168.137.186,benign,,1484
1553156505.616468,216.58.217.34,192.168.137.186,benign,,1484
1553156505.617426,192.168.137.186,216.58.217.34,benign,,66
1553156505.618217,216.58.217.34,192.168.137.186,benign,,1484
1553156505.618492,216.58.217.34,192.168.137.186,benign,,1484
1553156505.619362,192.168.137.186,216.58.217.34,benign,,66
1553156505.619363,192.168.137.186,52.219.74.64,benign,,333
1553156505.620188,216.58.217.34,192.168.137.186,benign,,1484
1553156505.62039,216.58.217.34,192.168.137.186,benign,,1484
1553156505.620957,192.168.137.186,216.58.217.34,benign,,66
1553156505.621962,216.58.217.34,192.168.137.186,benign,,1484
1553156505.622211,216.58.217.34,192.168.137.186,benign,,1484
1553156505.622974,192.168.137.186,216.58.217.34,benign,,66
1553156505.623992,216.58.217.34,192.168.137.186,benign,,1484
1553156505.624254,216.58.217.34,192.168.137.186,benign,,1484
1553156505.624476,192.168.137.186,216.58.217.34,benign,,66
1553156505.625727,216.58.217.34,192.168.137.186,benign,,1484
1553156505.625986,216.58.217.34,192.168.137.186,benign,,1484
1553156505.626819,192.168.137.186,216.58.217.34,benign,,66
1553156505.627802,216.58.217.34,192.168.137.186,benign,,1484
1553156505.62831,216.58.217.34,192.168.137.186,benign,,1484
1553156505.628324,192.168.137.186,216.58.217.34,benign,,66
1553156505.629501,216.58.217.34,192.168.137.186,benign,,1484
1553156505.629808,216.58.217.34,192.168.137.186,benign,,1484
1553156505.631512,192.168.137.186,216.58.217.34,benign,,66
1553156505.631534,216.58.217.34,192.168.137.186,benign,,1484
1553156505.631765,216.58.217.34,192.168.137.186,benign,,1484
1553156505.633322,216.58.217.34,192.168.137.186,benign,,1484
1553156505.633564,216.58.217.34,192.168.137.186,benign,,1484
1553156505.634585,192.168.137.186,216.58.217.34,benign,,66
1553156505.634586,192.168.137.186,216.58.217.34,benign,,66
1553156505.635247,216.58.217.34,192.168.137.186,benign,,1484
1553156505.635528,216.58.217.34,192.168.137.186,benign,,1484
1553156505.635901,192.168.137.186,216.58.217.34,benign,,66
1553156505.63709,216.58.217.34,192.168.137.186,benign,,1484
1553156505.637428,216.58.217.34,192.168.137.186,benign,,1484
1553156505.637864,192.168.137.186,216.58.217.34,benign,,66
1553156505.638852,216.58.217.34,192.168.137.186,benign,,1484
1553156505.639187,216.58.217.34,192.168.137.186,benign,,1484
1553156505.639907,192.168.137.186,216.58.217.34,benign,,66
1553156505.640824,216.58.217.34,192.168.137.186,benign,,1484
1553156505.641159,216.58.217.34,192.168.137.186,benign,,1484
1553156505.641744,192.168.137.186,216.58.217.34,benign,,66
1553156505.642575,216.58.217.34,192.168.137.186,benign,,1484
1553156505.642895,216.58.217.34,192.168.137.186,benign,,1484
1553156505.643396,192.168.137.186,216.58.217.34,benign,,66
1553156505.644629,216.58.217.34,192.168.137.186,benign,,1484
1553156505.644905,216.58.217.34,192.168.137.186,benign,,1484
1553156505.645405,192.168.137.186,216.58.217.34,benign,,66
1553156505.646549,216.58.217.34,192.168.137.186,benign,,1484
1553156505.646796,216.58.217.34,192.168.137.186,benign,,1484
1553156505.647533,216.58.217.34,192.168.137.186,benign,,1484
1553156505.647852,192.168.137.186,216.58.217.34,benign,,66
1553156505.647866,216.58.217.34,192.168.137.186,benign,,1484
1553156505.648318,216.58.217.34,192.168.137.186,benign,,1484
1553156505.648682,216.58.217.34,192.168.137.186,benign,,1484
1553156505.649396,192.168.137.186,216.58.217.34,benign,,66
1553156505.649398,192.168.137.186,216.58.217.34,benign,,66
1553156505.649419,216.58.217.34,192.168.137.186,benign,,1484
1553156505.649637,216.58.217.34,192.168.137.186,benign,,1484
1553156505.650542,216.58.217.34,192.168.137.186,benign,,1484
1553156505.65082,216.58.217.34,192.168.137.186,benign,,1484
1553156505.650824,192.168.137.186,216.58.217.34,benign,,66
1553156505.651256,216.58.217.34,192.168.137.186,benign,,1484
1553156505.651507,216.58.217.34,192.168.137.186,benign,,460
1553156505.655124,192.168.137.186,216.58.217.34,benign,,66
1553156505.655126,192.168.137.186,216.58.217.34,benign,,66
1553156505.655126,192.168.137.186,216.58.217.34,benign,,66
1553156505.655127,192.168.137.186,216.58.217.34,benign,,112
1553156505.663737,52.219.74.64,192.168.137.186,benign,,99
1553156505.666445,192.168.137.186,52.219.74.64,benign,,66
1553156505.692703,34.227.126.240,192.168.137.186,benign,,74
1553156505.695172,192.168.137.186,34.227.126.240,benign,,66
1553156505.695173,192.168.137.186,34.227.126.240,benign,,254
1553156505.709247,192.168.137.186,104.20.0.59,benign,,74
1553156505.724907,216.58.217.34,192.168.137.186,benign,,66
1553156505.743299,104.20.0.59,192.168.137.186,benign,,66
1553156505.745708,192.168.137.186,104.20.0.59,benign,,54
1553156505.747133,192.168.137.186,104.20.0.59,benign,,234
1553156505.750637,192.168.137.186,216.58.217.34,benign,,234
1553156505.779032,52.219.74.64,192.168.137.186,benign,,438
1553156505.77922,52.219.74.64,192.168.137.186,benign,,90
1553156505.779367,216.58.217.34,192.168.137.186,benign,,66
1553156505.77955,216.58.217.34,192.168.137.186,benign,,240
1553156505.779811,216.58.217.34,192.168.137.186,benign,,989
1553156505.779952,216.58.217.34,192.168.137.186,benign,,112
1553156505.782596,34.227.126.240,192.168.137.186,benign,,66
1553156505.783423,34.227.126.240,192.168.137.186,benign,,1514
1553156505.783745,192.168.137.186,52.219.74.64,benign,,54
1553156505.783747,192.168.137.186,52.219.74.64,benign,,54
1553156505.783747,192.168.137.186,216.58.217.34,benign,,66
1553156505.783748,192.168.137.186,216.58.217.34,benign,,112
1553156505.784488,34.227.126.240,192.168.137.186,benign,,1514
1553156505.785033,34.227.126.240,192.168.137.186,benign,,1266
1553156505.785163,34.227.126.240,192.168.137.186,benign,,1249
1553156505.785296,104.20.0.59,192.168.137.186,benign,,54
1553156505.787191,192.168.137.186,34.227.126.240,benign,,66
1553156505.787193,192.168.137.186,34.227.126.240,benign,,66
1553156505.787193,192.168.137.186,34.227.126.240,benign,,66
1553156505.787194,192.168.137.186,34.227.126.240,benign,,66
1553156505.789327,104.20.0.59,192.168.137.186,benign,,1514
1553156505.789508,104.20.0.59,192.168.137.186,benign,,1492
1553156505.791535,192.168.137.186,104.20.0.59,benign,,54
1553156505.791536,192.168.137.186,104.20.0.59,benign,,54
1553156505.804063,192.168.137.186,34.227.126.240,benign,,192
1553156505.804064,192.168.137.186,13.32.252.240,benign,,97
1553156505.804065,192.168.137.186,13.32.252.240,benign,,66
1553156505.810219,192.168.137.186,104.20.0.59,benign,,147
1553156505.843468,13.32.252.240,192.168.137.186,benign,,66
1553156505.844023,104.20.0.59,192.168.137.186,benign,,312
1553156505.850385,192.168.137.186,13.32.252.240,benign,,66
1553156505.850385,192.168.137.186,104.20.0.59,benign,,1366
1553156505.85972,216.58.217.34,192.168.137.186,benign,,66
1553156505.864414,52.219.74.64,192.168.137.186,benign,,90
1553156505.869673,192.168.137.186,52.219.74.64,benign,,66
1553156505.87427,192.168.137.186,216.58.217.34,benign,,208
1553156505.884481,34.227.126.240,192.168.137.186,benign,,117
1553156505.887324,192.168.137.186,34.227.126.240,benign,,605
1553156505.900705,216.58.217.34,192.168.137.186,benign,,66
1553156505.913372,216.58.217.34,192.168.137.186,benign,,308
1553156505.913438,216.58.217.34,192.168.137.186,benign,,414
