timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553157419.442729,216.58.217.34,192.168.137.186,benign,,66
1553157419.450914,216.58.217.34,192.168.137.186,benign,,1484
1553157419.45098,216.58.217.34,192.168.137.186,benign,,1428
1553157419.453157,192.168.137.186,216.58.217.34,benign,,66
1553157419.453158,192.168.137.186,216.58.217.34,benign,,66
1553157419.461548,192.168.137.186,216.58.217.34,benign,,159
1553157419.491271,216.58.217.34,192.168.137.186,benign,,350
1553157419.491561,216.58.217.34,192.168.137.186,benign,,135
1553157419.49412,34.232.92.167,192.168.137.186,benign,,376
1553157419.498623,52.219.72.4,192.168.137.186,benign,,54
1553157419.498711,52.219.72.4,192.168.137.186,benign,,60
1553157419.498753,52.219.72.4,192.168.137.186,benign,,99
1553157419.50094,192.168.137.186,52.219.72.4,benign,,54
1553157419.500941,192.168.137.186,52.219.72.4,benign,,54
1553157419.512711,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",97
1553157419.519518,192.168.137.186,34.232.92.167,benign,,1122
1553157419.527581,192.168.137.186,52.219.72.4,benign,,331
1553157419.534855,192.168.137.186,216.58.217.34,benign,,66
1553157419.539426,192.168.137.186,216.58.217.34,benign,,159
1553157419.541047,192.168.137.186,216.58.217.34,benign,,503
1553157419.545796,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553157419.546059,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553157419.563508,216.58.217.34,192.168.137.186,benign,,135
1553157419.567323,192.168.137.186,216.58.217.34,benign,,78
1553157419.569415,216.58.217.34,192.168.137.186,benign,,104
1553157419.57142,192.168.137.186,216.58.217.34,benign,,66
1553157419.57546,216.58.217.34,192.168.137.186,benign,,542
1553157419.576039,216.58.217.34,192.168.137.186,benign,,1484
1553157419.576999,216.58.217.34,192.168.137.186,benign,,1484
1553157419.577343,216.58.217.34,192.168.137.186,benign,,1484
1553157419.579212,216.58.217.34,192.168.137.186,benign,,1484
1553157419.579563,216.58.217.34,192.168.137.186,benign,,1484
1553157419.580325,192.168.137.186,216.58.217.34,benign,,66
1553157419.580325,192.168.137.186,216.58.217.34,benign,,66
1553157419.580326,192.168.137.186,216.58.217.34,benign,,66
1553157419.580326,192.168.137.186,216.58.217.34,benign,,66
1553157419.581011,216.58.217.34,192.168.137.186,benign,,1484
1553157419.581339,216.58.217.34,192.168.137.186,benign,,1484
1553157419.58202,192.168.137.186,216.58.217.34,benign,,66
1553157419.582021,192.168.137.186,216.58.217.34,benign,,66
1553157419.583037,216.58.217.34,192.168.137.186,benign,,1484
1553157419.583363,216.58.217.34,192.168.137.186,benign,,1484
1553157419.584751,192.168.137.186,216.58.217.34,benign,,66
1553157419.584751,192.168.137.186,216.58.217.34,benign,,66
1553157419.585064,216.58.217.34,192.168.137.186,benign,,1484
1553157419.585393,216.58.217.34,192.168.137.186,benign,,1484
1553157419.586164,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
1553157419.586164,192.168.137.186,216.58.217.34,benign,,66
1553157419.58728,216.58.217.34,192.168.137.186,benign,,1484
1553157419.587561,216.58.217.34,192.168.137.186,benign,,1484
1553157419.58901,192.168.137.186,216.58.217.34,benign,,66
1553157419.589011,192.168.137.186,216.58.217.34,benign,,66
1553157419.589011,192.168.137.186,216.58.217.34,benign,,66
1553157419.591788,192.168.137.186,216.58.217.34,benign,,66
1553157419.591788,192.168.137.186,216.58.217.34,benign,,66
1553157419.591824,216.58.217.34,192.168.137.186,benign,,1484
1553157419.591915,216.58.217.34,192.168.137.186,benign,,1484
1553157419.591968,216.58.217.34,192.168.137.186,benign,,1484
1553157419.592071,216.58.217.34,192.168.137.186,benign,,1484
1553157419.593298,216.58.217.34,192.168.137.186,benign,,1484
1553157419.594067,192.168.137.186,216.58.217.34,benign,,66
1553157419.594067,192.168.137.186,216.58.217.34,benign,,66
1553157419.594068,192.168.137.186,216.58.217.34,benign,,66
1553157419.594068,192.168.137.186,216.58.217.34,benign,,66
1553157419.597351,216.58.217.34,192.168.137.186,benign,,1484
1553157419.600757,192.168.137.186,216.58.217.34,benign,,66
1553157419.600757,192.168.137.186,216.58.217.34,benign,,66
1553157419.602441,216.58.217.34,192.168.137.186,benign,,1484
1553157419.602792,216.58.217.34,192.168.137.186,benign,,1484
1553157419.603714,34.232.92.167,192.168.137.186,benign,,377
1553157419.603962,52.219.72.4,192.168.137.186,benign,,99
1553157419.60471,192.168.137.186,216.58.217.34,benign,,66
1553157419.604711,192.168.137.186,216.58.217.34,benign,,66
1553157419.606249,192.168.137.186,52.219.72.4,benign,,66
1553157419.610494,216.58.217.34,192.168.137.186,benign,,1484
1553157419.610815,216.58.217.34,192.168.137.186,benign,,1484
1553157419.612342,216.58.217.34,192.168.137.186,benign,,1484
1553157419.612722,216.58.217.34,192.168.137.186,benign,,1484
1553157419.613387,192.168.137.186,216.58.217.34,benign,,66
1553157419.613387,192.168.137.186,216.58.217.34,benign,,66
1553157419.614575,216.58.217.34,192.168.137.186,benign,,1484
1553157419.614735,192.168.137.186,216.58.217.34,benign,,66
1553157419.614736,192.168.137.186,216.58.217.34,benign,,66
1553157419.615,216.58.217.34,192.168.137.186,benign,,1484
1553157419.61661,216.58.217.34,192.168.137.186,benign,,1484
1553157419.616638,192.168.137.186,216.58.217.34,benign,,66
1553157419.616639,192.168.137.186,216.58.217.34,benign,,66
1553157419.616873,216.58.217.34,192.168.137.186,benign,,1484
1553157419.618538,216.58.217.34,192.168.137.186,benign,,1484
1553157419.618562,192.168.137.186,216.58.217.34,benign,,66
1553157419.618562,192.168.137.186,216.58.217.34,benign,,66
1553157419.618886,216.58.217.34,192.168.137.186,benign,,1484
1553157419.621021,216.58.217.34,192.168.137.186,benign,,1484
1553157419.621123,216.58.217.34,192.168.137.186,benign,,1484
1553157419.621255,192.168.137.186,216.58.217.34,benign,,66
1553157419.621256,192.168.137.186,216.58.217.34,benign,,66
1553157419.622841,216.58.217.34,192.168.137.186,benign,,1484
1553157419.623206,216.58.217.34,192.168.137.186,benign,,1484
