timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553161141.553072,192.168.137.186,209.206.41.152,benign,,978
1553161141.596623,209.206.41.152,192.168.137.186,benign,,66
1553161141.597379,209.206.41.152,192.168.137.186,benign,,331
1553161141.599551,192.168.137.186,209.206.41.152,benign,,66
1553161141.646974,192.168.137.186,23.6.166.225,benign,,74
1553161141.679663,23.6.166.225,192.168.137.186,benign,,74
1553161141.682164,192.168.137.186,23.6.166.225,benign,,66
1553161141.684713,192.168.137.186,23.6.166.225,benign,,294
1553161141.719799,23.6.166.225,192.168.137.186,benign,,66
1553161141.723574,23.6.166.225,192.168.137.186,benign,,1514
1553161141.72376,23.6.166.225,192.168.137.186,benign,,1514
1553161141.723842,23.6.166.225,192.168.137.186,benign,,547
1553161141.725869,192.168.137.186,23.6.166.225,benign,,66
1553161141.728634,192.168.137.186,23.6.166.225,benign,,66
1553161141.728635,192.168.137.186,23.6.166.225,benign,,66
1553161141.737057,192.168.137.186,23.6.166.225,benign,,192
1553161141.767688,23.6.166.225,192.168.137.186,benign,,117
1553161141.77119,192.168.137.186,23.6.166.225,benign,,615
1553161141.802267,23.6.166.225,192.168.137.186,benign,,1514
1553161141.802462,23.6.166.225,192.168.137.186,benign,,1514
1553161141.802603,23.6.166.225,192.168.137.186,benign,,1514
1553161141.802695,23.6.166.225,192.168.137.186,benign,,1514
1553161141.802768,23.6.166.225,192.168.137.186,benign,,1514
1553161141.802935,23.6.166.225,192.168.137.186,benign,,1514
1553161141.803028,23.6.166.225,192.168.137.186,benign,,1514
1553161141.803098,23.6.166.225,192.168.137.186,benign,,1514
1553161141.803252,23.6.166.225,192.168.137.186,benign,,1514
1553161141.80334,23.6.166.225,192.168.137.186,benign,,1514
1553161141.803407,23.6.166.225,192.168.137.186,benign,,1514
1553161141.803546,23.6.166.225,192.168.137.186,benign,,1514
1553161141.803623,23.6.166.225,192.168.137.186,benign,,1514
1553161141.803688,23.6.166.225,192.168.137.186,benign,,72
1553161141.80697,192.168.137.186,23.6.166.225,benign,,66
1553161141.806971,192.168.137.186,23.6.166.225,benign,,66
