timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553162053.78635,192.168.137.186,13.32.252.89,benign,,955
1553162053.817571,192.168.137.186,23.59.158.55,benign,,74
1553162053.842382,23.59.158.55,192.168.137.186,benign,,74
1553162053.844747,192.168.137.186,23.59.158.55,benign,,66
1553162053.844748,192.168.137.186,23.59.158.55,benign,,246
1553162053.860019,13.32.252.89,192.168.137.186,benign,,66
1553162053.87457,23.59.158.55,192.168.137.186,benign,,66
1553162053.877458,23.59.158.55,192.168.137.186,benign,,1514
1553162053.877656,23.59.158.55,192.168.137.186,benign,,1514
1553162053.877744,23.59.158.55,192.168.137.186,benign,,871
1553162053.880699,192.168.137.186,23.59.158.55,benign,,66
1553162053.8807,192.168.137.186,23.59.158.55,benign,,66
1553162053.880701,192.168.137.186,23.59.158.55,benign,,66
1553162053.892757,192.168.137.186,23.59.158.55,benign,,192
1553162053.914854,23.59.158.55,192.168.137.186,benign,,324
1553162053.916926,192.168.137.186,216.58.193.66,benign,,74
1553162053.916927,192.168.137.186,23.59.158.55,benign,,1058
1553162053.935996,192.168.137.186,13.32.252.89,benign,,816
1553162053.945936,13.32.252.89,192.168.137.186,benign,,282
1553162053.949005,192.168.137.186,13.32.252.89,benign,,66
1553162053.950401,216.58.193.66,192.168.137.186,benign,,74
1553162053.952747,192.168.137.186,216.58.193.66,benign,,66
1553162053.955435,192.168.137.186,216.58.193.66,benign,,259
1553162053.963777,13.32.252.89,192.168.137.186,benign,,66
1553162053.970242,192.168.137.186,13.32.252.108,benign,,771
1553162053.979826,23.59.158.55,192.168.137.186,benign,,66
1553162053.987596,216.58.193.66,192.168.137.186,benign,,66
1553162053.995456,216.58.193.66,192.168.137.186,benign,,1484
1553162053.995666,216.58.193.66,192.168.137.186,benign,,1188
1553162053.998543,192.168.137.186,216.58.193.66,benign,,66
1553162053.998544,192.168.137.186,216.58.193.66,benign,,66
1553162054.017223,192.168.137.186,216.58.193.66,benign,,159
1553162054.017224,192.168.137.186,216.58.193.66,benign,,1434
1553162054.017225,192.168.137.186,216.58.193.66,benign,,1434
1553162054.04573,216.58.193.66,192.168.137.186,benign,,66
1553162054.045954,216.58.193.66,192.168.137.186,benign,,350
1553162054.048089,192.168.137.186,216.58.193.66,benign,,1324
1553162054.055314,13.32.252.108,192.168.137.186,benign,,66
1553162054.08787,192.168.137.186,216.58.193.66,benign,,66
1553162054.097123,13.32.252.89,192.168.137.186,benign,,283
1553162054.09985,192.168.137.186,13.32.252.89,benign,,66
1553162054.114833,216.58.193.66,192.168.137.186,benign,,66
1553162054.14231,23.59.158.55,192.168.137.186,benign,,452
1553162054.14803,192.168.137.186,24.244.3.27,benign,,97
1553162054.148031,192.168.137.186,24.244.3.27,benign,,66
1553162054.157057,24.244.3.27,192.168.137.186,benign,,97
1553162054.158468,24.244.3.27,192.168.137.186,benign,,66
1553162054.15926,192.168.137.186,24.244.3.27,benign,,54
1553162054.16067,192.168.137.186,24.244.3.27,benign,,54
1553162054.163305,24.244.3.27,192.168.137.186,benign,,66
1553162054.165449,192.168.137.186,24.244.3.27,benign,,54
1553162054.177244,192.168.137.186,13.32.252.89,benign,,861
1553162054.184439,192.168.137.186,23.59.158.55,benign,,66
1553162054.204093,13.32.252.89,192.168.137.186,benign,,66
1553162054.205782,192.168.137.186,23.59.158.55,benign,,1088
1553162054.227359,23.59.158.55,192.168.137.186,benign,,66
1553162054.329169,13.32.252.108,192.168.137.186,benign,,1514
1553162054.329406,13.32.252.108,192.168.137.186,benign,,1514
1553162054.329521,13.32.252.108,192.168.137.186,benign,,198
1553162054.329666,13.32.252.108,192.168.137.186,benign,,104
1553162054.331788,192.168.137.186,13.32.252.108,benign,,66
1553162054.33179,192.168.137.186,13.32.252.108,benign,,66
1553162054.33179,192.168.137.186,13.32.252.108,benign,,66
1553162054.331791,192.168.137.186,13.32.252.108,benign,,66
1553162054.334067,13.32.252.89,192.168.137.186,benign,,283
1553162054.336484,192.168.137.186,13.32.252.89,benign,,66
