timestamp,src ip,dst ip,service,domain,frame size
1553163897.671724,192.168.137.186,18.235.158.238,benign,trans.globalnetworkad.com,611
1553163908.29352,192.168.137.186,18.206.2.146,benign,sda.wordgameplay.com,1040
1553163915.89856,192.168.137.186,52.45.238.77,benign,market.wordgameplay.com,656
1553163957.250437,192.168.137.186,52.45.238.77,benign,market.wordgameplay.com,656
1553163985.945526,192.168.137.186,52.45.238.77,benign,market.wordgameplay.com,657
1553164267.059111,192.168.137.186,52.45.238.77,benign,market.wordgameplay.com,657
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553163897.516012,18.206.2.146,192.168.137.186,benign,,54
1553163897.516699,18.206.2.146,192.168.137.186,benign,,492
1553163897.518597,192.168.137.186,18.206.2.146,benign,,54
1553163897.521869,192.168.137.186,18.206.2.146,benign,,54
1553163897.582297,192.168.137.186,18.235.158.238,benign,,74
1553163897.606864,18.206.2.146,192.168.137.186,benign,,54
1553163897.609065,192.168.137.186,18.206.2.146,benign,,54
1553163897.668196,18.235.158.238,192.168.137.186,benign,,66
1553163897.670392,192.168.137.186,18.235.158.238,benign,,54
1553163897.761117,18.235.158.238,192.168.137.186,benign,,54
1553163897.763035,18.235.158.238,192.168.137.186,benign,,1514
1553163897.763075,18.235.158.238,192.168.137.186,benign,,64
1553163897.763091,18.235.158.238,192.168.137.186,benign,,59
1553163897.765594,192.168.137.186,18.235.158.238,benign,,54
1553163897.765594,192.168.137.186,18.235.158.238,benign,,54
1553163897.765595,192.168.137.186,18.235.158.238,benign,,54
1553163897.768381,192.168.137.186,157.240.3.20,benign,,97
1553163897.768381,192.168.137.186,157.240.3.20,benign,,66
1553163897.803166,157.240.3.20,192.168.137.186,benign,,66
1553163897.803503,157.240.3.20,192.168.137.186,benign,,97
1553163897.804056,157.240.3.20,192.168.137.186,benign,,66
1553163897.805881,192.168.137.186,157.240.3.20,benign,,54
1553163897.805881,192.168.137.186,157.240.3.20,benign,,54
1553163901.178899,192.168.137.186,157.240.3.20,benign,,74
1553163901.211556,157.240.3.20,192.168.137.186,benign,,74
1553163901.213978,192.168.137.186,157.240.3.20,benign,,66
1553163901.219238,192.168.137.186,157.240.3.20,benign,,583
1553163901.248637,157.240.3.20,192.168.137.186,benign,,66
1553163901.249347,157.240.3.20,192.168.137.186,benign,,222
1553163901.251357,192.168.137.186,157.240.3.20,benign,,66
1553163901.252685,192.168.137.186,157.240.3.20,benign,,117
1553163901.27285,192.168.137.186,157.240.3.20,benign,,1464
1553163901.301529,157.240.3.20,192.168.137.186,benign,,66
1553163901.304361,192.168.137.186,157.240.3.20,benign,,668
1553163901.371939,157.240.3.20,192.168.137.186,benign,,66
1553163901.575878,157.240.3.20,192.168.137.186,benign,,746
1553163901.657803,192.168.137.186,52.203.114.139,benign,,97
1553163901.657803,192.168.137.186,52.203.114.139,benign,,66
1553163901.67076,157.240.3.20,192.168.137.186,benign,,746
1553163901.672925,192.168.137.186,157.240.3.20,benign,,78
1553163901.739755,52.203.114.139,192.168.137.186,benign,,66
1553163901.742244,192.168.137.186,52.203.114.139,benign,,66
1553163901.744675,52.203.114.139,192.168.137.186,benign,,66
1553163906.792439,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",1434
1553163906.794092,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",1434
1553163906.795816,192.168.137.186,35.241.52.229,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",1023
1553163906.828654,35.241.52.229,192.168.137.186,"ads,tracking","stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",66
