timestamp,src ip,dst ip,service,domain,frame size
1553164819.85959,192.168.137.186,52.71.9.24,benign,52.71.9.24:1341,689
1553164820.56185,192.168.137.186,13.32.205.144,benign,d25l8ybundaqcq.cloudfront.net,372
1553164821.133738,192.168.137.186,70.32.80.158,benign,superpowered.com,198
1553164821.414955,192.168.137.186,70.32.80.158,benign,superpowered.com,198
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553164819.770378,192.168.137.186,52.71.9.24,benign,,74
1553164819.770862,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.771168,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,308
1553164819.808342,192.168.137.186,24.244.3.27,benign,,66
1553164819.811281,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,470
1553164819.816745,24.244.3.27,192.168.137.186,benign,,66
1553164819.843618,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,577
1553164819.843939,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844024,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844127,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844174,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844246,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844289,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844359,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844442,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844552,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844598,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844666,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844707,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844773,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844843,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844918,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.844965,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.845063,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.845136,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.845181,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.845252,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.845326,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.8454,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1514
1553164819.845441,205.185.208.52,192.168.137.186,tracking,cds.s5x3j6q5.hwcdn.net,1069
1553164819.84719,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.84719,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.847191,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.847191,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.848768,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.848768,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.848768,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.848769,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.848769,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.84877,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.84877,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.848771,192.168.137.186,205.185.208.52,tracking,cds.s5x3j6q5.hwcdn.net,66
1553164819.852942,52.71.9.24,192.168.137.186,benign,,91
1553164819.854553,52.71.9.24,192.168.137.186,benign,,74
1553164819.855765,192.168.137.186,52.71.9.24,benign,,66
1553164819.855766,192.168.137.186,52.71.9.24,benign,,66
1553164819.916029,52.48.133.124,192.168.137.186,benign,,117
1553164819.918179,192.168.137.186,52.48.133.124,benign,,66
1553164819.925586,192.168.137.186,52.48.133.124,benign,,1514
1553164819.925587,192.168.137.186,52.48.133.124,benign,,99
1553164819.941691,52.71.9.24,192.168.137.186,benign,,609
1553164819.945087,52.71.9.24,192.168.137.186,benign,,66
1553164819.946116,192.168.137.186,52.71.9.24,benign,,66
1553164819.954613,52.71.9.24,192.168.137.186,benign,,91
1553164819.955501,192.168.137.186,157.240.3.20,benign,,1464
1553164819.955502,192.168.137.186,157.240.3.20,benign,,1464
1553164819.956966,192.168.137.186,52.71.9.24,benign,,66
1553164819.956968,192.168.137.186,157.240.3.20,benign,,477
1553164819.987023,157.240.3.20,192.168.137.186,benign,,66
1553164819.991138,157.240.3.20,192.168.137.186,benign,,66
1553164820.041914,52.71.9.24,192.168.137.186,benign,,609
1553164820.044207,192.168.137.186,52.71.9.24,benign,,66
1553164820.052442,192.168.137.186,52.4.227.176,benign,,97
1553164820.067255,157.240.3.20,192.168.137.186,benign,,1464
1553164820.0675,157.240.3.20,192.168.137.186,benign,,791
1553164820.069619,192.168.137.186,157.240.3.20,benign,,66
1553164820.078787,52.48.133.124,192.168.137.186,benign,,66
1553164820.079261,192.168.137.186,24.244.3.27,benign,,74
1553164820.079262,192.168.137.186,35.241.22.100,ads,ecommerce.iap.unity3d.com,97
