timestamp,src ip,dst ip,service,domain,frame size
1553166679.207839,192.168.137.186,13.32.252.121,benign,adserver.vidcoin.com,481
1553166680.473231,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,770
1553166680.483935,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,770
1553166681.035885,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,769
1553166681.353276,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,770
1553166685.369665,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,770
1553166685.608648,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,769
1553166686.574403,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,769
1553166687.036345,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166745.093011,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166745.202959,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166753.736849,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166754.790405,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166756.330751,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166756.43919,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166766.190486,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166766.294613,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166767.287428,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166768.04992,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166769.399571,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166769.508808,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166769.959274,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166770.569405,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166771.019805,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166771.123347,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166771.653686,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166771.753956,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166772.079479,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166772.308625,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166774.91321,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166775.76261,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166776.665911,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166776.765863,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166778.712098,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166778.820106,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166781.840375,192.168.137.186,192.48.236.11,"ads,tracking",ads.mopub.com,492
1553166854.623252,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,769
1553166854.772038,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,769
