timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553836006.08243,72.21.206.141,192.168.137.46,benign,,54
1553836006.086308,72.21.206.141,192.168.137.46,benign,,54
1553836006.087817,72.21.206.141,192.168.137.46,benign,,1514
1553836006.087916,72.21.206.141,192.168.137.46,benign,,1514
1553836006.08805,72.21.206.141,192.168.137.46,benign,,1514
1553836006.088581,72.21.206.141,192.168.137.46,benign,,1514
1553836006.08864,72.21.206.141,192.168.137.46,benign,,88
1553836006.088746,192.168.137.46,72.21.206.141,benign,,54
1553836006.089586,192.168.137.46,72.21.206.141,benign,,54
1553836006.089785,192.168.137.46,72.21.206.141,benign,,54
1553836006.090041,192.168.137.46,72.21.206.141,benign,,54
1553836006.090422,192.168.137.46,72.21.206.141,benign,,54
1553836006.104978,192.168.137.46,72.21.206.141,benign,,180
1553836006.115653,72.21.206.141,192.168.137.46,benign,,88
1553836006.116901,192.168.137.46,72.21.206.141,benign,,66
1553836006.185281,72.21.206.141,192.168.137.46,benign,,105
1553836006.186655,192.168.137.46,72.21.206.141,benign,,54
1553836006.187465,192.168.137.46,72.21.206.141,benign,,619
1553836006.289652,72.21.206.141,192.168.137.46,benign,,285
1553836006.330045,192.168.137.46,72.21.206.141,benign,,54
1553836006.930347,192.168.137.46,52.84.20.164,benign,,192
1553836006.931095,192.168.137.46,52.84.20.164,benign,,282
1553836006.965815,52.84.20.164,192.168.137.46,benign,,1446
1553836006.969741,52.84.20.164,192.168.137.46,benign,,1514
1553836006.969859,52.84.20.164,192.168.137.46,benign,,1514
1553836006.969902,52.84.20.164,192.168.137.46,benign,,1514
1553836006.969941,52.84.20.164,192.168.137.46,benign,,1514
1553836006.969976,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970009,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970044,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970081,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970115,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970192,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970284,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970328,52.84.20.164,192.168.137.46,benign,,527
1553836006.970364,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970398,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970431,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970465,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970529,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970572,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970609,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970701,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970742,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970809,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970891,52.84.20.164,192.168.137.46,benign,,1514
1553836006.970941,52.84.20.164,192.168.137.46,benign,,844
1553836006.971159,52.84.20.164,192.168.137.46,benign,,1189
1553836006.972145,192.168.137.46,52.84.20.164,benign,,78
1553836006.97253,192.168.137.46,52.84.20.164,benign,,78
1553836006.972746,192.168.137.46,52.84.20.164,benign,,78
1553836006.973198,192.168.137.46,52.84.20.164,benign,,78
1553836006.973903,192.168.137.46,52.84.20.164,benign,,78
1553836006.974088,192.168.137.46,52.84.20.164,benign,,78
1553836006.974509,192.168.137.46,52.84.20.164,benign,,78
1553836006.974779,192.168.137.46,52.84.20.164,benign,,78
1553836006.975088,192.168.137.46,52.84.20.164,benign,,121
1553836006.975502,192.168.137.46,52.84.20.164,benign,,78
1553836006.975795,192.168.137.46,52.84.20.164,benign,,78
1553836006.976079,192.168.137.46,52.84.20.164,benign,,78
1553836006.976342,192.168.137.46,52.84.20.164,benign,,78
1553836006.976651,192.168.137.46,52.84.20.164,benign,,78
1553836006.97694,192.168.137.46,52.84.20.164,benign,,78
1553836006.97722,192.168.137.46,52.84.20.164,benign,,78
1553836006.977931,192.168.137.46,52.84.20.164,benign,,78
1553836006.978184,192.168.137.46,52.84.20.164,benign,,78
1553836006.978448,192.168.137.46,52.84.20.164,benign,,78
1553836006.978731,192.168.137.46,52.84.20.164,benign,,78
1553836006.97905,192.168.137.46,52.84.20.164,benign,,78
1553836006.979369,192.168.137.46,52.84.20.164,benign,,78
1553836006.979654,192.168.137.46,52.84.20.164,benign,,78
1553836006.98008,192.168.137.46,52.84.20.164,benign,,78
1553836006.98033,192.168.137.46,52.84.20.164,benign,,78
1553836006.980612,192.168.137.46,52.84.20.164,benign,,78
1553836006.980913,192.168.137.46,52.84.20.164,benign,,163
1553836006.985286,192.168.137.46,52.84.20.164,benign,,1014
1553836007.003944,52.84.20.164,192.168.137.46,benign,,104
1553836007.005974,192.168.137.46,52.84.20.164,benign,,66
1553836007.014561,52.84.20.164,192.168.137.46,benign,,66
1553836007.02151,52.84.20.164,192.168.137.46,benign,,1514
1553836007.030718,192.168.137.46,52.84.20.164,benign,,419
1553836007.031764,192.168.137.46,52.84.20.164,benign,,1359
1553836007.036131,52.84.20.164,192.168.137.46,benign,,1514
1553836007.036236,52.84.20.164,192.168.137.46,benign,,1514
1553836007.036295,52.84.20.164,192.168.137.46,benign,,1514
1553836007.0368,52.84.20.164,192.168.137.46,benign,,1514
1553836007.037045,52.84.20.164,192.168.137.46,benign,,1514
1553836007.037096,52.84.20.164,192.168.137.46,benign,,1514
1553836007.037387,52.84.20.164,192.168.137.46,benign,,1514
1553836007.037441,52.84.20.164,192.168.137.46,benign,,1514
1553836007.037712,52.84.20.164,192.168.137.46,benign,,1514
1553836007.037766,52.84.20.164,192.168.137.46,benign,,1514
1553836007.03805,52.84.20.164,192.168.137.46,benign,,1514
1553836007.038094,52.84.20.164,192.168.137.46,benign,,1514
1553836007.038698,52.84.20.164,192.168.137.46,benign,,1514
1553836007.038776,52.84.20.164,192.168.137.46,benign,,1514
1553836007.038855,192.168.137.46,52.84.20.164,benign,,66
1553836007.038907,52.84.20.164,192.168.137.46,benign,,1514
1553836007.038972,52.84.20.164,192.168.137.46,benign,,1514
1553836007.039766,52.84.20.164,192.168.137.46,benign,,1514
1553836007.039951,52.84.20.164,192.168.137.46,benign,,1514
1553836007.040045,52.84.20.164,192.168.137.46,benign,,1514
1553836007.040327,52.84.20.164,192.168.137.46,benign,,1514
1553836007.0404,52.84.20.164,192.168.137.46,benign,,1514
1553836007.040455,52.84.20.164,192.168.137.46,benign,,1514
1553836007.040779,52.84.20.164,192.168.137.46,benign,,1514
1553836007.040825,52.84.20.164,192.168.137.46,benign,,1514
1553836007.041403,192.168.137.46,52.84.20.164,benign,,66
1553836007.0415,52.84.20.164,192.168.137.46,benign,,1514
1553836007.041671,192.168.137.46,52.84.20.164,benign,,66
1553836007.041718,52.84.20.164,192.168.137.46,benign,,1514
1553836007.041846,52.84.20.164,192.168.137.46,benign,,1514
1553836007.042212,52.84.20.164,192.168.137.46,benign,,1514
1553836007.042442,192.168.137.46,52.84.20.164,benign,,66
1553836007.042529,52.84.20.164,192.168.137.46,benign,,1514
1553836007.04269,52.84.20.164,192.168.137.46,benign,,1514
1553836007.042922,52.84.20.164,192.168.137.46,benign,,1514
1553836007.042986,52.84.20.164,192.168.137.46,benign,,1514
1553836007.043368,52.84.20.164,192.168.137.46,benign,,1514
1553836007.04339,192.168.137.46,52.84.20.164,benign,,66
1553836007.043452,52.84.20.164,192.168.137.46,benign,,1514
1553836007.043722,52.84.20.164,192.168.137.46,benign,,1514
