timestamp,src ip,dst ip,service,domain,frame size
1553838786.882427,192.168.137.46,24.244.52.40,ads,b.scorecardresearch.com,1158
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553838775.503611,192.168.137.46,216.58.217.34,benign,,238
1553838775.505772,192.168.137.46,216.58.217.34,benign,,1434
1553838775.506608,192.168.137.46,216.58.217.34,benign,,1434
1553838775.507413,192.168.137.46,216.58.217.34,benign,,391
1553838775.509339,216.58.217.34,192.168.137.46,benign,,66
1553838775.510738,216.58.217.33,192.168.137.46,benign,,66
1553838775.515509,216.58.217.33,192.168.137.46,benign,,66
1553838775.523611,216.58.217.34,192.168.137.46,benign,,66
1553838775.527873,216.58.217.33,192.168.137.46,benign,,1484
1553838775.527951,216.58.217.33,192.168.137.46,benign,,193
1553838775.528904,192.168.137.46,216.58.217.33,benign,,78
1553838775.529561,192.168.137.46,216.58.217.33,benign,,78
1553838775.539308,216.58.217.34,192.168.137.46,benign,,66
1553838775.539384,216.58.217.34,192.168.137.46,benign,,66
1553838775.543835,216.58.217.34,192.168.137.46,benign,,196
1553838775.544232,216.58.217.34,192.168.137.46,benign,,1484
1553838775.544519,216.58.217.34,192.168.137.46,benign,,1484
1553838775.544747,216.58.217.34,192.168.137.46,benign,,1484
1553838775.545144,216.58.217.34,192.168.137.46,benign,,1484
1553838775.545286,192.168.137.46,216.58.217.34,benign,,66
1553838775.545387,216.58.217.34,192.168.137.46,benign,,1484
1553838775.545713,216.58.217.34,192.168.137.46,benign,,1484
1553838775.545803,216.58.217.34,192.168.137.46,benign,,1484
1553838775.546115,216.58.217.34,192.168.137.46,benign,,1484
1553838775.546184,216.58.217.34,192.168.137.46,benign,,1484
1553838775.546577,216.58.217.34,192.168.137.46,benign,,1484
1553838775.546798,216.58.217.34,192.168.137.46,benign,,1484
1553838775.546846,216.58.217.34,192.168.137.46,benign,,317
1553838775.546905,216.58.217.34,192.168.137.46,benign,,179
1553838775.54756,192.168.137.46,216.58.217.34,benign,,66
1553838775.548398,192.168.137.46,216.58.217.34,benign,,66
1553838775.548996,192.168.137.46,216.58.217.34,benign,,66
1553838775.550419,192.168.137.46,216.58.217.34,benign,,66
1553838775.551038,192.168.137.46,216.58.217.34,benign,,66
1553838775.552085,192.168.137.46,216.58.217.34,benign,,66
1553838775.552735,192.168.137.46,216.58.217.34,benign,,112
1553838775.560433,192.168.137.46,216.58.217.34,benign,,236
1553838775.573567,216.58.217.33,192.168.137.46,benign,,1484
1553838775.574009,192.168.137.46,216.58.217.34,benign,,1434
1553838775.574541,192.168.137.46,216.58.217.34,benign,,1434
1553838775.574713,192.168.137.46,216.58.217.34,benign,,397
1553838775.575106,192.168.137.46,216.58.217.33,benign,,66
1553838775.575758,192.168.137.46,216.58.217.33,benign,,159
1553838775.578478,216.58.217.34,192.168.137.46,benign,,151
1553838775.578747,216.58.217.34,192.168.137.46,benign,,1484
1553838775.579153,216.58.217.34,192.168.137.46,benign,,1484
1553838775.579371,216.58.217.34,192.168.137.46,benign,,1484
1553838775.579572,216.58.217.34,192.168.137.46,benign,,1484
1553838775.579694,216.58.217.34,192.168.137.46,benign,,1484
1553838775.580098,216.58.217.34,192.168.137.46,benign,,1484
1553838775.5801,192.168.137.46,216.58.217.34,benign,,66
1553838775.580404,216.58.217.34,192.168.137.46,benign,,1484
1553838775.580574,192.168.137.46,216.58.217.34,benign,,66
1553838775.580669,216.58.217.34,192.168.137.46,benign,,1484
1553838775.580857,192.168.137.46,216.58.217.34,benign,,66
1553838775.581028,216.58.217.34,192.168.137.46,benign,,1484
1553838775.581392,216.58.217.34,192.168.137.46,benign,,1484
1553838775.58172,216.58.217.34,192.168.137.46,benign,,1484
1553838775.581792,216.58.217.34,192.168.137.46,benign,,370
1553838775.582625,192.168.137.46,216.58.217.34,benign,,66
1553838775.582877,192.168.137.46,216.58.217.34,benign,,66
1553838775.583542,192.168.137.46,216.58.217.34,benign,,66
1553838775.58973,216.58.217.34,192.168.137.46,benign,,66
1553838775.602104,216.58.217.34,192.168.137.46,benign,,141
1553838775.602171,216.58.217.34,192.168.137.46,benign,,104
1553838775.602258,216.58.217.34,192.168.137.46,benign,,112
1553838775.604771,192.168.137.46,216.58.217.34,benign,,66
1553838775.607442,192.168.137.46,216.58.217.34,benign,,112
1553838775.610132,216.58.217.34,192.168.137.46,benign,,66
1553838775.610264,216.58.217.33,192.168.137.46,benign,,350
