timestamp,src ip,dst ip,service,domain,frame size
1553839762.314366,192.168.137.46,66.220.149.254,benign,h.facebook.com,599
1553839765.341074,192.168.137.46,66.220.149.254,benign,h.facebook.com,599
1553839786.674125,192.168.137.46,66.220.149.254,benign,h.facebook.com,599
1553839788.429785,192.168.137.46,66.220.149.254,benign,h.facebook.com,599
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553839736.95336,192.168.137.46,157.240.3.35,benign,,423
1553839736.958256,192.168.137.46,157.240.3.35,benign,,441
1553839736.982551,157.240.3.35,192.168.137.46,benign,,101
1553839736.983796,192.168.137.46,157.240.3.35,benign,,66
1553839736.99657,157.240.3.35,192.168.137.46,benign,,101
1553839736.998045,192.168.137.46,157.240.3.35,benign,,66
1553839737.031439,157.240.3.35,192.168.137.46,benign,,554
1553839737.032479,192.168.137.46,157.240.3.35,benign,,66
1553839737.05251,157.240.3.35,192.168.137.46,benign,,329
1553839737.053596,192.168.137.46,157.240.3.35,benign,,66
1553839737.676009,192.168.137.46,157.240.3.35,benign,,1464
1553839737.676244,192.168.137.46,157.240.3.35,benign,,1464
1553839737.676719,192.168.137.46,157.240.3.35,benign,,1464
1553839737.67696,192.168.137.46,157.240.3.35,benign,,1464
1553839737.677419,192.168.137.46,157.240.3.35,benign,,849
1553839737.704177,157.240.3.35,192.168.137.46,benign,,66
1553839737.704326,157.240.3.35,192.168.137.46,benign,,101
1553839737.705896,192.168.137.46,157.240.3.35,benign,,66
1553839737.709886,157.240.3.35,192.168.137.46,benign,,66
1553839737.750821,157.240.3.35,192.168.137.46,benign,,66
1553839737.760522,157.240.3.35,192.168.137.46,benign,,380
1553839737.761529,192.168.137.46,157.240.3.35,benign,,66
1553839744.331172,192.168.137.46,157.240.3.35,benign,,567
1553839744.361908,157.240.3.35,192.168.137.46,benign,,101
1553839744.363684,192.168.137.46,157.240.3.35,benign,,66
1553839748.35957,157.240.3.35,192.168.137.46,benign,,1018
1553839748.449507,157.240.3.35,192.168.137.46,benign,,1018
1553839748.536147,157.240.3.35,192.168.137.46,benign,,1018
1553839748.712011,157.240.3.35,192.168.137.46,benign,,1018
1553839748.81273,192.168.137.46,157.240.3.35,benign,,66
1553839748.814483,192.168.137.46,157.240.3.35,benign,,78
1553839750.047209,192.168.137.46,157.240.3.35,benign,,423
1553839750.050013,192.168.137.46,157.240.3.35,benign,,441
1553839750.076739,157.240.3.35,192.168.137.46,benign,,101
1553839750.078185,192.168.137.46,157.240.3.35,benign,,66
1553839750.08276,157.240.3.35,192.168.137.46,benign,,66
1553839750.083433,157.240.3.35,192.168.137.46,benign,,101
1553839750.084352,192.168.137.46,157.240.3.35,benign,,66
1553839750.126629,157.240.3.35,192.168.137.46,benign,,547
1553839750.127718,192.168.137.46,157.240.3.35,benign,,66
1553839750.138713,157.240.3.35,192.168.137.46,benign,,329
1553839750.139905,192.168.137.46,157.240.3.35,benign,,66
1553839756.404855,192.168.137.46,157.240.3.35,benign,,1464
1553839756.405428,192.168.137.46,157.240.3.35,benign,,558
1553839756.440855,157.240.3.35,192.168.137.46,benign,,66
1553839756.441669,157.240.3.35,192.168.137.46,benign,,101
1553839756.443348,192.168.137.46,157.240.3.35,benign,,66
1553839756.492816,157.240.3.35,192.168.137.46,benign,,383
1553839756.494014,192.168.137.46,157.240.3.35,benign,,66
1553839758.443784,192.168.137.46,157.240.3.35,benign,,423
1553839758.447527,192.168.137.46,157.240.3.35,benign,,441
1553839758.474407,157.240.3.35,192.168.137.46,benign,,101
1553839758.47565,192.168.137.46,157.240.3.35,benign,,66
