timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553840662.773969,192.168.137.46,157.240.3.35,benign,,1064
1553840662.803233,157.240.3.35,192.168.137.46,benign,,66
1553840662.851201,157.240.3.35,192.168.137.46,benign,,1102
1553840662.852671,192.168.137.46,157.240.3.35,benign,,66
1553840666.465516,192.168.137.46,157.240.3.35,benign,,867
1553840666.4952,157.240.3.35,192.168.137.46,benign,,66
1553840667.720323,157.240.3.35,192.168.137.46,benign,,1088
1553840667.821207,157.240.3.35,192.168.137.46,benign,,1088
1553840667.91713,157.240.3.35,192.168.137.46,benign,,1088
1553840668.108208,157.240.3.35,192.168.137.46,benign,,1088
1553840668.313667,192.168.137.46,157.240.3.35,benign,,66
1553840668.31388,192.168.137.46,157.240.3.35,benign,,78
1553840668.315246,192.168.137.46,157.240.3.35,benign,,78
1553840668.315388,192.168.137.46,157.240.3.35,benign,,78
1553840672.370405,192.168.137.46,157.240.3.35,benign,,867
1553840672.399829,157.240.3.35,192.168.137.46,benign,,66
1553840672.658933,157.240.3.35,192.168.137.46,benign,,1084
1553840672.818832,192.168.137.46,157.240.3.35,benign,,66
1553840680.217971,192.168.137.46,157.240.3.35,benign,,874
1553840680.248447,157.240.3.35,192.168.137.46,benign,,66
1553840681.375671,157.240.3.35,192.168.137.46,benign,,1092
1553840681.822634,157.240.3.35,192.168.137.46,benign,,1092
1553840682.557293,157.240.3.35,192.168.137.46,benign,,1092
1553840682.718237,192.168.137.46,157.240.3.35,benign,,66
1553840682.71837,192.168.137.46,157.240.3.35,benign,,78
1553840702.646097,192.168.137.46,157.240.3.35,benign,,888
1553840702.680089,157.240.3.35,192.168.137.46,benign,,66
1553840703.138215,157.240.3.35,192.168.137.46,benign,,1102
1553840703.232175,192.168.137.46,157.240.3.35,benign,,66
1553840706.914166,192.168.137.46,157.240.3.35,benign,,892
1553840706.944021,157.240.3.35,192.168.137.46,benign,,66
1553840707.168872,157.240.3.35,192.168.137.46,benign,,1107
1553840707.2255,192.168.137.46,157.240.3.35,benign,,66
1553840708.865795,192.168.137.46,157.240.3.35,benign,,892
1553840708.895281,157.240.3.35,192.168.137.46,benign,,66
1553840709.099307,157.240.3.35,192.168.137.46,benign,,1108
1553840709.478411,192.168.137.46,157.240.3.35,benign,,66
1553840712.443875,192.168.137.46,157.240.3.35,benign,,893
1553840712.474981,157.240.3.35,192.168.137.46,benign,,66
1553840713.636133,157.240.3.35,192.168.137.46,benign,,1106
1553840713.750808,192.168.137.46,157.240.3.35,benign,,66
1553840714.187219,192.168.137.46,157.240.3.35,benign,,893
1553840714.217018,157.240.3.35,192.168.137.46,benign,,66
1553840715.371473,157.240.3.35,192.168.137.46,benign,,1106
1553840715.594134,192.168.137.46,157.240.3.35,benign,,66
1553840715.709505,192.168.137.46,157.240.3.35,benign,,893
1553840715.739263,157.240.3.35,192.168.137.46,benign,,66
1553840715.921314,157.240.3.35,192.168.137.46,benign,,1106
1553840715.922716,192.168.137.46,157.240.3.35,benign,,66
1553840717.453057,192.168.137.46,157.240.3.20,benign,,1464
1553840717.453959,192.168.137.46,157.240.3.20,benign,,1368
1553840717.483878,157.240.3.20,192.168.137.46,benign,,66
1553840717.489567,157.240.3.20,192.168.137.46,benign,,66
1553840717.537702,157.240.3.20,192.168.137.46,benign,,788
1553840717.537813,157.240.3.20,192.168.137.46,benign,,97
1553840717.53884,157.240.3.20,192.168.137.46,benign,,66
1553840717.539043,192.168.137.46,157.240.3.20,benign,,66
1553840717.539635,192.168.137.46,157.240.3.20,benign,,66
1553840717.542061,192.168.137.46,157.240.3.20,benign,,97
1553840717.543312,192.168.137.46,157.240.3.20,benign,,66
1553840717.572636,157.240.3.20,192.168.137.46,benign,,54
1553840722.949769,192.168.137.46,157.240.3.35,benign,,1064
1553840722.987641,157.240.3.35,192.168.137.46,benign,,66
1553840723.034685,157.240.3.35,192.168.137.46,benign,,1102
1553840723.074576,192.168.137.46,157.240.3.35,benign,,66
1553840727.805231,192.168.137.46,157.240.3.35,benign,,907
1553840727.835565,157.240.3.35,192.168.137.46,benign,,66
1553840729.023769,157.240.3.35,192.168.137.46,benign,,1111
1553840729.344279,192.168.137.46,157.240.3.35,benign,,66
1553840738.821929,192.168.137.46,157.240.3.35,benign,,916
1553840738.852517,157.240.3.35,192.168.137.46,benign,,66
1553840739.066428,157.240.3.35,192.168.137.46,benign,,1116
1553840739.175656,192.168.137.46,157.240.3.35,benign,,66
1553840756.477345,192.168.137.46,157.240.3.35,benign,,941
1553840756.506295,157.240.3.35,192.168.137.46,benign,,66
1553840756.769353,157.240.3.35,192.168.137.46,benign,,1139
1553840756.993363,192.168.137.46,157.240.3.35,benign,,66
1553840758.073929,192.168.137.46,157.240.3.35,benign,,943
1553840758.104041,157.240.3.35,192.168.137.46,benign,,66
1553840759.316085,157.240.3.35,192.168.137.46,benign,,1138
1553840759.757602,192.168.137.46,157.240.3.35,benign,,66
1553840766.3078,192.168.137.46,157.240.3.35,benign,,948
1553840766.337102,157.240.3.35,192.168.137.46,benign,,66
1553840766.883068,157.240.3.35,192.168.137.46,benign,,1139
1553840767.514476,192.168.137.46,157.240.3.35,benign,,66
1553840770.686254,192.168.137.46,157.240.3.35,benign,,950
1553840770.715986,157.240.3.35,192.168.137.46,benign,,66
1553840772.131099,157.240.3.35,192.168.137.46,benign,,1143
1553840772.354074,192.168.137.46,157.240.3.35,benign,,66
1553840773.169851,192.168.137.46,157.240.3.35,benign,,950
1553840773.200196,157.240.3.35,192.168.137.46,benign,,66
1553840773.658522,157.240.3.35,192.168.137.46,benign,,1145
1553840773.88996,192.168.137.46,157.240.3.35,benign,,66
1553840781.765686,192.168.137.46,157.240.3.35,benign,,958
1553840781.795866,157.240.3.35,192.168.137.46,benign,,66
1553840783.04015,157.240.3.35,192.168.137.46,benign,,1142
1553840783.180543,192.168.137.46,157.240.3.35,benign,,66
1553840792.795259,192.168.137.46,157.240.3.35,benign,,961
1553840792.825756,157.240.3.35,192.168.137.46,benign,,66
1553840793.218768,157.240.3.35,192.168.137.46,benign,,1141
1553840793.243903,192.168.137.46,157.240.3.35,benign,,66
1553840798.276916,192.168.137.46,157.240.3.35,benign,,970
1553840798.30673,157.240.3.35,192.168.137.46,benign,,66
1553840799.631968,157.240.3.35,192.168.137.46,benign,,1153
1553840800.002307,192.168.137.46,157.240.3.35,benign,,66
1553840802.694804,192.168.137.46,157.240.3.35,benign,,975
1553840802.725379,157.240.3.35,192.168.137.46,benign,,66
1553840803.979822,157.240.3.35,192.168.137.46,benign,,1153
1553840804.735771,157.240.3.35,192.168.137.46,benign,,1153
1553840805.298477,192.168.137.46,157.240.3.35,benign,,78
1553840809.589681,192.168.137.46,157.240.3.35,benign,,979
1553840809.61952,157.240.3.35,192.168.137.46,benign,,66
1553840811.549014,157.240.3.35,192.168.137.46,benign,,1161
1553840811.982364,192.168.137.46,157.240.3.35,benign,,66
1553840817.672195,192.168.137.46,157.240.3.35,benign,,986
1553840817.70198,157.240.3.35,192.168.137.46,benign,,66
1553840819.010328,157.240.3.35,192.168.137.46,benign,,1162
1553840819.048667,192.168.137.46,157.240.3.35,benign,,66
1553840829.287355,192.168.137.46,157.240.3.35,benign,,993
1553840829.317046,157.240.3.35,192.168.137.46,benign,,66
1553840830.565268,157.240.3.35,192.168.137.46,benign,,1166
1553840830.723747,192.168.137.46,157.240.3.35,benign,,66
1553840832.850862,192.168.137.46,157.240.3.35,benign,,994
1553840832.881507,157.240.3.35,192.168.137.46,benign,,66
1553840833.437673,157.240.3.35,192.168.137.46,benign,,1173
1553840833.48738,192.168.137.46,157.240.3.35,benign,,66
1553840842.08729,192.168.137.46,157.240.3.35,benign,,1000
1553840842.117212,157.240.3.35,192.168.137.46,benign,,66
1553840842.411143,157.240.3.35,192.168.137.46,benign,,1173
1553840842.703576,192.168.137.46,157.240.3.35,benign,,66
1553840845.03464,192.168.137.46,157.240.3.35,benign,,1000
1553840845.056025,192.168.137.46,157.240.3.20,benign,,74
1553840845.057291,192.168.137.46,157.240.3.35,benign,,74
1553840845.064763,157.240.3.35,192.168.137.46,benign,,66
1553840845.088709,157.240.3.20,192.168.137.46,benign,,74
1553840845.090646,192.168.137.46,157.240.3.20,benign,,66
1553840845.092238,192.168.137.46,157.240.3.20,benign,,259
1553840845.094576,157.240.3.35,192.168.137.46,benign,,74
1553840845.095754,192.168.137.46,157.240.3.35,benign,,66
1553840845.097682,192.168.137.46,157.240.3.35,benign,,259
1553840845.127758,157.240.3.20,192.168.137.46,benign,,66
1553840845.129482,157.240.3.20,192.168.137.46,benign,,207
1553840845.13052,192.168.137.46,157.240.3.20,benign,,66
1553840845.131144,192.168.137.46,157.240.3.20,benign,,117
1553840845.134236,157.240.3.35,192.168.137.46,benign,,66
1553840845.134619,157.240.3.35,192.168.137.46,benign,,207
1553840845.135586,192.168.137.46,157.240.3.35,benign,,66
1553840845.136374,192.168.137.46,157.240.3.35,benign,,117
1553840845.137978,192.168.137.46,157.240.3.20,benign,,1464
1553840845.172743,157.240.3.20,192.168.137.46,benign,,66
1553840845.173872,192.168.137.46,157.240.3.20,benign,,208
1553840845.207629,157.240.3.35,192.168.137.46,benign,,66
1553840845.208984,192.168.137.46,157.240.3.35,benign,,1064
1553840845.238787,157.240.3.35,192.168.137.46,benign,,66
1553840845.244398,157.240.3.20,192.168.137.46,benign,,66
1553840845.251493,157.240.3.20,192.168.137.46,benign,,793
