Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552712693.571921
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552712696.426384
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552712702.206272
192.168.137.1,benign,192.168.137.108,192.168.137.1,351,1552712706.097909
192.168.137.108,benign,192.168.137.1,192.168.137.108,344,1552712706.111841
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552712712.903467
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552712713.762653
192.168.137.1,benign,192.168.137.108,192.168.137.1,84,1552712720.654991
192.168.137.108,benign,192.168.137.1,192.168.137.108,212,1552712720.670122
54.243.165.181,benign,192.168.137.108,54.243.165.181,74,1552712720.67398
54.243.165.181,benign,54.243.165.181,192.168.137.108,74,1552712720.76223
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712720.768144
54.243.165.181,benign,192.168.137.108,54.243.165.181,287,1552712720.770675
54.243.165.181,benign,54.243.165.181,192.168.137.108,66,1552712720.858291
54.243.165.181,benign,54.243.165.181,192.168.137.108,1514,1552712720.859014
54.243.165.181,benign,54.243.165.181,192.168.137.108,1514,1552712720.860248
54.243.165.181,benign,54.243.165.181,192.168.137.108,1266,1552712720.860441
54.243.165.181,benign,54.243.165.181,192.168.137.108,1514,1552712720.860523
54.243.165.181,benign,54.243.165.181,192.168.137.108,389,1552712720.860624
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712720.864781
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712720.864943
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712720.864944
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712720.864944
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712720.865217
54.243.165.181,benign,192.168.137.108,54.243.165.181,200,1552712721.038912
54.243.165.181,benign,54.243.165.181,192.168.137.108,125,1552712721.121533
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712721.139311
54.243.165.181,benign,192.168.137.108,54.243.165.181,1031,1552712721.178871
54.243.165.181,benign,54.243.165.181,192.168.137.108,1351,1552712721.27859
54.243.165.181,benign,192.168.137.108,54.243.165.181,66,1552712721.284692
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552712721.379432
192.168.137.108,benign,192.168.137.1,192.168.137.108,271,1552712721.414916
54.225.128.59,benign,192.168.137.108,54.225.128.59,74,1552712721.418287
54.225.128.59,benign,54.225.128.59,192.168.137.108,74,1552712721.504326
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.510289
54.225.128.59,benign,192.168.137.108,54.225.128.59,280,1552712721.541042
54.225.128.59,benign,54.225.128.59,192.168.137.108,66,1552712721.627532
54.225.128.59,benign,54.225.128.59,192.168.137.108,1514,1552712721.628197
54.225.128.59,benign,54.225.128.59,192.168.137.108,1514,1552712721.628503
54.225.128.59,benign,54.225.128.59,192.168.137.108,1266,1552712721.629006
54.225.128.59,benign,54.225.128.59,192.168.137.108,1514,1552712721.630206
54.225.128.59,benign,54.225.128.59,192.168.137.108,389,1552712721.6304
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.634252
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.634507
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.634508
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.634915
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.635202
54.225.128.59,benign,192.168.137.108,54.225.128.59,200,1552712721.739889
54.225.128.59,benign,54.225.128.59,192.168.137.108,125,1552712721.822991
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.82921
54.225.128.59,benign,192.168.137.108,54.225.128.59,1239,1552712721.880684
54.225.128.59,benign,54.225.128.59,192.168.137.108,199,1552712721.966001
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712721.971736
54.225.128.59,benign,192.168.137.108,54.225.128.59,1271,1552712721.997395
54.225.128.59,benign,54.225.128.59,192.168.137.108,199,1552712722.086168
54.225.128.59,benign,192.168.137.108,54.225.128.59,66,1552712722.130893
192.168.137.1,benign,192.168.137.108,192.168.137.1,88,1552712723.58698
192.168.137.108,benign,192.168.137.1,192.168.137.108,142,1552712723.600517
35.241.26.53,ads,192.168.137.108,35.241.26.53,74,1552712723.606009
35.241.26.53,ads,35.241.26.53,192.168.137.108,74,1552712723.638575
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552712723.63999
35.241.26.53,ads,192.168.137.108,35.241.26.53,329,1552712723.646618
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552712723.679522
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552712723.681479
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552712723.681516
35.241.26.53,ads,35.241.26.53,192.168.137.108,580,1552712723.682107
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552712723.682989
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552712723.683241
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552712723.685445
35.241.26.53,ads,192.168.137.108,35.241.26.53,216,1552712724.085911
35.241.26.53,ads,35.241.26.53,192.168.137.108,369,1552712724.116347
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552712724.117672
192.168.137.1,benign,192.168.137.108,192.168.137.1,76,1552712724.156877
192.168.137.108,benign,192.168.137.1,192.168.137.108,108,1552712724.169318
34.237.202.95,benign,192.168.137.108,34.237.202.95,74,1552712724.190642
35.241.26.53,ads,192.168.137.108,35.241.26.53,743,1552712724.19598
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552712724.268092
34.237.202.95,benign,34.237.202.95,192.168.137.108,74,1552712724.273887
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712724.275494
34.237.202.95,benign,192.168.137.108,34.237.202.95,140,1552712724.286038
35.241.26.53,ads,35.241.26.53,192.168.137.108,487,1552712724.287916
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552712724.289545
34.237.202.95,benign,34.237.202.95,192.168.137.108,66,1552712724.368393
34.237.202.95,benign,34.237.202.95,192.168.137.108,1514,1552712724.368809
34.237.202.95,benign,34.237.202.95,192.168.137.108,1514,1552712724.369119
34.237.202.95,benign,34.237.202.95,192.168.137.108,1514,1552712724.369605
34.237.202.95,benign,34.237.202.95,192.168.137.108,651,1552712724.369904
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712724.376345
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712724.376555
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712724.376557
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712724.376796
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552712724.398647
192.168.137.108,benign,192.168.137.1,192.168.137.108,278,1552712724.413629
203.119.128.15,ads,192.168.137.108,203.119.128.15,74,1552712724.416926
203.119.128.15,ads,203.119.128.15,192.168.137.108,66,1552712724.660949
203.119.128.15,ads,192.168.137.108,203.119.128.15,54,1552712724.727811
203.119.128.15,ads,192.168.137.108,203.119.128.15,429,1552712724.777895
34.237.202.95,benign,192.168.137.108,34.237.202.95,333,1552712724.785881
34.237.202.95,benign,34.237.202.95,192.168.137.108,66,1552712724.909002
34.237.202.95,benign,192.168.137.108,34.237.202.95,125,1552712724.914745
34.237.202.95,benign,34.237.202.95,192.168.137.108,66,1552712724.993502
34.237.202.95,benign,34.237.202.95,192.168.137.108,125,1552712724.993684
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712725.003121
34.237.202.95,benign,192.168.137.108,34.237.202.95,167,1552712725.006627
34.237.202.95,benign,192.168.137.108,34.237.202.95,1514,1552712725.020591
203.119.128.15,ads,203.119.128.15,192.168.137.108,54,1552712725.021683
203.119.128.15,ads,192.168.137.108,203.119.128.15,1371,1552712725.023167
34.237.202.95,benign,34.237.202.95,192.168.137.108,66,1552712725.100451
34.237.202.95,benign,192.168.137.108,34.237.202.95,656,1552712725.106379
34.237.202.95,benign,34.237.202.95,192.168.137.108,66,1552712725.22755
34.237.202.95,benign,34.237.202.95,192.168.137.108,311,1552712725.267595
34.237.202.95,benign,34.237.202.95,192.168.137.108,1514,1552712725.268324
34.237.202.95,benign,34.237.202.95,192.168.137.108,1514,1552712725.268658
34.237.202.95,benign,34.237.202.95,192.168.137.108,572,1552712725.268862
203.119.128.15,ads,203.119.128.15,192.168.137.108,54,1552712725.268882
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712725.271431
34.237.202.95,benign,192.168.137.108,34.237.202.95,66,1552712725.271747
203.119.128.15,ads,203.119.128.15,192.168.137.108,1514,1552712725.316987
203.119.128.15,ads,203.119.128.15,192.168.137.108,91,1552712725.317195
