Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552714547.913275
192.168.137.108,benign,192.168.137.1,192.168.137.108,179,1552714547.926525
23.59.158.55,benign,192.168.137.108,23.59.158.55,74,1552714547.92966
23.59.158.55,benign,23.59.158.55,192.168.137.108,74,1552714547.953534
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714547.955192
23.59.158.55,benign,192.168.137.108,23.59.158.55,277,1552714547.958986
23.59.158.55,benign,23.59.158.55,192.168.137.108,66,1552714547.983503
23.59.158.55,benign,23.59.158.55,192.168.137.108,1514,1552714547.987674
23.59.158.55,benign,23.59.158.55,192.168.137.108,1514,1552714547.987861
23.59.158.55,benign,23.59.158.55,192.168.137.108,366,1552714547.98795
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714547.990028
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714547.991438
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714547.991662
23.59.158.55,benign,192.168.137.108,23.59.158.55,200,1552714548.044299
23.59.158.55,benign,23.59.158.55,192.168.137.108,316,1552714548.066385
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714548.068061
23.59.158.55,benign,192.168.137.108,23.59.158.55,471,1552714548.08449
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552714548.130509
23.59.158.55,benign,23.59.158.55,192.168.137.108,535,1552714548.133428
192.168.137.108,benign,192.168.137.1,192.168.137.108,118,1552714548.149301
103.235.46.88,ads,192.168.137.108,103.235.46.88,74,1552714548.15173
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714548.174725
103.235.46.88,ads,103.235.46.88,192.168.137.108,74,1552714548.364852
103.235.46.88,ads,192.168.137.108,103.235.46.88,54,1552714548.411049
192.168.137.1,benign,192.168.137.108,192.168.137.1,82,1552714548.469806
103.235.46.88,ads,192.168.137.108,103.235.46.88,265,1552714548.474707
192.168.137.108,benign,192.168.137.1,192.168.137.108,244,1552714548.494644
52.32.144.56,benign,192.168.137.108,52.32.144.56,74,1552714548.498289
52.32.144.56,benign,52.32.144.56,192.168.137.108,74,1552714548.538684
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714548.540274
52.32.144.56,benign,192.168.137.108,52.32.144.56,285,1552714548.542039
52.32.144.56,benign,52.32.144.56,192.168.137.108,66,1552714548.584541
52.32.144.56,benign,52.32.144.56,192.168.137.108,1514,1552714548.586543
52.32.144.56,benign,52.32.144.56,192.168.137.108,1514,1552714548.586645
52.32.144.56,benign,52.32.144.56,192.168.137.108,1514,1552714548.58674
52.32.144.56,benign,52.32.144.56,192.168.137.108,968,1552714548.5868
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714548.588008
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714548.588663
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714548.589003
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714548.589003
103.235.46.88,ads,103.235.46.88,192.168.137.108,54,1552714548.687992
103.235.46.88,ads,103.235.46.88,192.168.137.108,112,1552714548.688336
103.235.46.88,ads,103.235.46.88,192.168.137.108,1514,1552714548.68987
103.235.46.88,ads,103.235.46.88,192.168.137.108,1514,1552714548.690227
103.235.46.88,ads,103.235.46.88,192.168.137.108,694,1552714548.690394
103.235.46.88,ads,192.168.137.108,103.235.46.88,54,1552714548.691965
103.235.46.88,ads,192.168.137.108,103.235.46.88,54,1552714548.692158
103.235.46.88,ads,192.168.137.108,103.235.46.88,54,1552714548.692159
103.235.46.88,ads,192.168.137.108,103.235.46.88,54,1552714548.692159
103.235.46.88,ads,103.235.46.88,192.168.137.108,390,1552714548.723076
103.235.46.88,ads,103.235.46.88,192.168.137.108,63,1552714548.723272
103.235.46.88,ads,192.168.137.108,103.235.46.88,54,1552714548.724654
103.235.46.88,ads,192.168.137.108,103.235.46.88,54,1552714548.72807
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552714548.830246
192.168.137.108,benign,192.168.137.1,192.168.137.108,179,1552714548.864415
23.59.158.55,benign,192.168.137.108,23.59.158.55,74,1552714548.866875
103.235.46.88,ads,103.235.46.88,192.168.137.108,112,1552714548.88869
103.235.46.88,ads,192.168.137.108,103.235.46.88,66,1552714548.890342
23.59.158.55,benign,23.59.158.55,192.168.137.108,74,1552714548.891676
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714548.893174
103.235.46.88,ads,103.235.46.88,192.168.137.108,1514,1552714548.90213
103.235.46.88,ads,103.235.46.88,192.168.137.108,694,1552714548.90237
103.235.46.88,ads,103.235.46.88,192.168.137.108,390,1552714548.902472
23.59.158.55,benign,192.168.137.108,23.59.158.55,277,1552714548.902567
103.235.46.88,ads,192.168.137.108,103.235.46.88,66,1552714548.904021
103.235.46.88,ads,103.235.46.88,192.168.137.108,63,1552714548.906572
103.235.46.88,ads,192.168.137.108,103.235.46.88,66,1552714548.906786
103.235.46.88,ads,192.168.137.108,103.235.46.88,66,1552714548.907065
103.235.46.88,ads,192.168.137.108,103.235.46.88,66,1552714548.908929
23.59.158.55,benign,23.59.158.55,192.168.137.108,66,1552714548.927705
23.59.158.55,benign,23.59.158.55,192.168.137.108,1514,1552714548.929503
23.59.158.55,benign,23.59.158.55,192.168.137.108,1514,1552714548.929649
23.59.158.55,benign,23.59.158.55,192.168.137.108,366,1552714548.929734
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714548.932602
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714548.932871
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714548.932872
52.32.144.56,benign,192.168.137.108,52.32.144.56,74,1552714548.965041
52.32.144.56,benign,52.32.144.56,192.168.137.108,74,1552714549.002359
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714549.004033
52.32.144.56,benign,192.168.137.108,52.32.144.56,285,1552714549.006012
23.59.158.55,benign,192.168.137.108,23.59.158.55,200,1552714549.006789
23.59.158.55,benign,23.59.158.55,192.168.137.108,316,1552714549.032671
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552714549.034948
52.32.144.56,benign,52.32.144.56,192.168.137.108,66,1552714549.044868
52.32.144.56,benign,52.32.144.56,192.168.137.108,1514,1552714549.04679
52.32.144.56,benign,52.32.144.56,192.168.137.108,1514,1552714549.046997
52.32.144.56,benign,52.32.144.56,192.168.137.108,1514,1552714549.047096
52.32.144.56,benign,52.32.144.56,192.168.137.108,968,1552714549.047172
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714549.048758
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714549.049043
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714549.049352
52.32.144.56,benign,192.168.137.108,52.32.144.56,66,1552714549.049353
23.59.158.55,benign,192.168.137.108,23.59.158.55,1159,1552714549.077772
23.59.158.55,benign,23.59.158.55,192.168.137.108,903,1552714549.127253
