Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
13.33.110.49,benign,192.168.137.108,13.33.110.49,66,1552720054.346407
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552720058.497975
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552720063.951612
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552720063.982417
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552720063.987257
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552720064.019871
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552720064.021499
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552720064.037235
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552720064.070093
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552720064.07258
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552720064.072745
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552720064.072828
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552720064.072909
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552720064.07448
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552720064.076715
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552720064.077011
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552720064.077012
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552720064.388729
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552720064.389131
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552720064.403674
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552720064.406204
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552720064.406489
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552720064.411068
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552720064.41337
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552720064.436109
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.43765
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552720064.439224
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552720064.441157
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.442519
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552720064.445615
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552720064.446401
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.447279
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552720064.449766
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.472634
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552720064.475017
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552720064.47528
157.240.3.20,benign,157.240.3.20,192.168.137.108,309,1552720064.47538
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.476893
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.477717
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.478853
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.479139
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552720064.479299
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552720064.480076
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552720064.48024
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.481442
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.481604
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.484064
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.484752
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552720064.485641
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552720064.486591
157.240.3.20,benign,157.240.3.20,192.168.137.108,309,1552720064.486757
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.48804
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.488261
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.490415
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552720064.551302
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552720064.581566
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552720064.582992
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552720064.619288
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552720064.646304
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.647833
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552720064.664582
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552720064.671381
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552720064.674465
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552720064.688312
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552720064.695208
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.696851
108.161.188.128,ads,108.161.188.128,192.168.137.108,827,1552720064.702893
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552720064.704568
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552720064.704726
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.706628
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552720064.729172
157.240.3.20,benign,192.168.137.108,157.240.3.20,471,1552720064.743954
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.757307
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552720064.772572
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.774268
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.797077
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552720064.812044
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.812058
157.240.3.20,benign,157.240.3.20,192.168.137.108,823,1552720064.826403
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.828095
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552720064.840899
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.85187
192.168.137.108,benign,192.168.137.1,192.168.137.108,170,1552720064.85635
54.88.161.146,benign,192.168.137.108,54.88.161.146,74,1552720064.859305
157.240.3.20,benign,192.168.137.108,157.240.3.20,487,1552720064.894562
157.240.3.20,benign,192.168.137.108,157.240.3.20,983,1552720064.919587
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.921308
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552720064.922782
54.88.161.146,benign,54.88.161.146,192.168.137.108,74,1552720064.944057
54.88.161.146,benign,192.168.137.108,54.88.161.146,66,1552720064.945702
54.88.161.146,benign,192.168.137.108,54.88.161.146,277,1552720064.947413
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.949956
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552720064.951763
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.954958
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552720064.956485
157.240.3.20,benign,157.240.3.20,192.168.137.108,919,1552720064.97501
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552720064.97698
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.979861
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552720064.984241
54.88.161.146,benign,54.88.161.146,192.168.137.108,66,1552720065.034603
54.88.161.146,benign,54.88.161.146,192.168.137.108,1514,1552720065.036765
54.88.161.146,benign,54.88.161.146,192.168.137.108,1514,1552720065.036917
54.88.161.146,benign,54.88.161.146,192.168.137.108,1514,1552720065.037008
54.88.161.146,benign,54.88.161.146,192.168.137.108,847,1552720065.037085
54.88.161.146,benign,192.168.137.108,54.88.161.146,66,1552720065.039226
54.88.161.146,benign,192.168.137.108,54.88.161.146,66,1552720065.040673
54.88.161.146,benign,192.168.137.108,54.88.161.146,66,1552720065.040896
54.88.161.146,benign,192.168.137.108,54.88.161.146,66,1552720065.040898
54.88.161.146,benign,192.168.137.108,54.88.161.146,200,1552720065.09686
54.88.161.146,benign,54.88.161.146,192.168.137.108,332,1552720065.177902
54.88.161.146,benign,192.168.137.108,54.88.161.146,66,1552720065.184288
54.88.161.146,benign,192.168.137.108,54.88.161.146,391,1552720065.247808
54.88.161.146,benign,54.88.161.146,192.168.137.108,66,1552720065.368738
54.88.161.146,benign,192.168.137.108,54.88.161.146,1431,1552720065.375164
