Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552721895.032717
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552721919.864801
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552721919.878047
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552721919.884244
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552721919.914502
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721919.916132
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552721919.929886
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721919.958225
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552721919.960425
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552721919.960637
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552721919.96072
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721919.96211
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721919.964364
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721919.964591
192.168.137.1,benign,192.168.137.108,192.168.137.1,82,1552721920.029342
192.168.137.108,benign,192.168.137.1,192.168.137.108,188,1552721920.043118
13.33.148.181,benign,192.168.137.108,13.33.148.181,74,1552721920.047824
13.33.148.181,benign,13.33.148.181,192.168.137.108,74,1552721920.081702
13.33.148.181,benign,192.168.137.108,13.33.148.181,66,1552721920.083143
13.33.148.181,benign,192.168.137.108,13.33.148.181,227,1552721920.089058
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552721920.107491
13.33.148.181,benign,13.33.148.181,192.168.137.108,66,1552721920.1213
13.33.148.181,benign,13.33.148.181,192.168.137.108,1514,1552721920.125336
13.33.148.181,benign,13.33.148.181,192.168.137.108,1514,1552721920.125541
13.33.148.181,benign,13.33.148.181,192.168.137.108,113,1552721920.125627
13.33.148.181,benign,192.168.137.108,13.33.148.181,66,1552721920.127049
13.33.148.181,benign,192.168.137.108,13.33.148.181,66,1552721920.129213
13.33.148.181,benign,192.168.137.108,13.33.148.181,66,1552721920.129431
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552721920.134812
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721920.136535
157.240.3.20,benign,192.168.137.108,157.240.3.20,663,1552721920.167801
13.33.148.181,benign,192.168.137.108,13.33.148.181,200,1552721920.215619
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721920.235529
13.33.148.181,benign,13.33.148.181,192.168.137.108,316,1552721920.247886
13.33.148.181,benign,192.168.137.108,13.33.148.181,66,1552721920.249526
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552721920.250432
13.33.148.181,benign,192.168.137.108,13.33.148.181,343,1552721920.276124
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721920.289463
13.33.148.181,benign,13.33.148.181,192.168.137.108,1095,1552721920.307763
13.33.148.181,benign,192.168.137.108,13.33.148.181,66,1552721920.349497
157.240.3.20,benign,192.168.137.108,157.240.3.20,1463,1552721920.51637
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721920.543791
157.240.3.20,benign,192.168.137.108,157.240.3.20,1004,1552721920.54917
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721920.576128
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552721920.664228
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552721920.697301
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721920.698758
157.240.3.20,benign,192.168.137.108,157.240.3.20,505,1552721920.700969
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721920.736627
157.240.3.20,benign,157.240.3.20,192.168.137.108,211,1552721920.737283
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721920.740371
157.240.3.20,benign,192.168.137.108,157.240.3.20,125,1552721920.741835
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721920.81629
157.240.3.20,benign,192.168.137.108,157.240.3.20,727,1552721920.827829
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721920.857775
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552721920.859452
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552721920.889195
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552721921.057391
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721921.099653
192.168.137.1,benign,192.168.137.108,192.168.137.1,79,1552721921.101829
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552721921.102533
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552721921.104244
192.168.137.1,benign,192.168.137.108,192.168.137.1,80,1552721921.118296
192.168.137.108,benign,192.168.137.1,192.168.137.108,127,1552721921.165918
34.208.56.43,ads,192.168.137.108,34.208.56.43,74,1552721921.169872
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552721921.17248
216.58.193.66,benign,192.168.137.108,216.58.193.66,74,1552721921.175018
34.208.56.43,ads,34.208.56.43,192.168.137.108,74,1552721921.206576
216.58.193.66,benign,216.58.193.66,192.168.137.108,74,1552721921.207333
34.208.56.43,ads,192.168.137.108,34.208.56.43,66,1552721921.209102
216.58.193.66,benign,192.168.137.108,216.58.193.66,66,1552721921.211175
34.208.56.43,ads,192.168.137.108,34.208.56.43,224,1552721921.241834
216.58.193.66,benign,192.168.137.108,216.58.193.66,283,1552721921.241835
