Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552743156.803028
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552743171.999772
192.168.137.108,benign,192.168.137.1,192.168.137.108,160,1552743172.003955
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552743172.122558
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552743172.155441
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552743172.253798
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552743172.256399
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552743172.291538
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552743172.292153
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552743172.293578
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552743172.293801
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552743172.319264
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552743172.319428
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552743172.319429
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552743172.500551
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552743172.532457
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552743172.640855
157.240.3.20,benign,192.168.137.108,157.240.3.20,727,1552743172.774154
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552743172.845639
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552743172.859912
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552743172.949948
192.168.137.1,benign,192.168.137.108,192.168.137.1,76,1552743175.22601
192.168.137.108,benign,192.168.137.1,192.168.137.108,123,1552743175.24055
172.217.3.179,benign,192.168.137.108,172.217.3.179,74,1552743175.247407
172.217.3.179,benign,172.217.3.179,192.168.137.108,74,1552743175.280369
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552743175.282027
172.217.3.179,benign,192.168.137.108,172.217.3.179,279,1552743175.299046
172.217.3.179,benign,172.217.3.179,192.168.137.108,66,1552743175.328937
172.217.3.179,benign,172.217.3.179,192.168.137.108,1484,1552743175.336921
172.217.3.179,benign,172.217.3.179,192.168.137.108,1484,1552743175.337121
172.217.3.179,benign,172.217.3.179,192.168.137.108,474,1552743175.338052
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552743175.338533
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552743175.341097
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552743175.341237
172.217.3.179,benign,192.168.137.108,172.217.3.179,74,1552743175.547493
172.217.3.179,benign,192.168.137.108,172.217.3.179,200,1552743175.553811
172.217.3.179,benign,172.217.3.179,192.168.137.108,74,1552743175.579819
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552743175.581485
172.217.3.179,benign,172.217.3.179,192.168.137.108,125,1552743175.588077
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552743175.589626
172.217.3.179,benign,192.168.137.108,172.217.3.179,311,1552743175.64433
172.217.3.179,benign,192.168.137.108,172.217.3.179,855,1552743175.645663
172.217.3.179,benign,172.217.3.179,192.168.137.108,66,1552743175.674858
172.217.3.179,benign,172.217.3.179,192.168.137.108,217,1552743175.681667
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552743175.68321
172.217.3.179,benign,192.168.137.108,172.217.3.179,125,1552743175.684684
172.217.3.179,benign,172.217.3.179,192.168.137.108,66,1552743175.713543
172.217.3.179,benign,192.168.137.108,172.217.3.179,103,1552743175.715066
