Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
5.9.48.82,benign,5.9.48.82,192.168.137.108,1015,1552744961.35754
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552744961.363232
172.217.3.179,benign,192.168.137.108,172.217.3.179,66,1552744962.836395
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552744963.126529
5.9.48.82,benign,5.9.48.82,192.168.137.108,119,1552744966.429547
5.9.48.82,benign,5.9.48.82,192.168.137.108,66,1552744966.430022
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552744966.519264
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552744966.553671
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552744989.190216
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552744989.205348
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552744989.211601
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552744989.244263
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.245634
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552744989.25103
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.282286
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552744989.285219
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552744989.285288
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552744989.285314
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.286735
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.289057
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.289201
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552744989.46796
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552744989.500344
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552744989.51555
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.517062
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552744989.521932
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552744989.545859
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.54757
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.556666
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552744989.557428
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552744989.558153
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552744989.558344
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.560349
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.560649
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.56065
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552744989.637847
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552744989.658468
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552744989.689315
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.690976
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.709762
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552744989.714359
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552744989.726959
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.728538
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.784979
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552744989.804883
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552744989.8442
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744989.844725
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.874307
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552744989.875921
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.906124
157.240.3.20,benign,192.168.137.108,157.240.3.20,1431,1552744989.936519
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.966678
157.240.3.20,benign,192.168.137.108,157.240.3.20,1004,1552744989.968346
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552744989.998394
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552744990.498277
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744990.582653
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552744990.59808
157.240.3.20,benign,192.168.137.108,157.240.3.20,78,1552744990.59976
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552744990.863869
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552744990.889497
172.217.14.206,benign,192.168.137.108,172.217.14.206,800,1552744991.817679
172.217.14.206,benign,172.217.14.206,192.168.137.108,66,1552744991.859813
172.217.14.206,benign,172.217.14.206,192.168.137.108,470,1552744992.040716
172.217.14.206,benign,172.217.14.206,192.168.137.108,466,1552744992.04091
172.217.14.206,benign,172.217.14.206,192.168.137.108,92,1552744992.041007
172.217.14.206,benign,192.168.137.108,172.217.14.206,66,1552744992.046458
