Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552748666.663644
192.168.137.1,benign,192.168.137.108,192.168.137.1,71,1552748692.03387
192.168.137.108,benign,192.168.137.1,192.168.137.108,103,1552748692.259353
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748692.58373
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748693.597402
5.9.48.82,benign,5.9.48.82,192.168.137.108,74,1552748693.743007
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748693.748801
5.9.48.82,benign,192.168.137.108,5.9.48.82,264,1552748693.830522
5.9.48.82,benign,192.168.137.108,5.9.48.82,264,1552748694.345236
5.9.48.82,benign,5.9.48.82,192.168.137.108,66,1552748694.490124
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552748696.809184
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552748697.57235
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552748697.572579
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552748698.073078
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552748698.07329
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552748698.571017
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552748698.571227
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552748698.652663
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552748698.652935
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552748699.166045
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552748699.166257
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552748699.667305
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552748699.667515
5.9.48.82,benign,5.9.48.82,192.168.137.108,1514,1552748702.994727
5.9.48.82,benign,5.9.48.82,192.168.137.108,1514,1552748702.995181
5.9.48.82,benign,5.9.48.82,192.168.137.108,1266,1552748702.99543
5.9.48.82,benign,5.9.48.82,192.168.137.108,1002,1552748702.996137
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748703.19618
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748703.196181
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748703.196182
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748703.196182
5.9.48.82,benign,192.168.137.108,5.9.48.82,216,1552748703.393916
5.9.48.82,benign,5.9.48.82,192.168.137.108,66,1552748703.539474
5.9.48.82,benign,5.9.48.82,192.168.137.108,141,1552748703.539655
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748703.548988
5.9.48.82,benign,192.168.137.108,5.9.48.82,247,1552748703.702562
5.9.48.82,benign,5.9.48.82,192.168.137.108,1015,1552748703.846469
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748703.888128
5.9.48.82,benign,5.9.48.82,192.168.137.108,119,1552748708.771274
5.9.48.82,benign,5.9.48.82,192.168.137.108,66,1552748708.77162
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748708.924197
5.9.48.82,benign,192.168.137.108,5.9.48.82,66,1552748708.924198
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552748726.94805
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552748757.034693
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552748769.913673
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552748770.148471
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552748770.174718
172.217.3.170,benign,192.168.137.108,172.217.3.170,78,1552748770.180321
192.168.137.1,benign,192.168.137.108,192.168.137.1,351,1552748770.830066
192.168.137.108,benign,192.168.137.1,192.168.137.108,344,1552748770.834906
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552748787.086227
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748814.296315
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748815.297146
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552748817.180702
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748817.285348
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748821.311241
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748824.442904
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748825.440567
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748827.503268
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748831.498965
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748834.501029
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748835.501342
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748837.501129
5.9.48.82,benign,192.168.137.108,5.9.48.82,74,1552748841.508028
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748844.547926
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748845.541731
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552748847.298004
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748847.534344
216.58.217.46,benign,216.58.217.46,192.168.137.108,66,1552748849.322037
216.58.217.46,benign,192.168.137.108,216.58.217.46,66,1552748849.445822
172.217.14.206,benign,172.217.14.206,192.168.137.108,66,1552748849.857182
172.217.14.206,benign,192.168.137.108,172.217.14.206,66,1552748849.955659
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552748851.547838
148.251.140.42,benign,148.251.140.42,192.168.137.108,74,1552748851.690615
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748851.697177
148.251.140.42,benign,192.168.137.108,148.251.140.42,266,1552748851.718511
148.251.140.42,benign,192.168.137.108,148.251.140.42,266,1552748852.211574
148.251.140.42,benign,192.168.137.108,148.251.140.42,266,1552748853.172494
172.217.3.163,benign,172.217.3.163,192.168.137.108,66,1552748853.228815
172.217.3.163,benign,192.168.137.108,172.217.3.163,66,1552748853.265968
148.251.140.42,benign,192.168.137.108,148.251.140.42,266,1552748855.084669
148.251.140.42,benign,148.251.140.42,192.168.137.108,66,1552748855.227198
148.251.140.42,benign,148.251.140.42,192.168.137.108,1514,1552748860.44515
148.251.140.42,benign,148.251.140.42,192.168.137.108,1514,1552748860.445957
148.251.140.42,benign,148.251.140.42,192.168.137.108,1266,1552748860.446199
148.251.140.42,benign,148.251.140.42,192.168.137.108,1002,1552748860.446448
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748860.466589
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748860.469303
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748860.46984
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748860.470337
148.251.140.42,benign,192.168.137.108,148.251.140.42,216,1552748860.565287
148.251.140.42,benign,148.251.140.42,192.168.137.108,66,1552748860.715013
148.251.140.42,benign,148.251.140.42,192.168.137.108,141,1552748860.715137
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748860.770853
148.251.140.42,benign,192.168.137.108,148.251.140.42,247,1552748860.832379
148.251.140.42,benign,148.251.140.42,192.168.137.108,1015,1552748860.97252
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748861.07312
148.251.140.42,benign,148.251.140.42,192.168.137.108,119,1552748865.903048
148.251.140.42,benign,148.251.140.42,192.168.137.108,66,1552748865.903477
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748865.996194
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552748866.036226
172.217.3.174,benign,172.217.3.174,192.168.137.108,121,1552748875.217545
172.217.3.174,benign,172.217.3.174,192.168.137.108,66,1552748875.217867
172.217.3.174,benign,172.217.3.174,192.168.137.108,66,1552748875.297341
172.217.3.174,benign,192.168.137.108,172.217.3.174,66,1552748875.315033
172.217.3.174,benign,192.168.137.108,172.217.3.174,78,1552748875.319321
