Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552752369.24412
216.58.193.74,benign,192.168.137.108,216.58.193.74,66,1552752375.639996
192.168.137.1,benign,192.168.137.108,192.168.137.1,351,1552752376.344768
192.168.137.108,benign,192.168.137.1,192.168.137.108,344,1552752376.360401
5.9.48.82,benign,192.168.137.108,5.9.48.82,264,1552752379.564417
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552752385.454774
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552752385.455132
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552752385.472239
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552752385.475138
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552752385.478113
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552752385.480227
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552752385.510576
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552752385.512037
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552752385.513054
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552752385.514328
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552752385.550289
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552752385.551849
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552752385.58299
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552752385.583874
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552752385.584872
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552752385.585035
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552752385.585131
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552752385.586811
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552752385.587151
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552752385.587153
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552752385.587364
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552752385.588203
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552752385.588879
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552752385.59042
157.240.3.20,benign,157.240.3.20,192.168.137.108,309,1552752385.59063
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552752385.59203
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552752385.592031
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552752385.594332
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552752385.824539
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552752385.854604
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552752385.856142
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552752385.861244
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552752385.895329
157.240.3.20,benign,192.168.137.108,157.240.3.20,663,1552752385.896446
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552752385.896817
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552752385.967719
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552752385.975442
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552752386.000413
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552752386.002074
108.161.188.128,ads,108.161.188.128,192.168.137.108,1419,1552752386.006032
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552752386.008124
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552752386.195308
192.168.137.108,benign,192.168.137.1,192.168.137.108,170,1552752386.220457
52.3.174.175,benign,192.168.137.108,52.3.174.175,74,1552752386.260839
52.3.174.175,benign,52.3.174.175,192.168.137.108,74,1552752386.34515
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752386.356596
52.3.174.175,benign,192.168.137.108,52.3.174.175,277,1552752386.356597
52.3.174.175,benign,52.3.174.175,192.168.137.108,66,1552752386.446317
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552752386.449267
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552752386.44948
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552752386.449572
52.3.174.175,benign,52.3.174.175,192.168.137.108,847,1552752386.44973
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752386.453579
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752386.453849
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752386.453851
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752386.4542
52.3.174.175,benign,192.168.137.108,52.3.174.175,200,1552752386.642805
52.3.174.175,benign,52.3.174.175,192.168.137.108,332,1552752386.728971
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752386.770719
52.3.174.175,benign,192.168.137.108,52.3.174.175,871,1552752386.805187
52.3.174.175,benign,52.3.174.175,192.168.137.108,295,1552752386.889226
52.3.174.175,benign,52.3.174.175,192.168.137.108,103,1552752386.88942
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752386.930338
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552752387.676682
192.168.137.1,benign,192.168.137.108,192.168.137.1,81,1552752388.461336
192.168.137.108,benign,192.168.137.1,192.168.137.108,209,1552752388.476394
54.67.104.81,benign,192.168.137.108,54.67.104.81,74,1552752388.479547
54.67.104.81,benign,54.67.104.81,192.168.137.108,74,1552752388.536823
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.538387
54.67.104.81,benign,192.168.137.108,54.67.104.81,284,1552752388.544592
54.67.104.81,benign,54.67.104.81,192.168.137.108,66,1552752388.597905
54.67.104.81,benign,54.67.104.81,192.168.137.108,1514,1552752388.600496
54.67.104.81,benign,54.67.104.81,192.168.137.108,1514,1552752388.600745
54.67.104.81,benign,54.67.104.81,192.168.137.108,1514,1552752388.600865
54.67.104.81,benign,54.67.104.81,192.168.137.108,472,1552752388.600969
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.602073
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.604926
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.605175
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.605176
54.67.104.81,benign,192.168.137.108,54.67.104.81,200,1552752388.828379
54.67.104.81,benign,54.67.104.81,192.168.137.108,348,1552752388.879258
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.880769
54.67.104.81,benign,192.168.137.108,54.67.104.81,567,1552752388.926409
54.67.104.81,benign,54.67.104.81,192.168.137.108,247,1552752388.978165
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.979692
54.67.104.81,benign,192.168.137.108,54.67.104.81,103,1552752388.988087
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752388.988333
54.67.104.81,benign,54.67.104.81,192.168.137.108,66,1552752389.039696
54.67.104.81,benign,54.67.104.81,192.168.137.108,66,1552752389.044655
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752389.045393
192.168.137.1,benign,192.168.137.108,192.168.137.1,82,1552752389.118378
192.168.137.108,benign,192.168.137.1,192.168.137.108,210,1552752389.132694
52.7.38.86,benign,192.168.137.108,52.7.38.86,74,1552752389.168193
52.7.38.86,benign,192.168.137.108,52.7.38.86,74,1552752389.172364
52.7.38.86,benign,52.7.38.86,192.168.137.108,74,1552752389.250076
52.7.38.86,benign,52.7.38.86,192.168.137.108,74,1552752389.254711
52.7.38.86,benign,192.168.137.108,52.7.38.86,66,1552752389.255836
52.7.38.86,benign,192.168.137.108,52.7.38.86,66,1552752389.257864
54.67.104.81,benign,192.168.137.108,54.67.104.81,74,1552752389.293236
52.7.38.86,benign,192.168.137.108,52.7.38.86,227,1552752389.294817
54.67.104.81,benign,192.168.137.108,54.67.104.81,74,1552752389.309164
52.7.38.86,benign,192.168.137.108,52.7.38.86,227,1552752389.311369
54.67.104.81,benign,54.67.104.81,192.168.137.108,74,1552752389.345702
54.67.104.81,benign,192.168.137.108,54.67.104.81,66,1552752389.347365
