Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552757909.112242
74.125.20.188,benign,192.168.137.108,74.125.20.188,93,1552757916.923946
74.125.20.188,benign,74.125.20.188,192.168.137.108,91,1552757916.960855
74.125.20.188,benign,192.168.137.108,74.125.20.188,66,1552757916.962533
172.217.3.195,benign,192.168.137.108,172.217.3.195,327,1552757917.16891
172.217.3.195,benign,172.217.3.195,192.168.137.108,231,1552757917.19879
172.217.3.195,benign,192.168.137.108,172.217.3.195,66,1552757917.20044
192.168.137.1,benign,192.168.137.108,192.168.137.1,86,1552757917.374794
192.168.137.108,benign,192.168.137.1,192.168.137.108,174,1552757917.388278
216.58.193.78,benign,192.168.137.108,216.58.193.78,1392,1552757917.405117
216.58.193.78,benign,192.168.137.108,216.58.193.78,1392,1552757917.405507
216.58.193.78,benign,192.168.137.108,216.58.193.78,350,1552757917.405508
216.58.193.78,benign,192.168.137.108,216.58.193.78,425,1552757917.409969
216.58.193.78,benign,192.168.137.108,216.58.193.78,1392,1552757917.434323
216.58.193.78,benign,216.58.193.78,192.168.137.108,62,1552757917.436992
192.168.137.1,benign,192.168.137.108,192.168.137.1,71,1552757917.448002
216.58.193.78,benign,192.168.137.108,216.58.193.78,425,1552757917.459857
216.58.193.78,benign,216.58.193.78,192.168.137.108,62,1552757917.465431
216.58.193.78,benign,216.58.193.78,192.168.137.108,62,1552757917.515859
192.168.137.108,benign,192.168.137.1,192.168.137.108,103,1552757917.693479
148.251.140.42,benign,192.168.137.108,148.251.140.42,74,1552757917.703335
216.58.193.78,benign,216.58.193.78,192.168.137.108,866,1552757917.726543
216.58.193.78,benign,216.58.193.78,192.168.137.108,306,1552757917.726735
216.58.193.78,benign,192.168.137.108,216.58.193.78,70,1552757917.73173
216.58.193.78,benign,216.58.193.78,192.168.137.108,866,1552757917.749238
216.58.193.78,benign,192.168.137.108,216.58.193.78,70,1552757917.780898
148.251.140.42,benign,148.251.140.42,192.168.137.108,74,1552757917.845697
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757917.851584
148.251.140.42,benign,192.168.137.108,148.251.140.42,264,1552757917.889576
148.251.140.42,benign,192.168.137.108,148.251.140.42,264,1552757918.349563
148.251.140.42,benign,192.168.137.108,148.251.140.42,264,1552757919.249566
172.217.3.195,benign,192.168.137.108,172.217.3.195,327,1552757920.235164
172.217.3.195,benign,172.217.3.195,192.168.137.108,231,1552757920.265269
172.217.3.195,benign,192.168.137.108,172.217.3.195,66,1552757920.26759
148.251.140.42,benign,192.168.137.108,148.251.140.42,264,1552757921.050338
148.251.140.42,benign,148.251.140.42,192.168.137.108,66,1552757921.193307
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552757923.812013
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552757923.812378
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552757923.826528
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552757923.829434
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552757923.834004
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552757923.836309
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552757923.858766
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.860301
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552757923.866988
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552757923.868003
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.869634
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552757923.874803
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757923.895813
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552757923.897769
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552757923.897965
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552757923.898129
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.899494
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.899904
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.900198
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757923.905863
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552757923.906537
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552757923.906715
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552757923.9068
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.912351
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.912352
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757923.912353
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552757924.013244
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552757924.040174
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757924.041883
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552757924.071788
157.240.3.20,benign,192.168.137.108,157.240.3.20,663,1552757924.082099
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552757924.099017
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757924.100657
157.240.3.20,benign,192.168.137.108,157.240.3.20,663,1552757924.12843
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757924.148799
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552757924.166524
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757924.168284
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757924.196837
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552757924.218361
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552757924.237236
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757924.253997
157.240.3.20,benign,192.168.137.108,157.240.3.20,1415,1552757924.259997
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757924.264899
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552757924.266387
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757924.287895
157.240.3.20,benign,192.168.137.108,157.240.3.20,748,1552757924.289378
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757924.29321
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757924.316825
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552757924.766627
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552757924.860972
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757924.867544
157.240.3.20,benign,192.168.137.108,157.240.3.20,78,1552757924.869674
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552757925.466267
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757925.482161
148.251.140.42,benign,148.251.140.42,192.168.137.108,1514,1552757927.1064
148.251.140.42,benign,148.251.140.42,192.168.137.108,1514,1552757927.107105
148.251.140.42,benign,148.251.140.42,192.168.137.108,1266,1552757927.108072
148.251.140.42,benign,148.251.140.42,192.168.137.108,1002,1552757927.108266
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757927.12075
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757927.121936
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757927.121937
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757927.121937
148.251.140.42,benign,192.168.137.108,148.251.140.42,216,1552757927.278353
148.251.140.42,benign,148.251.140.42,192.168.137.108,66,1552757927.420152
148.251.140.42,benign,148.251.140.42,192.168.137.108,141,1552757927.420508
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757927.526305
148.251.140.42,benign,192.168.137.108,148.251.140.42,247,1552757927.57715
148.251.140.42,benign,148.251.140.42,192.168.137.108,1015,1552757927.717414
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757927.723215
192.168.137.1,benign,192.168.137.108,192.168.137.1,88,1552757932.629404
192.168.137.108,benign,192.168.137.1,192.168.137.108,142,1552757932.643788
35.241.26.53,ads,192.168.137.108,35.241.26.53,74,1552757932.646593
148.251.140.42,benign,148.251.140.42,192.168.137.108,119,1552757932.649788
148.251.140.42,benign,148.251.140.42,192.168.137.108,66,1552757932.650431
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757932.651251
35.241.26.53,ads,35.241.26.53,192.168.137.108,74,1552757932.677367
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552757932.679067
148.251.140.42,benign,192.168.137.108,148.251.140.42,66,1552757932.684399
35.241.26.53,ads,192.168.137.108,35.241.26.53,329,1552757932.685061
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552757932.722505
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552757932.724252
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552757932.72446
35.241.26.53,ads,35.241.26.53,192.168.137.108,580,1552757932.724719
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552757932.726418
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552757932.726641
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552757932.726892
35.241.26.53,ads,192.168.137.108,35.241.26.53,216,1552757932.844528
35.241.26.53,ads,35.241.26.53,192.168.137.108,369,1552757932.872093
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552757932.87376
35.241.26.53,ads,192.168.137.108,35.241.26.53,807,1552757932.891156
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552757932.958244
35.241.26.53,ads,35.241.26.53,192.168.137.108,487,1552757933.019867
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552757933.064387
192.168.137.1,benign,192.168.137.108,192.168.137.1,81,1552757933.449892
192.168.137.108,benign,192.168.137.1,192.168.137.108,214,1552757933.491275
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,74,1552757933.495382
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,74,1552757933.525425
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.527266
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,322,1552757933.529619
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,66,1552757933.562592
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,1484,1552757933.564485
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,1484,1552757933.56468
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,749,1552757933.564953
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.566776
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.566778
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.566778
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,216,1552757933.594574
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,369,1552757933.622557
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,1047,1552757933.640349
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,135,1552757933.706545
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.744454
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,231,1552757933.80852
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.814497
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,583,1552757933.857866
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,1434,1552757933.858226
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,66,1552757933.885746
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,607,1552757933.890091
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,135,1552757933.92478
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.926688
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.108,231,1552757933.975117
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552757933.976842
157.240.3.20,benign,192.168.137.108,157.240.3.20,1415,1552757938.711675
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757938.742542
157.240.3.20,benign,192.168.137.108,157.240.3.20,716,1552757938.744345
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552757938.774691
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552757938.82735
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552757938.829217
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552757939.255113
192.168.137.1,benign,192.168.137.108,192.168.137.1,82,1552757940.010401
192.168.137.108,benign,192.168.137.1,192.168.137.108,210,1552757940.026067
52.207.193.235,benign,192.168.137.108,52.207.193.235,74,1552757940.029339
52.207.193.235,benign,52.207.193.235,192.168.137.108,74,1552757940.112514
52.207.193.235,benign,192.168.137.108,52.207.193.235,66,1552757940.11898
52.207.193.235,benign,192.168.137.108,52.207.193.235,285,1552757940.121457
52.207.193.235,benign,52.207.193.235,192.168.137.108,66,1552757940.207754
52.207.193.235,benign,52.207.193.235,192.168.137.108,1514,1552757940.20835
52.207.193.235,benign,52.207.193.235,192.168.137.108,1514,1552757940.20948
52.207.193.235,benign,52.207.193.235,192.168.137.108,1266,1552757940.209681
52.207.193.235,benign,52.207.193.235,192.168.137.108,1247,1552757940.209769
52.207.193.235,benign,192.168.137.108,52.207.193.235,66,1552757940.214148
52.207.193.235,benign,192.168.137.108,52.207.193.235,66,1552757940.214343
52.207.193.235,benign,192.168.137.108,52.207.193.235,66,1552757940.214344
52.207.193.235,benign,192.168.137.108,52.207.193.235,66,1552757940.215147
52.207.193.235,benign,192.168.137.108,52.207.193.235,200,1552757940.286017
52.207.193.235,benign,52.207.193.235,192.168.137.108,125,1552757940.367841
52.207.193.235,benign,192.168.137.108,52.207.193.235,66,1552757940.373808
52.207.193.235,benign,192.168.137.108,52.207.193.235,727,1552757940.419269
52.207.193.235,benign,52.207.193.235,192.168.137.108,1514,1552757940.517774
