Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552763419.648563
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552763424.559662
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552763424.560016
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552763424.575066
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552763424.581006
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552763424.766796
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552763424.767111
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552763424.767907
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552763424.796357
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552763424.801239
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552763424.804247
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552763424.873747
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552763424.87404
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552763424.874041
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552763424.877129
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552763424.877482
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552763424.878941
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552763424.908331
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552763424.909118
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552763424.910117
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552763424.910307
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552763424.911602
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552763424.912039
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552763424.912071
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552763424.912558
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552763424.912559
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552763424.913212
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552763424.913456
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552763424.913673
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552763424.914209
