Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708774.464957
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708774.465203
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708774.966422
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708774.966623
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708775.060911
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708775.061109
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708775.57096
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708775.571202
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708776.071729
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708776.07195
192.168.137.1,benign,192.168.137.149,192.168.137.1,89,1552708777.365557
192.168.137.149,benign,192.168.137.1,192.168.137.149,105,1552708777.370058
216.58.193.67,benign,192.168.137.149,216.58.193.67,74,1552708777.373471
216.58.193.67,benign,192.168.137.149,216.58.193.67,74,1552708778.387217
172.217.14.238,benign,192.168.137.149,172.217.14.238,74,1552708778.409091
172.217.14.238,benign,192.168.137.149,172.217.14.238,74,1552708778.6579
216.58.193.67,benign,192.168.137.149,216.58.193.67,74,1552708780.385619
216.58.193.67,benign,192.168.137.149,216.58.193.67,74,1552708782.413921
216.58.193.67,benign,192.168.137.149,216.58.193.67,74,1552708783.414796
192.168.137.255,benign,192.168.137.1,192.168.137.255,243,1552708784.378277
74.125.196.188,benign,192.168.137.149,74.125.196.188,93,1552708785.063344
216.58.193.67,benign,192.168.137.149,216.58.193.67,74,1552708785.41599
89.234.156.230,benign,192.168.137.149,89.234.156.230,74,1552708792.064358
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708792.529461
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708792.529667
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708793.023304
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708793.023502
89.234.156.230,benign,192.168.137.149,89.234.156.230,74,1552708793.050702
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708793.530847
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708793.531025
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708793.61913
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708793.619314
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708794.127499
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708794.127692
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708794.631656
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708794.631768
89.234.156.230,benign,192.168.137.149,89.234.156.230,74,1552708795.064729
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552708797.456102
89.234.156.230,benign,192.168.137.149,89.234.156.230,74,1552708799.070274
192.168.137.1,benign,192.168.137.149,192.168.137.1,78,1552708804.178065
192.168.137.149,benign,192.168.137.1,192.168.137.149,136,1552708804.191678
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708804.315443
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708804.315654
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708804.315655
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708805.323826
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708805.324166
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708805.324168
89.234.156.230,benign,192.168.137.149,89.234.156.230,74,1552708807.105146
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708807.315085
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708807.315385
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708807.315386
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708808.585002
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708808.585202
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708809.080661
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708809.080863
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708809.585651
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708809.585793
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708809.683559
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708809.683757
192.168.137.1,benign,192.168.137.149,192.168.137.1,86,1552708810.08841
192.168.137.149,benign,192.168.137.1,192.168.137.149,174,1552708810.102563
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708810.190052
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708810.190259
172.217.3.174,benign,192.168.137.149,172.217.3.174,74,1552708810.199128
192.168.137.1,benign,192.168.137.149,192.168.137.1,76,1552708810.320127
192.168.137.149,benign,192.168.137.1,192.168.137.149,140,1552708810.341494
192.168.137.1,benign,192.168.137.149,192.168.137.1,76,1552708810.343763
192.168.137.149,benign,192.168.137.1,192.168.137.149,92,1552708810.364381
70.32.80.158,benign,192.168.137.149,70.32.80.158,74,1552708810.366718
192.168.137.1,benign,192.168.137.149,192.168.137.1,98,1552708810.695209
192.168.137.149,benign,192.168.137.1,192.168.137.149,98,1552708810.695416
172.217.3.174,benign,192.168.137.149,172.217.3.174,74,1552708811.199439
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708811.324645
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708811.32481
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708811.324811
70.32.80.158,benign,192.168.137.149,70.32.80.158,74,1552708811.360331
192.168.137.1,benign,192.168.137.149,192.168.137.1,88,1552708811.460437
192.168.137.149,benign,192.168.137.1,192.168.137.149,142,1552708811.491569
35.241.26.53,ads,192.168.137.149,35.241.26.53,74,1552708811.520987
35.241.26.53,ads,192.168.137.149,35.241.26.53,74,1552708812.544421
172.217.3.174,benign,192.168.137.149,172.217.3.174,74,1552708813.204077
70.32.80.158,benign,192.168.137.149,70.32.80.158,74,1552708813.364344
192.168.137.1,benign,192.168.137.149,192.168.137.1,86,1552708813.542088
192.168.137.149,benign,192.168.137.1,192.168.137.149,102,1552708813.613919
35.201.97.85,ads,192.168.137.149,35.201.97.85,74,1552708813.620908
192.168.137.1,benign,192.168.137.149,192.168.137.1,95,1552708814.119835
192.168.137.149,benign,192.168.137.1,192.168.137.149,225,1552708814.148454
172.217.14.234,benign,192.168.137.149,172.217.14.234,74,1552708814.155313
192.168.137.1,benign,192.168.137.149,192.168.137.1,85,1552708814.468494
192.168.137.149,benign,192.168.137.1,192.168.137.149,101,1552708814.482237
35.241.22.100,ads,192.168.137.149,35.241.22.100,74,1552708814.495963
35.241.26.53,ads,192.168.137.149,35.241.26.53,74,1552708814.530447
35.201.97.85,ads,192.168.137.149,35.201.97.85,74,1552708814.62443
192.168.137.1,benign,192.168.137.149,192.168.137.1,78,1552708814.769048
192.168.137.149,benign,192.168.137.1,192.168.137.149,136,1552708814.783551
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708814.786039
172.217.14.234,benign,192.168.137.149,172.217.14.234,74,1552708815.163524
35.241.22.100,ads,192.168.137.149,35.241.22.100,74,1552708815.503322
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708815.79413
35.201.97.85,ads,192.168.137.149,35.201.97.85,74,1552708816.634092
172.217.14.234,benign,192.168.137.149,172.217.14.234,74,1552708817.159187
172.217.3.174,benign,192.168.137.149,172.217.3.174,74,1552708817.200511
70.32.80.158,benign,192.168.137.149,70.32.80.158,74,1552708817.375305
35.241.22.100,ads,192.168.137.149,35.241.22.100,74,1552708817.494787
192.168.137.1,benign,192.168.137.149,192.168.137.1,75,1552708817.555628
192.168.137.149,benign,192.168.137.1,192.168.137.149,268,1552708817.571012
52.49.173.26,benign,192.168.137.149,52.49.173.26,74,1552708817.575189
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708817.78532
35.241.26.53,ads,192.168.137.149,35.241.26.53,74,1552708818.588219
52.49.173.26,benign,192.168.137.149,52.49.173.26,74,1552708818.589222
216.58.193.74,benign,192.168.137.149,216.58.193.74,74,1552708819.176861
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708819.334928
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708819.33513
157.240.3.20,benign,192.168.137.149,157.240.3.20,74,1552708819.335131
216.58.193.74,benign,192.168.137.149,216.58.193.74,74,1552708820.169944
