Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.1,benign,192.168.137.108,192.168.137.1,79,1552718207.377809
192.168.137.108,benign,192.168.137.1,192.168.137.108,145,1552718207.396697
172.217.3.170,benign,192.168.137.108,172.217.3.170,74,1552718207.40196
172.217.3.170,benign,172.217.3.170,192.168.137.108,74,1552718207.434934
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552718207.43745
172.217.3.170,benign,192.168.137.108,172.217.3.170,527,1552718207.443791
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552718207.476746
172.217.3.170,benign,172.217.3.170,192.168.137.108,217,1552718207.477141
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552718207.480932
172.217.3.170,benign,192.168.137.108,172.217.3.170,125,1552718207.484915
172.217.3.170,benign,192.168.137.108,172.217.3.170,1434,1552718207.533994
172.217.3.170,benign,192.168.137.108,172.217.3.170,1434,1552718207.534203
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552718207.556766
172.217.3.170,benign,192.168.137.108,172.217.3.170,764,1552718207.558728
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552718207.564677
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552718207.567266
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552718207.586091
172.217.3.170,benign,172.217.3.170,192.168.137.108,679,1552718207.609994
172.217.3.170,benign,172.217.3.170,192.168.137.108,151,1552718207.610339
172.217.3.170,benign,172.217.3.170,192.168.137.108,167,1552718207.61054
172.217.3.170,benign,172.217.3.170,192.168.137.108,103,1552718207.610647
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552718207.614585
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552718207.626543
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552718219.693529
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552718219.715319
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552718219.718542
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552718219.751249
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552718219.752836
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552718219.756429
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552718219.790827
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552718219.791579
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552718219.792839
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552718219.793044
