Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552723761.812844
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552723765.422888
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552723765.437447
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552723765.441132
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552723765.474003
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723765.475654
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552723765.479022
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552723765.51305
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552723765.513736
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552723765.513903
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552723765.513995
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552723765.514071
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552723765.585729
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723765.636726
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723765.636966
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723765.636967
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723765.636968
108.161.188.128,ads,192.168.137.108,108.161.188.128,66,1552723765.637242
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552723765.783041
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552723765.813301
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723765.814851
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552723765.860254
108.161.188.128,ads,108.161.188.128,192.168.137.108,875,1552723765.89059
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723765.922872
108.161.188.128,ads,108.161.188.128,192.168.137.108,91,1552723769.891898
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552723769.892255
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723769.919498
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552723769.953402
192.168.137.1,benign,192.168.137.108,192.168.137.1,75,1552723770.163722
192.168.137.108,benign,192.168.137.1,192.168.137.108,152,1552723770.178352
216.115.100.124,benign,192.168.137.108,216.115.100.124,74,1552723770.180975
216.115.100.124,benign,216.115.100.124,192.168.137.108,74,1552723770.213613
216.115.100.124,benign,192.168.137.108,216.115.100.124,66,1552723770.215324
216.115.100.124,benign,192.168.137.108,216.115.100.124,278,1552723770.230604
216.115.100.124,benign,216.115.100.124,192.168.137.108,66,1552723770.263717
216.115.100.124,benign,216.115.100.124,192.168.137.108,1514,1552723770.265609
216.115.100.124,benign,216.115.100.124,192.168.137.108,1514,1552723770.265762
216.115.100.124,benign,216.115.100.124,192.168.137.108,472,1552723770.265828
216.115.100.124,benign,192.168.137.108,216.115.100.124,66,1552723770.26739
216.115.100.124,benign,192.168.137.108,216.115.100.124,66,1552723770.267652
216.115.100.124,benign,192.168.137.108,216.115.100.124,66,1552723770.267887
216.115.100.124,benign,192.168.137.108,216.115.100.124,200,1552723770.356874
216.115.100.124,benign,216.115.100.124,192.168.137.108,348,1552723770.387678
216.115.100.124,benign,192.168.137.108,216.115.100.124,66,1552723770.389363
216.115.100.124,benign,192.168.137.108,216.115.100.124,647,1552723770.415555
216.115.100.124,benign,216.115.100.124,192.168.137.108,1399,1552723770.461145
216.115.100.124,benign,216.115.100.124,192.168.137.108,167,1552723770.461345
216.115.100.124,benign,192.168.137.108,216.115.100.124,66,1552723770.466061
216.115.100.124,benign,216.115.100.124,192.168.137.108,119,1552723770.46945
216.115.100.124,benign,192.168.137.108,216.115.100.124,66,1552723770.503196
172.217.3.174,benign,192.168.137.108,172.217.3.174,650,1552723771.288401
172.217.3.174,benign,172.217.3.174,192.168.137.108,66,1552723771.317829
172.217.3.174,benign,172.217.3.174,192.168.137.108,470,1552723771.429774
172.217.3.174,benign,172.217.3.174,192.168.137.108,282,1552723771.429969
172.217.3.174,benign,172.217.3.174,192.168.137.108,92,1552723771.430046
172.217.3.174,benign,192.168.137.108,172.217.3.174,66,1552723771.436241
