Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
5.9.48.82,benign,192.168.137.108,5.9.48.82,264,1552725612.720105
5.9.48.82,benign,192.168.137.108,5.9.48.82,264,1552725627.150805
192.168.137.1,benign,192.168.137.108,192.168.137.1,351,1552725628.11448
192.168.137.108,benign,192.168.137.1,192.168.137.108,344,1552725628.129384
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552725628.160089
5.9.48.82,benign,5.9.48.82,192.168.137.108,74,1552725630.126389
5.9.48.82,benign,192.168.137.108,5.9.48.82,78,1552725630.145642
172.217.14.238,benign,192.168.137.108,172.217.14.238,824,1552725631.949299
172.217.14.238,benign,172.217.14.238,192.168.137.108,66,1552725631.983119
172.217.14.238,benign,172.217.14.238,192.168.137.108,470,1552725632.171848
172.217.14.238,benign,172.217.14.238,192.168.137.108,511,1552725632.172042
172.217.14.238,benign,192.168.137.108,172.217.14.238,66,1552725632.178496
172.217.14.238,benign,192.168.137.108,172.217.14.238,66,1552725632.178497
172.217.14.227,benign,192.168.137.108,172.217.14.227,327,1552725632.415468
172.217.14.227,benign,172.217.14.227,192.168.137.108,231,1552725632.445258
172.217.14.227,benign,192.168.137.108,172.217.14.227,66,1552725632.447718
172.217.14.238,benign,192.168.137.108,172.217.14.238,1392,1552725632.618834
172.217.14.238,benign,172.217.14.238,192.168.137.108,1392,1552725632.660291
172.217.14.238,benign,172.217.14.238,192.168.137.108,73,1552725632.66075
172.217.14.238,benign,192.168.137.108,172.217.14.238,1392,1552725632.670304
172.217.14.238,benign,192.168.137.108,172.217.14.238,81,1552725632.672829
172.217.14.238,benign,192.168.137.108,172.217.14.238,1392,1552725632.674677
172.217.14.238,benign,192.168.137.108,172.217.14.238,1392,1552725632.674678
172.217.14.238,benign,192.168.137.108,172.217.14.238,409,1552725632.674684
172.217.14.238,benign,192.168.137.108,172.217.14.238,432,1552725632.674981
172.217.14.238,benign,172.217.14.238,192.168.137.108,65,1552725632.707068
172.217.14.238,benign,172.217.14.238,192.168.137.108,65,1552725632.707249
172.217.14.238,benign,192.168.137.108,172.217.14.238,81,1552725632.707906
172.217.14.238,benign,172.217.14.238,192.168.137.108,65,1552725632.730775
