Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552729300.903581
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552729309.619572
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552729309.633041
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552729309.759863
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552729309.792419
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552729309.794048
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552729309.798379
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552729309.832289
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552729309.839427
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552729309.839614
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552729309.839699
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552729309.839779
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552729309.841476
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552729309.843546
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552729309.843786
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552729309.844043
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552729310.090893
192.168.137.1,benign,192.168.137.108,192.168.137.1,84,1552729310.100628
192.168.137.108,benign,192.168.137.1,192.168.137.108,100,1552729310.11518
13.33.139.216,benign,192.168.137.108,13.33.139.216,74,1552729310.11889
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552729310.12114
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552729310.122759
13.33.139.216,benign,13.33.139.216,192.168.137.108,74,1552729310.152647
13.33.139.216,benign,192.168.137.108,13.33.139.216,66,1552729310.154563
13.33.139.216,benign,192.168.137.108,13.33.139.216,287,1552729310.160142
13.33.139.216,benign,13.33.139.216,192.168.137.108,66,1552729310.19266
13.33.139.216,benign,13.33.139.216,192.168.137.108,1514,1552729310.195584
13.33.139.216,benign,13.33.139.216,192.168.137.108,1514,1552729310.195782
13.33.139.216,benign,13.33.139.216,192.168.137.108,1514,1552729310.19587
13.33.139.216,benign,13.33.139.216,192.168.137.108,508,1552729310.19605
13.33.139.216,benign,192.168.137.108,13.33.139.216,66,1552729310.197424
13.33.139.216,benign,192.168.137.108,13.33.139.216,66,1552729310.199669
13.33.139.216,benign,192.168.137.108,13.33.139.216,66,1552729310.199914
13.33.139.216,benign,192.168.137.108,13.33.139.216,66,1552729310.199916
108.161.188.128,ads,192.168.137.108,108.161.188.128,379,1552729310.323578
108.161.188.128,ads,108.161.188.128,192.168.137.108,875,1552729310.353993
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552729310.355556
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552729310.571407
192.168.137.108,benign,192.168.137.1,192.168.137.108,170,1552729310.585109
