Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552731107.338815
172.217.3.170,benign,192.168.137.108,172.217.3.170,74,1552731116.798311
172.217.3.170,benign,172.217.3.170,192.168.137.108,74,1552731116.828053
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552731116.829586
172.217.3.170,benign,192.168.137.108,172.217.3.170,527,1552731116.832074
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552731116.864436
172.217.3.170,benign,172.217.3.170,192.168.137.108,217,1552731116.864694
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552731116.868319
172.217.3.170,benign,192.168.137.108,172.217.3.170,125,1552731116.872108
172.217.3.170,benign,192.168.137.108,172.217.3.170,1434,1552731116.919119
172.217.3.170,benign,192.168.137.108,172.217.3.170,1434,1552731116.919403
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552731116.941315
172.217.3.170,benign,192.168.137.108,172.217.3.170,764,1552731116.94329
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552731116.946836
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552731116.946977
172.217.3.170,benign,172.217.3.170,192.168.137.108,66,1552731116.97008
172.217.3.170,benign,172.217.3.170,192.168.137.108,679,1552731117.55408
172.217.3.170,benign,172.217.3.170,192.168.137.108,199,1552731117.554468
172.217.3.170,benign,172.217.3.170,192.168.137.108,199,1552731117.560253
172.217.3.170,benign,172.217.3.170,192.168.137.108,103,1552731117.560633
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552731117.576878
172.217.3.170,benign,192.168.137.108,172.217.3.170,66,1552731117.58837
192.168.137.255,benign,192.168.137.1,192.168.137.255,246,1552731129.627571
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552731132.889055
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552731132.889501
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552731132.903578
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552731132.906893
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552731132.911298
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552731132.913907
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552731132.943085
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552731132.944592
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552731132.944737
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731132.946628
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552731132.959373
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552731132.973591
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731132.988903
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552731132.989725
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552731132.990779
157.240.3.20,benign,157.240.3.20,192.168.137.108,309,1552731132.991069
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731132.994907
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731132.99506
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731132.997073
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552731133.005766
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552731133.006696
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552731133.006841
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552731133.006926
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552731133.007004
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552731133.009644
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552731133.009942
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552731133.009943
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552731133.009944
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552731133.315216
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552731133.343901
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731133.345628
157.240.3.20,benign,192.168.137.108,157.240.3.20,663,1552731133.447722
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552731133.44965
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552731133.479429
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552731133.479759
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731133.481352
157.240.3.20,benign,192.168.137.108,157.240.3.20,505,1552731133.485243
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552731133.510231
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552731133.5119
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.515572
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.518064
157.240.3.20,benign,157.240.3.20,192.168.137.108,211,1552731133.518321
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731133.521745
157.240.3.20,benign,192.168.137.108,157.240.3.20,125,1552731133.522931
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552731133.531991
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731133.533558
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.595217
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552731133.60013
157.240.3.20,benign,192.168.137.108,157.240.3.20,663,1552731133.600427
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.631508
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552731133.670047
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552731133.682297
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.70993
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552731133.711649
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.738735
157.240.3.20,benign,157.240.3.20,192.168.137.108,1207,1552731133.7867
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731133.821555
157.240.3.20,benign,192.168.137.108,157.240.3.20,1431,1552731133.860962
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.889811
157.240.3.20,benign,192.168.137.108,157.240.3.20,1052,1552731133.89148
108.161.188.128,ads,108.161.188.128,192.168.137.108,795,1552731133.906666
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552731133.908618
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552731133.918468
192.168.137.1,benign,192.168.137.108,192.168.137.1,84,1552731133.934769
192.168.137.108,benign,192.168.137.1,192.168.137.108,212,1552731133.948632
54.243.54.10,benign,192.168.137.108,54.243.54.10,74,1552731133.957991
54.243.54.10,benign,54.243.54.10,192.168.137.108,74,1552731134.040032
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.04575
54.243.54.10,benign,192.168.137.108,54.243.54.10,287,1552731134.063096
54.243.54.10,benign,54.243.54.10,192.168.137.108,66,1552731134.145237
54.243.54.10,benign,54.243.54.10,192.168.137.108,1514,1552731134.147008
54.243.54.10,benign,54.243.54.10,192.168.137.108,1514,1552731134.147284
54.243.54.10,benign,54.243.54.10,192.168.137.108,1266,1552731134.147386
54.243.54.10,benign,54.243.54.10,192.168.137.108,1514,1552731134.147476
54.243.54.10,benign,54.243.54.10,192.168.137.108,389,1552731134.147545
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.151275
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.151568
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.151957
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.151958
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.15221
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552731134.255679
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731134.261429
54.243.54.10,benign,192.168.137.108,54.243.54.10,200,1552731134.68241
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552731134.703311
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552731134.7049
54.243.54.10,benign,54.243.54.10,192.168.137.108,125,1552731134.761993
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.767682
172.217.14.238,benign,192.168.137.108,172.217.14.238,803,1552731134.835236
54.243.54.10,benign,192.168.137.108,54.243.54.10,903,1552731134.845096
172.217.14.238,benign,172.217.14.238,192.168.137.108,66,1552731134.869451
54.243.54.10,benign,54.243.54.10,192.168.137.108,1335,1552731134.937952
54.243.54.10,benign,192.168.137.108,54.243.54.10,66,1552731134.944772
172.217.14.238,benign,172.217.14.238,192.168.137.108,470,1552731135.065297
172.217.14.238,benign,172.217.14.238,192.168.137.108,438,1552731135.065496
172.217.14.238,benign,172.217.14.238,192.168.137.108,92,1552731135.065577
172.217.14.238,benign,192.168.137.108,172.217.14.238,66,1552731135.071075
172.217.14.238,benign,192.168.137.108,172.217.14.238,66,1552731135.073199
172.217.14.238,benign,192.168.137.108,172.217.14.238,66,1552731135.073461
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552731135.074016
192.168.137.108,benign,192.168.137.1,192.168.137.108,271,1552731135.090833
50.17.211.128,benign,192.168.137.108,50.17.211.128,74,1552731135.100961
50.17.211.128,benign,50.17.211.128,192.168.137.108,74,1552731135.184733
50.17.211.128,benign,192.168.137.108,50.17.211.128,66,1552731135.19068
50.17.211.128,benign,192.168.137.108,50.17.211.128,280,1552731135.209766
50.17.211.128,benign,50.17.211.128,192.168.137.108,66,1552731135.293483
50.17.211.128,benign,50.17.211.128,192.168.137.108,1514,1552731135.294317
50.17.211.128,benign,50.17.211.128,192.168.137.108,1514,1552731135.295202
50.17.211.128,benign,50.17.211.128,192.168.137.108,1266,1552731135.295495
50.17.211.128,benign,50.17.211.128,192.168.137.108,1514,1552731135.29562
