Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552741289.850307
35.201.103.6,benign,192.168.137.108,35.201.103.6,66,1552741295.668575
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552741312.338922
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552741312.339443
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552741312.359648
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552741312.36336
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552741312.363593
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552741312.368757
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552741312.372092
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552741312.396565
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.398165
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552741312.40124
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.402768
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552741312.403084
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.405086
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552741312.418795
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552741312.420298
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552741312.423454
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741312.448537
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552741312.449217
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552741312.450752
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552741312.450947
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.45214
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.452448
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.454699
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741312.456496
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741312.457048
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552741312.457588
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552741312.458203
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552741312.458399
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552741312.458748
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552741312.45905
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552741312.459188
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.460513
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.46082
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.460821
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.460958
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.46299
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.462991
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552741312.801699
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552741312.801958
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552741312.809832
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552741312.830293
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.831846
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552741312.833173
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.834513
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552741312.841246
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.842608
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552741312.899963
157.240.3.20,benign,192.168.137.108,157.240.3.20,471,1552741312.903308
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552741312.930076
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741312.969894
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741312.975006
157.240.3.20,benign,157.240.3.20,192.168.137.108,823,1552741312.991754
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552741312.992062
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.993124
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741312.995175
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741312.998441
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552741313.013048
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741313.014521
157.240.3.20,benign,192.168.137.108,157.240.3.20,487,1552741313.044762
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741313.074539
157.240.3.20,benign,192.168.137.108,157.240.3.20,999,1552741313.094858
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741313.124582
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552741313.126008
157.240.3.20,benign,157.240.3.20,192.168.137.108,919,1552741313.131822
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741313.133973
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741313.155609
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552741313.180268
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741313.206847
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552741313.20909
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552741313.235887
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552741313.719866
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552741313.810405
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552741313.819578
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741313.834425
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552741313.836657
157.240.3.20,benign,192.168.137.108,157.240.3.20,78,1552741313.836658
192.168.137.1,benign,192.168.137.108,192.168.137.1,84,1552741314.131852
192.168.137.108,benign,192.168.137.1,192.168.137.108,212,1552741314.157949
174.129.36.124,benign,192.168.137.108,174.129.36.124,74,1552741314.16118
174.129.36.124,benign,174.129.36.124,192.168.137.108,74,1552741314.246456
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741314.252314
174.129.36.124,benign,192.168.137.108,174.129.36.124,287,1552741314.374186
174.129.36.124,benign,174.129.36.124,192.168.137.108,66,1552741314.457881
174.129.36.124,benign,174.129.36.124,192.168.137.108,1514,1552741314.458637
174.129.36.124,benign,174.129.36.124,192.168.137.108,1514,1552741314.458921
174.129.36.124,benign,174.129.36.124,192.168.137.108,1266,1552741314.459967
174.129.36.124,benign,174.129.36.124,192.168.137.108,1514,1552741314.460545
174.129.36.124,benign,174.129.36.124,192.168.137.108,389,1552741314.460687
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741314.548875
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741314.549115
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741314.549116
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741314.549432
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741314.549433
174.129.36.124,benign,192.168.137.108,174.129.36.124,200,1552741314.859675
174.129.36.124,benign,174.129.36.124,192.168.137.108,125,1552741314.944441
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741314.950847
174.129.36.124,benign,192.168.137.108,174.129.36.124,1015,1552741315.024903
174.129.36.124,benign,174.129.36.124,192.168.137.108,66,1552741315.178165
174.129.36.124,benign,174.129.36.124,192.168.137.108,1335,1552741315.188237
174.129.36.124,benign,192.168.137.108,174.129.36.124,66,1552741315.266112
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552741315.368119
192.168.137.108,benign,192.168.137.1,192.168.137.108,271,1552741315.382661
54.225.213.23,benign,192.168.137.108,54.225.213.23,74,1552741315.389882
54.225.213.23,benign,54.225.213.23,192.168.137.108,74,1552741315.474158
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.480595
54.225.213.23,benign,192.168.137.108,54.225.213.23,280,1552741315.489269
54.225.213.23,benign,54.225.213.23,192.168.137.108,66,1552741315.571869
54.225.213.23,benign,54.225.213.23,192.168.137.108,1514,1552741315.572775
54.225.213.23,benign,54.225.213.23,192.168.137.108,1514,1552741315.5738
54.225.213.23,benign,54.225.213.23,192.168.137.108,1266,1552741315.573999
54.225.213.23,benign,54.225.213.23,192.168.137.108,1514,1552741315.574084
54.225.213.23,benign,54.225.213.23,192.168.137.108,389,1552741315.574149
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.580362
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.580603
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.580877
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.581127
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.581379
54.225.213.23,benign,192.168.137.108,54.225.213.23,200,1552741315.691417
54.225.213.23,benign,54.225.213.23,192.168.137.108,125,1552741315.772979
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.779303
54.225.213.23,benign,192.168.137.108,54.225.213.23,1223,1552741315.826927
54.225.213.23,benign,54.225.213.23,192.168.137.108,199,1552741315.908756
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741315.914794
54.225.213.23,benign,192.168.137.108,54.225.213.23,1255,1552741315.941726
54.225.213.23,benign,54.225.213.23,192.168.137.108,199,1552741316.024292
54.225.213.23,benign,192.168.137.108,54.225.213.23,66,1552741316.064068
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552741320.004614
192.168.137.1,benign,192.168.137.108,192.168.137.1,88,1552741326.2999
192.168.137.108,benign,192.168.137.1,192.168.137.108,142,1552741326.31453
35.241.26.53,ads,192.168.137.108,35.241.26.53,74,1552741326.318696
35.241.26.53,ads,35.241.26.53,192.168.137.108,74,1552741326.353097
192.168.137.1,benign,192.168.137.108,192.168.137.1,76,1552741326.443657
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552741326.444263
192.168.137.108,benign,192.168.137.1,192.168.137.108,111,1552741326.461653
52.216.32.43,benign,192.168.137.108,52.216.32.43,74,1552741326.466774
35.241.26.53,ads,192.168.137.108,35.241.26.53,329,1552741326.467036
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552741326.506103
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552741326.50674
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552741326.507821
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552741326.51016
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552741326.51046
35.241.26.53,ads,35.241.26.53,192.168.137.108,580,1552741326.51391
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552741326.515725
