Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552746829.955825
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552746834.411226
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552746834.424098
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552746834.427529
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552746834.459607
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552746834.460887
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552746834.464593
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552746834.497613
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552746834.499526
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552746834.499586
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552746834.499621
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552746834.499657
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552746834.502137
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552746834.502157
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552746834.502157
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552746834.502157
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552746834.728081
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552746834.757929
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552746834.759169
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552746834.982151
108.161.188.128,ads,108.161.188.128,192.168.137.108,1083,1552746835.012696
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552746835.014885
192.168.137.1,benign,192.168.137.108,192.168.137.1,75,1552746835.149447
192.168.137.108,benign,192.168.137.1,192.168.137.108,169,1552746835.16384
23.59.158.55,benign,192.168.137.108,23.59.158.55,74,1552746835.166086
23.59.158.55,benign,23.59.158.55,192.168.137.108,74,1552746835.189819
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552746835.191863
23.59.158.55,benign,192.168.137.108,23.59.158.55,278,1552746835.194828
23.59.158.55,benign,23.59.158.55,192.168.137.108,66,1552746835.220728
23.59.158.55,benign,23.59.158.55,192.168.137.108,1514,1552746835.223623
23.59.158.55,benign,23.59.158.55,192.168.137.108,1514,1552746835.223688
23.59.158.55,benign,23.59.158.55,192.168.137.108,366,1552746835.22371
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552746835.224884
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552746835.227045
23.59.158.55,benign,192.168.137.108,23.59.158.55,66,1552746835.227392
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552746835.281577
192.168.137.108,benign,192.168.137.1,192.168.137.108,170,1552746835.305823
52.200.182.188,benign,192.168.137.108,52.200.182.188,74,1552746835.308367
23.59.158.55,benign,192.168.137.108,23.59.158.55,200,1552746835.309572
