Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552754236.070333
192.168.137.1,benign,192.168.137.108,192.168.137.1,79,1552754236.891865
192.168.137.108,benign,192.168.137.1,192.168.137.108,161,1552754236.984063
172.217.14.202,benign,192.168.137.108,172.217.14.202,74,1552754237.17864
172.217.14.202,benign,172.217.14.202,192.168.137.108,74,1552754237.21166
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552754237.213118
172.217.14.202,benign,192.168.137.108,172.217.14.202,527,1552754237.215542
172.217.14.202,benign,172.217.14.202,192.168.137.108,66,1552754237.250623
172.217.14.202,benign,172.217.14.202,192.168.137.108,217,1552754237.251312
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552754237.25396
172.217.14.202,benign,192.168.137.108,172.217.14.202,125,1552754237.366261
172.217.14.202,benign,192.168.137.108,172.217.14.202,1434,1552754237.402475
172.217.14.202,benign,192.168.137.108,172.217.14.202,1434,1552754237.402748
172.217.14.202,benign,172.217.14.202,192.168.137.108,66,1552754237.435733
172.217.14.202,benign,192.168.137.108,172.217.14.202,892,1552754237.437404
172.217.14.202,benign,172.217.14.202,192.168.137.108,66,1552754237.467893
172.217.14.202,benign,172.217.14.202,192.168.137.108,679,1552754237.491771
172.217.14.202,benign,172.217.14.202,192.168.137.108,263,1552754237.492226
172.217.14.202,benign,172.217.14.202,192.168.137.108,199,1552754237.49236
172.217.14.202,benign,172.217.14.202,192.168.137.108,103,1552754237.492626
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552754237.493498
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552754237.495548
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552754237.495797
172.217.14.202,benign,192.168.137.108,172.217.14.202,66,1552754237.495798
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552754240.306336
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552754240.321283
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552754240.324829
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552754240.357223
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552754240.358638
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552754240.36963
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552754240.402355
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552754240.404193
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552754240.404257
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552754240.404303
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552754240.404354
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552754240.406818
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552754240.406819
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552754240.406819
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552754240.406819
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552754240.573449
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552754240.603246
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552754240.604706
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552754240.699996
108.161.188.128,ads,108.161.188.128,192.168.137.108,923,1552754240.730201
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552754240.732319
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552754240.936849
192.168.137.108,benign,192.168.137.1,192.168.137.108,170,1552754240.951238
34.201.227.200,benign,192.168.137.108,34.201.227.200,74,1552754240.954114
34.201.227.200,benign,34.201.227.200,192.168.137.108,74,1552754241.038898
34.201.227.200,benign,192.168.137.108,34.201.227.200,66,1552754241.044735
34.201.227.200,benign,192.168.137.108,34.201.227.200,277,1552754241.046833
34.201.227.200,benign,34.201.227.200,192.168.137.108,66,1552754241.13447
34.201.227.200,benign,34.201.227.200,192.168.137.108,1514,1552754241.136468
34.201.227.200,benign,34.201.227.200,192.168.137.108,1514,1552754241.136808
34.201.227.200,benign,34.201.227.200,192.168.137.108,1514,1552754241.136953
34.201.227.200,benign,34.201.227.200,192.168.137.108,847,1552754241.137036
34.201.227.200,benign,192.168.137.108,34.201.227.200,66,1552754241.14072
