Destination,Service,Src IP,Dst IP,Frame Size
183.232.231.93,benign,192.168.2.3,183.232.231.93,54
plgundr.com,ads,192.168.2.3,8.8.8.8,73
monitor.applift.com,ads,192.168.2.3,8.8.8.8,73
monitor.applift.com,tracking,192.168.2.3,8.8.8.8,73
plgundr.com,ads,8.8.8.8,192.168.2.3,158
monitor.applift.com,ads,8.8.8.8,192.168.2.3,158
monitor.applift.com,tracking,8.8.8.8,192.168.2.3,158
104.193.88.123,benign,192.168.2.3,104.193.88.123,74
plgundr.com,ads,192.168.2.3,8.8.8.8,87
monitor.applift.com,ads,192.168.2.3,8.8.8.8,87
monitor.applift.com,tracking,192.168.2.3,8.8.8.8,87
plgundr.com,ads,8.8.8.8,192.168.2.3,103
monitor.applift.com,ads,8.8.8.8,192.168.2.3,103
monitor.applift.com,tracking,8.8.8.8,192.168.2.3,103
216.58.217.42,benign,192.168.2.3,216.58.217.42,74
104.193.88.123,benign,104.193.88.123,192.168.2.3,74
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,236
216.58.217.42,benign,216.58.217.42,192.168.2.3,74
216.58.217.42,benign,192.168.2.3,216.58.217.42,66
216.58.217.42,benign,192.168.2.3,216.58.217.42,259
216.58.217.42,benign,216.58.217.42,192.168.2.3,66
216.58.217.42,benign,216.58.217.42,192.168.2.3,1484
216.58.217.42,benign,192.168.2.3,216.58.217.42,66
216.58.217.42,benign,216.58.217.42,192.168.2.3,1484
216.58.217.42,benign,216.58.217.42,192.168.2.3,830
216.58.217.42,benign,192.168.2.3,216.58.217.42,66
216.58.217.42,benign,192.168.2.3,216.58.217.42,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,78
104.193.88.123,benign,104.193.88.123,192.168.2.3,66
216.58.217.42,benign,192.168.2.3,216.58.217.42,159
s1.impcz.adocean.pl,tracking,0.0.0.0,255.255.255.255,342
investoradbg.hit.gemius.pl,tracking,0.0.0.0,255.255.255.255,342
216.58.217.42,benign,216.58.217.42,192.168.2.3,350
216.58.217.42,benign,192.168.2.3,216.58.217.42,831
216.58.217.42,benign,216.58.217.42,192.168.2.3,1217
216.58.217.42,benign,192.168.2.3,216.58.217.42,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1266
104.193.88.123,benign,104.193.88.123,192.168.2.3,196
104.193.88.123,benign,104.193.88.123,192.168.2.3,1350
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1266
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,937
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
