Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765256.358891
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552765283.0027
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552765283.002931
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552765283.985806
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552765283.986005
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552765284.575614
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552765284.575814
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552765285.075654
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552765285.075939
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552765285.583016
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552765285.583226
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765286.508458
216.58.217.42,benign,216.58.217.42,192.168.137.108,66,1552765288.186656
216.58.217.42,benign,192.168.137.108,216.58.217.42,66,1552765288.334356
192.168.137.1,benign,192.168.137.108,192.168.137.1,351,1552765297.486383
192.168.137.108,benign,192.168.137.1,192.168.137.108,344,1552765297.501438
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765316.646989
192.168.137.255,benign,192.168.137.1,192.168.137.255,246,1552765329.879355
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765346.738224
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765376.864209
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765406.942237
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765437.063637
172.217.14.238,benign,172.217.14.238,192.168.137.108,66,1552765443.073037
172.217.14.238,benign,172.217.14.238,192.168.137.108,66,1552765443.315065
172.217.14.238,benign,192.168.137.108,172.217.14.238,78,1552765443.323525
172.217.14.206,benign,172.217.14.206,192.168.137.108,66,1552765445.921596
172.217.14.206,benign,192.168.137.108,172.217.14.206,66,1552765446.029641
216.58.193.67,benign,216.58.193.67,192.168.137.108,66,1552765446.605737
216.58.193.67,benign,192.168.137.108,216.58.193.67,66,1552765446.749741
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765467.101076
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765497.211015
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765527.303276
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765557.374596
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765587.501128
192.168.137.1,benign,192.168.137.108,192.168.137.1,351,1552765597.971879
192.168.137.108,benign,192.168.137.1,192.168.137.108,344,1552765597.976563
192.168.137.255,benign,192.168.137.1,192.168.137.255,243,1552765611.783322
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765617.57108
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765647.696279
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765677.734368
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765707.841328
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765737.947264
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765768.060825
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765798.15185
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765828.23894
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552765858.357627
74.125.20.188,benign,74.125.20.188,192.168.137.108,89,1552765870.291054
74.125.20.188,benign,192.168.137.108,74.125.20.188,66,1552765870.550738
74.125.20.188,benign,192.168.137.108,74.125.20.188,98,1552765870.558806
74.125.20.188,benign,74.125.20.188,192.168.137.108,66,1552765870.638694
216.58.217.42,benign,192.168.137.108,216.58.217.42,103,1552765870.763217
216.58.217.42,benign,192.168.137.108,216.58.217.42,66,1552765870.763508
