Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,52.84.50.150,74,1553140549.977104
benign,52.84.50.150,192.168.137.186,74,1553140550.010056
benign,192.168.137.186,52.84.50.150,66,1553140550.012194
benign,192.168.137.186,52.84.50.150,583,1553140550.012195
benign,157.240.3.20,192.168.137.186,1464,1553140550.015052
benign,157.240.3.20,192.168.137.186,796,1553140550.01523
benign,192.168.137.186,157.240.3.20,66,1553140550.017342
benign,192.168.137.186,52.84.50.17,812,1553140550.031066
benign,192.168.137.186,52.84.50.17,814,1553140550.045173
benign,52.84.50.150,192.168.137.186,66,1553140550.051136
benign,52.84.50.150,192.168.137.186,175,1553140550.051679
benign,52.84.50.150,192.168.137.186,1514,1553140550.052943
benign,52.84.50.150,192.168.137.186,1514,1553140550.053227
benign,52.84.50.150,192.168.137.186,1514,1553140550.053424
benign,52.84.50.150,192.168.137.186,1514,1553140550.053888
benign,52.84.50.150,192.168.137.186,1514,1553140550.054277
benign,192.168.137.186,52.84.50.150,66,1553140550.054505
benign,192.168.137.186,52.84.50.150,66,1553140550.055872
benign,192.168.137.186,52.84.50.150,66,1553140550.055873
benign,192.168.137.186,52.84.50.150,66,1553140550.055873
benign,192.168.137.186,52.84.50.150,66,1553140550.055873
benign,192.168.137.186,52.84.50.150,66,1553140550.055873
benign,52.84.50.17,192.168.137.186,281,1553140550.056881
benign,52.84.50.17,192.168.137.186,66,1553140550.058562
benign,192.168.137.186,52.84.50.17,66,1553140550.060977
benign,52.84.50.17,192.168.137.186,66,1553140550.072499
benign,192.168.137.186,157.240.3.20,1464,1553140550.074005
benign,192.168.137.186,157.240.3.20,1464,1553140550.074006
benign,52.84.50.17,192.168.137.186,280,1553140550.074774
benign,192.168.137.186,157.240.3.20,767,1553140550.075711
benign,192.168.137.186,52.84.50.17,66,1553140550.076886
benign,52.84.50.150,192.168.137.186,161,1553140550.086231
benign,192.168.137.186,52.84.50.150,66,1553140550.092792
benign,192.168.137.186,52.84.50.150,192,1553140550.096776
benign,157.240.3.20,192.168.137.186,66,1553140550.104279
benign,192.168.137.186,52.84.50.150,159,1553140550.109611
benign,157.240.3.20,192.168.137.186,66,1553140550.109624
benign,157.240.3.20,192.168.137.186,66,1553140550.109767
benign,192.168.137.186,52.84.50.150,958,1553140550.111217
benign,52.84.50.150,192.168.137.186,185,1553140550.128777
benign,52.84.50.150,192.168.137.186,186,1553140550.128974
benign,192.168.137.186,52.84.50.150,66,1553140550.133337
benign,192.168.137.186,52.84.50.150,104,1553140550.133338
benign,52.84.50.150,192.168.137.186,104,1553140550.139651
benign,52.84.50.150,192.168.137.186,66,1553140550.163814
benign,192.168.137.186,52.84.50.150,66,1553140550.182378
benign,52.84.50.17,192.168.137.186,279,1553140550.197085
benign,192.168.137.186,52.84.50.17,66,1553140550.201049
benign,52.84.50.17,192.168.137.186,281,1553140550.213811
benign,192.168.137.186,52.84.50.17,66,1553140550.217147
benign,157.240.3.20,192.168.137.186,1464,1553140550.228704
benign,157.240.3.20,192.168.137.186,794,1553140550.228939
benign,192.168.137.186,157.240.3.20,66,1553140550.234933
benign,192.168.137.186,52.84.50.17,862,1553140550.253708
benign,52.84.50.17,192.168.137.186,66,1553140550.319697
benign,192.168.137.186,157.240.3.20,1464,1553140550.353641
benign,192.168.137.186,157.240.3.20,1464,1553140550.353643
benign,192.168.137.186,157.240.3.20,767,1553140550.355418
benign,157.240.3.20,192.168.137.186,66,1553140550.389246
benign,157.240.3.20,192.168.137.186,66,1553140550.389427
benign,157.240.3.20,192.168.137.186,66,1553140550.389521
benign,52.84.50.150,192.168.137.186,1020,1553140550.401394
benign,52.84.50.150,192.168.137.186,104,1553140550.401563
benign,192.168.137.186,52.84.50.150,66,1553140550.405783
benign,192.168.137.186,52.84.50.150,66,1553140550.405785
benign,52.84.50.17,192.168.137.186,280,1553140550.409507
benign,192.168.137.186,52.84.50.17,988,1553140550.435442
benign,52.84.50.17,192.168.137.186,66,1553140550.462687
benign,192.168.137.186,52.84.50.17,812,1553140550.465243
benign,157.240.3.20,192.168.137.186,1464,1553140550.480228
benign,157.240.3.20,192.168.137.186,792,1553140550.480466
benign,192.168.137.186,52.84.50.150,773,1553140550.481963
benign,192.168.137.186,157.240.3.20,66,1553140550.483653
benign,52.84.50.17,192.168.137.186,66,1553140550.492915
benign,192.168.137.186,52.84.50.17,814,1553140550.49292
benign,192.168.137.186,52.84.50.17,862,1553140550.510522
benign,52.84.50.17,192.168.137.186,66,1553140550.520232
benign,52.84.50.17,192.168.137.186,66,1553140550.537535
benign,52.84.50.150,192.168.137.186,66,1553140550.543229
benign,52.84.50.17,192.168.137.186,279,1553140550.600305
benign,192.168.137.186,157.240.3.20,1464,1553140550.60959
benign,192.168.137.186,157.240.3.20,1464,1553140550.610893
benign,192.168.137.186,157.240.3.20,773,1553140550.610895
benign,52.84.50.17,192.168.137.186,280,1553140550.626281
benign,192.168.137.186,52.84.50.17,66,1553140550.628897
benign,157.240.3.20,192.168.137.186,66,1553140550.639933
benign,157.240.3.20,192.168.137.186,66,1553140550.645635
benign,157.240.3.20,192.168.137.186,66,1553140550.645819
benign,52.84.50.17,192.168.137.186,279,1553140550.662087
benign,52.84.50.17,192.168.137.186,281,1553140550.668104
benign,192.168.137.186,52.84.50.17,66,1553140550.679194
benign,157.240.3.20,192.168.137.186,1464,1553140550.735842
benign,157.240.3.20,192.168.137.186,794,1553140550.735989
benign,192.168.137.186,157.240.3.20,66,1553140550.739464
benign,192.168.137.186,52.84.50.17,862,1553140550.775564
benign,52.84.50.17,192.168.137.186,66,1553140550.802608
benign,192.168.137.186,157.240.3.20,1464,1553140550.872769
benign,192.168.137.186,157.240.3.20,1464,1553140550.872771
benign,192.168.137.186,157.240.3.20,764,1553140550.874388
benign,157.240.3.20,192.168.137.186,66,1553140550.903578
benign,157.240.3.20,192.168.137.186,66,1553140550.90773
benign,52.84.50.17,192.168.137.186,280,1553140550.931401
benign,192.168.137.186,52.84.50.17,66,1553140550.978763
benign,157.240.3.20,192.168.137.186,1464,1553140551.028316
benign,157.240.3.20,192.168.137.186,794,1553140551.028551
benign,192.168.137.186,157.240.3.20,66,1553140551.033321
benign,192.168.137.186,52.84.50.17,862,1553140551.074256
benign,52.84.50.17,192.168.137.186,66,1553140551.102764
benign,192.168.137.186,157.240.3.20,1464,1553140551.174424
benign,192.168.137.186,157.240.3.20,1464,1553140551.174428
benign,192.168.137.186,157.240.3.20,783,1553140551.184277
benign,157.240.3.20,192.168.137.186,66,1553140551.205125
benign,157.240.3.20,192.168.137.186,66,1553140551.214223
benign,52.84.50.17,192.168.137.186,279,1553140551.242745
benign,192.168.137.186,52.84.50.17,66,1553140551.249051
benign,157.240.3.20,192.168.137.186,1464,1553140551.322839
benign,157.240.3.20,192.168.137.186,793,1553140551.322997
benign,192.168.137.186,157.240.3.20,66,1553140551.326113
benign,192.168.137.186,52.84.50.17,862,1553140551.354315
benign,52.84.50.17,192.168.137.186,66,1553140551.383098
benign,192.168.137.186,52.84.50.17,862,1553140551.400607
benign,192.168.137.186,23.59.158.55,74,1553140551.425821
benign,52.84.50.17,192.168.137.186,66,1553140551.428447
benign,23.59.158.55,192.168.137.186,74,1553140551.449199
benign,192.168.137.186,23.59.158.55,66,1553140551.457668
benign,192.168.137.186,23.59.158.55,246,1553140551.457669
benign,23.59.158.55,192.168.137.186,66,1553140551.486244
benign,23.59.158.55,192.168.137.186,1514,1553140551.488103
benign,23.59.158.55,192.168.137.186,1514,1553140551.488175
benign,23.59.158.55,192.168.137.186,871,1553140551.488241
