Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,172.217.14.193,74,1553141472.531011
benign,192.168.137.186,172.217.14.193,74,1553141472.532358
benign,192.168.137.186,172.217.14.193,74,1553141472.532359
benign,192.168.137.186,172.217.14.193,74,1553141472.552781
benign,172.217.14.193,192.168.137.186,74,1553141472.564638
benign,172.217.14.193,192.168.137.186,74,1553141472.566359
benign,192.168.137.186,172.217.14.193,66,1553141472.567198
benign,192.168.137.186,172.217.14.193,583,1553141472.567199
benign,192.168.137.186,172.217.14.193,66,1553141472.568873
benign,192.168.137.186,172.217.14.193,583,1553141472.568875
benign,172.217.14.193,192.168.137.186,74,1553141472.57038
benign,192.168.137.186,172.217.14.193,66,1553141472.573035
benign,192.168.137.186,172.217.14.193,583,1553141472.573036
benign,172.217.14.193,192.168.137.186,74,1553141472.59229
benign,192.168.137.186,172.217.14.193,66,1553141472.594501
benign,192.168.137.186,172.217.14.193,583,1553141472.594502
benign,172.217.14.193,192.168.137.186,66,1553141472.601431
benign,172.217.14.193,192.168.137.186,66,1553141472.605362
benign,172.217.14.193,192.168.137.186,66,1553141472.609387
benign,172.217.14.193,192.168.137.186,1484,1553141472.61229
benign,172.217.14.193,192.168.137.186,1484,1553141472.612394
benign,172.217.14.193,192.168.137.186,193,1553141472.612489
benign,172.217.14.193,192.168.137.186,1484,1553141472.613594
benign,172.217.14.193,192.168.137.186,1484,1553141472.613694
benign,172.217.14.193,192.168.137.186,193,1553141472.614041
benign,192.168.137.186,172.217.14.193,66,1553141472.614836
benign,192.168.137.186,172.217.14.193,66,1553141472.614836
benign,192.168.137.186,172.217.14.193,66,1553141472.614837
benign,172.217.14.193,192.168.137.186,1484,1553141472.617641
benign,172.217.14.193,192.168.137.186,1484,1553141472.617724
benign,192.168.137.186,172.217.14.193,66,1553141472.617863
benign,192.168.137.186,172.217.14.193,159,1553141472.617864
benign,192.168.137.186,172.217.14.193,66,1553141472.617864
benign,192.168.137.186,172.217.14.193,66,1553141472.617864
benign,172.217.14.193,192.168.137.186,193,1553141472.618927
benign,192.168.137.186,172.217.14.193,159,1553141472.620862
benign,192.168.137.186,172.217.14.193,66,1553141472.620863
benign,192.168.137.186,172.217.14.193,66,1553141472.620864
benign,192.168.137.186,172.217.14.193,66,1553141472.620864
benign,192.168.137.186,172.217.14.193,159,1553141472.623372
benign,192.168.137.186,172.217.14.193,66,1553141472.627099
benign,192.168.137.186,172.217.14.193,66,1553141472.6271
benign,192.168.137.186,172.217.14.193,159,1553141472.6271
benign,192.168.137.186,172.217.14.193,1337,1553141472.62892
benign,172.217.14.193,192.168.137.186,66,1553141472.631652
benign,172.217.14.193,192.168.137.186,1484,1553141472.640296
benign,172.217.14.193,192.168.137.186,1484,1553141472.640419
benign,172.217.14.193,192.168.137.186,193,1553141472.641164
benign,192.168.137.186,172.217.14.193,66,1553141472.642955
benign,192.168.137.186,172.217.14.193,66,1553141472.642955
benign,192.168.137.186,172.217.14.193,66,1553141472.642956
benign,192.168.137.186,172.217.14.193,159,1553141472.644577
benign,172.217.14.193,192.168.137.186,350,1553141472.648439
benign,172.217.14.193,192.168.137.186,135,1553141472.648558
benign,192.168.137.186,172.217.14.193,66,1553141472.65076
benign,192.168.137.186,172.217.14.193,104,1553141472.650761
benign,172.217.14.193,192.168.137.186,350,1553141472.651166
benign,172.217.14.193,192.168.137.186,135,1553141472.651406
benign,192.168.137.186,172.217.14.193,54,1553141472.654037
benign,192.168.137.186,172.217.14.193,54,1553141472.654038
benign,172.217.14.193,192.168.137.186,350,1553141472.655879
benign,172.217.14.193,192.168.137.186,135,1553141472.65616
benign,172.217.14.193,192.168.137.186,66,1553141472.658239
benign,172.217.14.193,192.168.137.186,104,1553141472.658457
benign,192.168.137.186,172.217.14.193,54,1553141472.658483
benign,192.168.137.186,172.217.14.193,54,1553141472.658484
benign,172.217.14.193,192.168.137.186,477,1553141472.659488
benign,172.217.14.193,192.168.137.186,1153,1553141472.659788
benign,172.217.14.193,192.168.137.186,1484,1553141472.660864
benign,172.217.14.193,192.168.137.186,309,1553141472.660945
benign,172.217.14.193,192.168.137.186,1484,1553141472.66193
benign,192.168.137.186,172.217.14.193,66,1553141472.661951
benign,192.168.137.186,172.217.14.193,66,1553141472.661951
benign,172.217.14.193,192.168.137.186,1484,1553141472.662203
benign,172.217.14.193,192.168.137.186,66,1553141472.663305
benign,172.217.14.193,192.168.137.186,1484,1553141472.663629
benign,172.217.14.193,192.168.137.186,66,1553141472.663737
benign,172.217.14.193,192.168.137.186,1484,1553141472.66395
benign,192.168.137.186,172.217.14.193,112,1553141472.663953
benign,192.168.137.186,172.217.14.193,66,1553141472.663954
benign,192.168.137.186,172.217.14.193,54,1553141472.665359
benign,192.168.137.186,172.217.14.193,54,1553141472.66536
benign,192.168.137.186,172.217.14.193,66,1553141472.66536
benign,172.217.14.193,192.168.137.186,1484,1553141472.665439
benign,172.217.14.193,192.168.137.186,1484,1553141472.665767
benign,172.217.14.193,192.168.137.186,1484,1553141472.667175
benign,172.217.14.193,192.168.137.186,1484,1553141472.667517
benign,192.168.137.186,172.217.14.193,66,1553141472.668489
benign,192.168.137.186,172.217.14.193,66,1553141472.66849
benign,172.217.14.193,192.168.137.186,1484,1553141472.669738
benign,172.217.14.193,192.168.137.186,1484,1553141472.669852
benign,172.217.14.193,192.168.137.186,1484,1553141472.670884
benign,172.217.14.193,192.168.137.186,1484,1553141472.671303
benign,192.168.137.186,172.217.14.193,66,1553141472.672139
benign,172.217.14.193,192.168.137.186,1139,1553141472.672584
benign,192.168.137.186,172.217.14.193,66,1553141472.674204
benign,172.217.14.193,192.168.137.186,350,1553141472.677111
benign,172.217.14.193,192.168.137.186,135,1553141472.677895
benign,172.217.14.193,192.168.137.186,66,1553141472.692481
benign,192.168.137.186,172.217.14.193,66,1553141472.713424
benign,192.168.137.186,172.217.14.193,66,1553141472.720744
benign,192.168.137.186,23.59.158.55,97,1553141473.090457
benign,192.168.137.186,23.59.158.55,66,1553141473.090458
benign,23.59.158.55,192.168.137.186,97,1553141473.115616
benign,23.59.158.55,192.168.137.186,66,1553141473.115872
benign,192.168.137.186,23.59.158.55,54,1553141473.118122
benign,192.168.137.186,23.59.158.55,54,1553141473.118123
benign,23.59.158.55,192.168.137.186,66,1553141473.120714
benign,192.168.137.186,23.59.158.55,54,1553141473.123044
"ads,tracking",192.168.137.186,35.241.52.229,1434,1553141479.013361
"ads,tracking",192.168.137.186,35.241.52.229,999,1553141479.01517
"ads,tracking",35.241.52.229,192.168.137.186,66,1553141479.05346
"ads,tracking",35.241.52.229,192.168.137.186,120,1553141479.0925
"ads,tracking",192.168.137.186,35.241.52.229,66,1553141479.094793
