Service,Src IP,Dst IP,Frame Size,Timestamp
tracking,205.185.208.52,192.168.137.186,97,1553142392.215446
tracking,205.185.208.52,192.168.137.186,66,1553142392.215665
tracking,192.168.137.186,205.185.208.52,66,1553142392.715862
tracking,192.168.137.186,205.185.208.52,66,1553142392.750956
"ads,tracking",192.168.137.186,35.241.52.229,1434,1553142400.525385
"ads,tracking",192.168.137.186,35.241.52.229,726,1553142400.527347
"ads,tracking",35.241.52.229,192.168.137.186,66,1553142400.564538
"ads,tracking",35.241.52.229,192.168.137.186,120,1553142400.604498
"ads,tracking",192.168.137.186,35.241.52.229,66,1553142400.60982
"ads,tracking",35.241.52.229,192.168.137.186,217,1553142400.705994
"ads,tracking",192.168.137.186,35.241.52.229,66,1553142400.709748
benign,192.168.137.186,52.49.153.180,74,1553142402.131023
benign,52.49.153.180,192.168.137.186,74,1553142402.287726
benign,192.168.137.186,52.49.153.180,66,1553142402.290045
benign,192.168.137.186,52.49.153.180,247,1553142402.293304
benign,52.49.153.180,192.168.137.186,66,1553142402.449997
benign,52.49.153.180,192.168.137.186,1514,1553142402.451943
benign,52.49.153.180,192.168.137.186,1514,1553142402.452147
benign,52.49.153.180,192.168.137.186,467,1553142402.452237
benign,192.168.137.186,52.49.153.180,66,1553142402.454975
benign,192.168.137.186,52.49.153.180,66,1553142402.454976
benign,192.168.137.186,52.49.153.180,66,1553142402.454977
benign,192.168.137.186,52.49.153.180,192,1553142402.471344
benign,52.49.153.180,192.168.137.186,117,1553142402.624368
benign,192.168.137.186,52.49.153.180,1514,1553142402.628216
benign,192.168.137.186,52.49.153.180,731,1553142402.632317
benign,52.49.153.180,192.168.137.186,66,1553142402.786681
benign,52.49.153.180,192.168.137.186,294,1553142402.790231
ads,192.168.137.186,35.241.26.53,97,1553142402.795746
ads,192.168.137.186,35.241.26.53,66,1553142402.795747
ads,35.241.26.53,192.168.137.186,66,1553142402.825078
ads,35.241.26.53,192.168.137.186,66,1553142402.825755
ads,192.168.137.186,35.241.26.53,66,1553142402.827916
ads,35.241.26.53,192.168.137.186,66,1553142402.830781
benign,192.168.137.186,52.49.153.180,66,1553142402.831097
benign,192.168.137.186,52.30.118.244,74,1553142402.837261
benign,52.30.118.244,192.168.137.186,74,1553142402.993236
benign,192.168.137.186,52.30.118.244,66,1553142402.995788
benign,192.168.137.186,52.30.118.244,249,1553142402.995789
benign,52.30.118.244,192.168.137.186,66,1553142403.15504
benign,52.30.118.244,192.168.137.186,1514,1553142403.156913
