Service,Src IP,Dst IP,Frame Size,Timestamp
benign,34.237.25.192,192.168.137.186,97,1553144254.266753
benign,34.237.25.192,192.168.137.186,66,1553144254.267132
benign,34.237.25.192,192.168.137.186,66,1553144254.728559
benign,192.168.137.186,34.237.25.192,66,1553144255.30657
benign,192.168.137.186,34.237.25.192,78,1553144255.306571
ads,192.168.137.186,35.241.26.53,74,1553144262.011027
ads,35.241.26.53,192.168.137.186,74,1553144262.040811
ads,192.168.137.186,35.241.26.53,66,1553144262.043122
ads,192.168.137.186,35.241.26.53,260,1553144262.047211
ads,35.241.26.53,192.168.137.186,66,1553144262.07795
ads,35.241.26.53,192.168.137.186,1484,1553144262.079849
ads,35.241.26.53,192.168.137.186,1484,1553144262.080122
ads,35.241.26.53,192.168.137.186,566,1553144262.08026
ads,192.168.137.186,35.241.26.53,66,1553144262.082908
ads,192.168.137.186,35.241.26.53,66,1553144262.082909
ads,192.168.137.186,35.241.26.53,66,1553144262.08291
ads,192.168.137.186,35.241.26.53,159,1553144262.102404
ads,35.241.26.53,192.168.137.186,350,1553144262.129281
ads,192.168.137.186,35.241.26.53,742,1553144262.13275
ads,35.241.26.53,192.168.137.186,66,1553144262.199827
ads,35.241.26.53,192.168.137.186,466,1553144262.233048
benign,192.168.137.186,157.240.3.20,97,1553144262.237558
benign,192.168.137.186,157.240.3.20,66,1553144262.23756
benign,157.240.3.20,192.168.137.186,66,1553144262.267411
benign,157.240.3.20,192.168.137.186,97,1553144262.268094
benign,157.240.3.20,192.168.137.186,66,1553144262.268296
benign,192.168.137.186,157.240.3.20,54,1553144262.270415
benign,192.168.137.186,157.240.3.20,54,1553144262.270416
benign,157.240.3.20,192.168.137.186,66,1553144262.273418
ads,192.168.137.186,35.241.26.53,66,1553144262.274116
benign,192.168.137.186,157.240.3.20,54,1553144262.275642
ads,192.168.137.186,35.241.22.100,74,1553144262.28732
benign,192.168.137.186,52.84.50.22,74,1553144262.29179
ads,35.241.22.100,192.168.137.186,74,1553144262.320979
benign,52.84.50.22,192.168.137.186,74,1553144262.321801
ads,192.168.137.186,35.241.22.100,66,1553144262.323786
benign,192.168.137.186,52.84.50.22,66,1553144262.326766
benign,192.168.137.186,52.84.50.22,255,1553144262.326767
ads,192.168.137.186,35.241.22.100,257,1553144262.326768
benign,52.84.50.22,192.168.137.186,66,1553144262.35794
benign,52.84.50.22,192.168.137.186,166,1553144262.358703
benign,52.84.50.22,192.168.137.186,1514,1553144262.360161
benign,52.84.50.22,192.168.137.186,1514,1553144262.36049
benign,52.84.50.22,192.168.137.186,1514,1553144262.360663
benign,192.168.137.186,52.84.50.22,66,1553144262.360841
ads,35.241.22.100,192.168.137.186,66,1553144262.361524
ads,35.241.22.100,192.168.137.186,1484,1553144262.362936
ads,35.241.22.100,192.168.137.186,1484,1553144262.363728
ads,35.241.22.100,192.168.137.186,195,1553144262.363879
benign,192.168.137.186,52.84.50.22,66,1553144262.364249
benign,192.168.137.186,52.84.50.22,66,1553144262.36425
benign,192.168.137.186,52.84.50.22,66,1553144262.364251
ads,192.168.137.186,35.241.22.100,66,1553144262.364251
ads,192.168.137.186,35.241.22.100,66,1553144262.366064
ads,192.168.137.186,35.241.22.100,66,1553144262.366065
ads,192.168.137.186,35.241.22.100,159,1553144262.380315
benign,52.84.50.22,192.168.137.186,1384,1553144262.389708
benign,192.168.137.186,52.84.50.22,66,1553144262.392023
ads,35.241.22.100,192.168.137.186,350,1553144262.411005
benign,192.168.137.186,52.84.50.22,192,1553144262.412491
ads,192.168.137.186,35.241.22.100,462,1553144262.420999
"ads,tracking",192.168.137.186,35.241.52.229,74,1553144262.427737
benign,52.84.50.22,192.168.137.186,185,1553144262.441827
"ads,tracking",35.241.52.229,192.168.137.186,74,1553144262.459868
"ads,tracking",192.168.137.186,35.241.52.229,66,1553144262.462238
"ads,tracking",192.168.137.186,35.241.52.229,253,1553144262.467058
benign,192.168.137.186,52.84.50.22,66,1553144262.484226
ads,35.241.22.100,192.168.137.186,265,1553144262.488009
benign,192.168.137.186,157.240.3.20,97,1553144262.495063
benign,192.168.137.186,157.240.3.20,66,1553144262.495064
"ads,tracking",35.241.52.229,192.168.137.186,66,1553144262.498937
"ads,tracking",35.241.52.229,192.168.137.186,1484,1553144262.500873
"ads,tracking",35.241.52.229,192.168.137.186,1484,1553144262.501083
"ads,tracking",35.241.52.229,192.168.137.186,735,1553144262.502108
"ads,tracking",192.168.137.186,35.241.52.229,66,1553144262.504755
"ads,tracking",192.168.137.186,35.241.52.229,66,1553144262.504756
"ads,tracking",192.168.137.186,35.241.52.229,66,1553144262.504757
benign,52.84.50.22,192.168.137.186,117,1553144262.511386
benign,192.168.137.186,52.84.50.22,66,1553144262.513635
benign,192.168.137.186,52.84.50.22,500,1553144262.5168
benign,157.240.3.20,192.168.137.186,66,1553144262.524086
benign,157.240.3.20,192.168.137.186,97,1553144262.524381
"ads,tracking",192.168.137.186,35.241.52.229,159,1553144262.524419
"ads,tracking",192.168.137.186,35.241.52.229,1434,1553144262.52442
benign,157.240.3.20,192.168.137.186,66,1553144262.524557
benign,192.168.137.186,157.240.3.20,54,1553144262.526679
benign,192.168.137.186,157.240.3.20,54,1553144262.52668
ads,192.168.137.186,35.241.22.100,66,1553144262.526681
benign,157.240.3.20,192.168.137.186,66,1553144262.52914
benign,192.168.137.186,157.240.3.20,54,1553144262.531477
"ads,tracking",35.241.52.229,192.168.137.186,66,1553144262.555239
"ads,tracking",35.241.52.229,192.168.137.186,350,1553144262.555462
"ads,tracking",192.168.137.186,35.241.52.229,751,1553144262.557532
benign,52.84.50.22,192.168.137.186,66,1553144262.585397
"ads,tracking",192.168.137.186,35.241.52.229,66,1553144262.598853
"ads,tracking",35.241.52.229,192.168.137.186,66,1553144262.624929
"ads,tracking",35.241.52.229,192.168.137.186,120,1553144262.625113
"ads,tracking",192.168.137.186,35.241.52.229,66,1553144262.628934
benign,52.84.50.22,192.168.137.186,1113,1553144262.699137
benign,52.84.50.22,192.168.137.186,1514,1553144262.699393
benign,52.84.50.22,192.168.137.186,194,1553144262.699488
benign,52.84.50.22,192.168.137.186,100,1553144262.699559
