Service,Src IP,Dst IP,Frame Size,Timestamp
benign,23.59.158.55,192.168.137.186,530,1553145173.224657
benign,192.168.137.186,23.59.158.55,66,1553145173.2272
benign,192.168.137.186,52.84.50.103,66,1553145173.231176
benign,52.84.50.103,192.168.137.186,66,1553145173.265114
benign,192.168.137.186,52.84.50.103,66,1553145173.26735
benign,52.20.201.67,192.168.137.186,66,1553145173.274154
benign,52.20.201.67,192.168.137.186,1514,1553145173.275186
benign,52.20.201.67,192.168.137.186,1514,1553145173.27533
benign,52.20.201.67,192.168.137.186,1266,1553145173.275406
benign,52.20.201.67,192.168.137.186,1249,1553145173.275525
ads,192.168.137.186,192.48.236.11,1514,1553145173.275714
ads,192.168.137.186,192.48.236.11,1035,1553145173.277669
benign,192.168.137.186,52.20.201.67,66,1553145173.277674
benign,192.168.137.186,52.20.201.67,66,1553145173.277675
benign,192.168.137.186,52.20.201.67,66,1553145173.277675
benign,192.168.137.186,52.20.201.67,66,1553145173.277676
benign,192.168.137.186,52.20.201.67,192,1553145173.296041
benign,192.168.137.186,216.58.217.33,74,1553145173.332092
benign,216.58.217.33,192.168.137.186,74,1553145173.364073
benign,192.168.137.186,216.58.217.33,66,1553145173.367041
benign,192.168.137.186,216.58.217.33,583,1553145173.367042
ads,192.48.236.11,192.168.137.186,66,1553145173.372254
benign,52.20.201.67,192.168.137.186,117,1553145173.37797
benign,192.168.137.186,52.20.201.67,622,1553145173.38281
benign,216.58.217.33,192.168.137.186,66,1553145173.404261
benign,216.58.217.33,192.168.137.186,1484,1553145173.41215
benign,216.58.217.33,192.168.137.186,1484,1553145173.412342
benign,216.58.217.33,192.168.137.186,1484,1553145173.412725
benign,216.58.217.33,192.168.137.186,68,1553145173.412881
benign,192.168.137.186,216.58.217.33,66,1553145173.414712
benign,192.168.137.186,216.58.217.33,66,1553145173.414713
benign,192.168.137.186,216.58.217.33,66,1553145173.414714
benign,192.168.137.186,216.58.217.33,66,1553145173.414715
benign,192.168.137.186,216.58.217.33,159,1553145173.418404
benign,192.168.137.186,216.58.217.33,159,1553145173.433008
benign,192.168.137.186,216.58.217.33,462,1553145173.435821
benign,216.58.217.33,192.168.137.186,350,1553145173.450816
benign,216.58.217.33,192.168.137.186,135,1553145173.451039
benign,192.168.137.186,216.58.217.33,66,1553145173.453387
benign,192.168.137.186,216.58.217.33,104,1553145173.453388
ads,192.48.236.11,192.168.137.186,1514,1553145173.46299
ads,192.48.236.11,192.168.137.186,1424,1553145173.463235
benign,216.58.217.33,192.168.137.186,104,1553145173.463328
ads,192.168.137.186,192.48.236.11,66,1553145173.466576
ads,192.168.137.186,192.48.236.11,66,1553145173.466585
benign,216.58.217.33,192.168.137.186,394,1553145173.46852
benign,216.58.217.33,192.168.137.186,1484,1553145173.469237
benign,216.58.217.33,192.168.137.186,1484,1553145173.469931
benign,216.58.217.33,192.168.137.186,877,1553145173.47021
benign,52.20.201.67,192.168.137.186,1514,1553145173.471061
benign,52.20.201.67,192.168.137.186,1514,1553145173.471333
benign,192.168.137.186,216.58.217.33,66,1553145173.471357
benign,52.20.201.67,192.168.137.186,1514,1553145173.471441
benign,52.20.201.67,192.168.137.186,1514,1553145173.47152
