Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,23.21.55.135,66,1553147969.001909
ads,192.168.137.186,203.119.215.106,54,1553147969.024198
ads,192.168.137.186,203.119.215.106,54,1553147969.024199
ads,192.168.137.186,203.119.215.106,54,1553147969.0242
benign,192.168.137.186,54.204.3.50,66,1553147969.024201
benign,23.21.55.135,192.168.137.186,97,1553147969.085608
benign,23.21.55.135,192.168.137.186,66,1553147969.085858
benign,54.204.3.50,192.168.137.186,97,1553147969.114604
benign,54.204.3.50,192.168.137.186,66,1553147969.114813
benign,192.168.137.186,23.21.55.135,54,1553147969.153499
benign,192.168.137.186,23.21.55.135,54,1553147969.1535
benign,192.168.137.186,54.204.3.50,54,1553147969.1535
benign,192.168.137.186,54.204.3.50,54,1553147969.153501
ads,203.119.215.106,192.168.137.186,54,1553147969.222543
ads,192.168.137.186,203.119.215.106,54,1553147969.225241
ads,203.119.215.106,192.168.137.186,54,1553147969.227353
ads,192.168.137.186,203.119.215.106,54,1553147969.232401
ads,203.119.215.106,192.168.137.186,54,1553147969.238302
ads,192.168.137.186,203.119.215.106,54,1553147969.241451
benign,192.168.137.186,173.194.203.188,101,1553148031.866269
benign,173.194.203.188,192.168.137.186,99,1553148031.90722
benign,192.168.137.186,173.194.203.188,66,1553148031.909974
benign,192.168.137.186,173.194.203.188,101,1553148262.04254
benign,173.194.203.188,192.168.137.186,99,1553148262.081784
benign,192.168.137.186,173.194.203.188,66,1553148262.084095
benign,173.194.203.188,192.168.137.186,97,1553148522.504847
benign,192.168.137.186,173.194.203.188,66,1553148522.712258
benign,192.168.137.186,173.194.203.188,105,1553148522.7172
benign,173.194.203.188,192.168.137.186,66,1553148522.795502
