Service,Src IP,Dst IP,Frame Size,Timestamp
benign,54.210.73.165,192.168.137.186,333,1553156494.615241
benign,192.168.137.186,54.210.73.165,66,1553156494.655382
benign,192.168.137.186,54.93.133.71,74,1553156503.774568
benign,192.168.137.186,35.157.45.181,74,1553156503.879865
benign,54.93.133.71,192.168.137.186,74,1553156503.930027
benign,192.168.137.186,54.93.133.71,66,1553156503.932212
benign,192.168.137.186,54.93.133.71,583,1553156503.944695
benign,35.157.45.181,192.168.137.186,74,1553156504.061191
benign,192.168.137.186,35.157.45.181,66,1553156504.063447
benign,192.168.137.186,35.157.45.181,260,1553156504.065444
benign,54.93.133.71,192.168.137.186,66,1553156504.100176
benign,54.93.133.71,192.168.137.186,218,1553156504.10095
benign,192.168.137.186,54.93.133.71,66,1553156504.103167
benign,192.168.137.186,54.93.133.71,117,1553156504.103168
benign,35.157.45.181,192.168.137.186,66,1553156504.248272
benign,35.157.45.181,192.168.137.186,1514,1553156504.249048
benign,35.157.45.181,192.168.137.186,1514,1553156504.25004
benign,35.157.45.181,192.168.137.186,1266,1553156504.250326
benign,35.157.45.181,192.168.137.186,755,1553156504.250934
benign,192.168.137.186,35.157.45.181,66,1553156504.251553
benign,192.168.137.186,35.157.45.181,66,1553156504.254225
benign,192.168.137.186,35.157.45.181,66,1553156504.254225
benign,192.168.137.186,35.157.45.181,66,1553156504.254225
benign,192.168.137.186,35.157.45.181,192,1553156504.270528
benign,54.93.133.71,192.168.137.186,66,1553156504.300109
benign,192.168.137.186,54.93.133.71,323,1553156504.302138
benign,192.168.137.186,52.210.180.106,1514,1553156504.409993
benign,192.168.137.186,52.210.180.106,566,1553156504.411725
benign,35.157.45.181,192.168.137.186,117,1553156504.447417
benign,192.168.137.186,35.157.45.181,532,1553156504.450359
benign,54.93.133.71,192.168.137.186,66,1553156504.454921
benign,54.93.133.71,192.168.137.186,468,1553156504.456367
benign,54.93.133.71,192.168.137.186,100,1553156504.45642
benign,192.168.137.186,54.93.133.71,66,1553156504.459901
benign,52.210.180.106,192.168.137.186,66,1553156504.569298
benign,52.210.180.106,192.168.137.186,294,1553156504.574379
benign,192.168.137.186,52.210.180.106,66,1553156504.57639
benign,192.168.137.186,13.32.252.240,97,1553156504.578368
benign,192.168.137.186,13.32.252.240,66,1553156504.578369
benign,13.32.252.240,192.168.137.186,66,1553156504.609232
benign,192.168.137.186,13.32.252.240,66,1553156504.611243
benign,35.157.45.181,192.168.137.186,821,1553156504.632036
benign,192.168.137.186,13.32.252.240,97,1553156504.636237
benign,192.168.137.186,13.32.252.240,66,1553156504.636238
benign,13.32.252.240,192.168.137.186,66,1553156504.669343
benign,192.168.137.186,13.32.252.240,66,1553156504.671506
benign,192.168.137.186,35.157.45.181,66,1553156504.671508
benign,13.32.252.240,192.168.137.186,66,1553156504.674189
benign,192.168.137.186,52.219.74.64,74,1553156505.107533
benign,52.219.74.64,192.168.137.186,66,1553156505.263582
benign,192.168.137.186,52.219.74.64,54,1553156505.265767
benign,192.168.137.186,52.219.74.64,249,1553156505.273844
benign,192.168.137.186,216.58.217.34,74,1553156505.40423
benign,52.219.74.64,192.168.137.186,54,1553156505.429978
benign,52.219.74.64,192.168.137.186,146,1553156505.430456
benign,52.219.74.64,192.168.137.186,1486,1553156505.430764
benign,52.219.74.64,192.168.137.186,1486,1553156505.431483
benign,52.219.74.64,192.168.137.186,365,1553156505.431711
benign,52.219.74.64,192.168.137.186,392,1553156505.4318
benign,52.219.74.64,192.168.137.186,63,1553156505.431911
benign,216.58.217.34,192.168.137.186,74,1553156505.433505
benign,192.168.137.186,52.219.74.64,54,1553156505.434887
benign,192.168.137.186,52.219.74.64,54,1553156505.434888
benign,192.168.137.186,52.219.74.64,54,1553156505.434889
benign,192.168.137.186,52.219.74.64,54,1553156505.436251
benign,192.168.137.186,52.219.74.64,54,1553156505.436252
benign,192.168.137.186,52.219.74.64,54,1553156505.436253
benign,192.168.137.186,216.58.217.34,66,1553156505.436254
benign,192.168.137.186,216.58.217.34,583,1553156505.439303
benign,192.168.137.186,52.219.74.64,180,1553156505.456302
benign,52.219.74.64,192.168.137.186,63,1553156505.465111
benign,192.168.137.186,52.219.74.64,66,1553156505.467858
benign,216.58.217.34,192.168.137.186,66,1553156505.472535
benign,216.58.217.34,192.168.137.186,1484,1553156505.480508
benign,216.58.217.34,192.168.137.186,1428,1553156505.480711
benign,192.168.137.186,216.58.217.34,66,1553156505.48703
benign,192.168.137.186,216.58.217.34,66,1553156505.487031
benign,192.168.137.186,216.58.217.34,159,1553156505.487032
benign,216.58.217.34,192.168.137.186,350,1553156505.514352
benign,216.58.217.34,192.168.137.186,135,1553156505.514588
benign,192.168.137.186,216.58.217.34,159,1553156505.548249
benign,192.168.137.186,216.58.217.34,505,1553156505.550609
benign,216.58.217.34,192.168.137.186,104,1553156505.576143
benign,216.58.217.34,192.168.137.186,542,1553156505.580696
benign,216.58.217.34,192.168.137.186,1484,1553156505.581093
benign,216.58.217.34,192.168.137.186,1484,1553156505.582318
benign,216.58.217.34,192.168.137.186,1484,1553156505.582572
benign,192.168.137.186,216.58.217.34,66,1553156505.583854
benign,192.168.137.186,216.58.217.34,66,1553156505.583855
benign,216.58.217.34,192.168.137.186,1484,1553156505.584369
benign,216.58.217.34,192.168.137.186,1484,1553156505.584529
benign,216.58.217.34,192.168.137.186,1484,1553156505.585961
benign,216.58.217.34,192.168.137.186,1484,1553156505.586378
benign,192.168.137.186,216.58.217.34,66,1553156505.587298
benign,192.168.137.186,216.58.217.34,66,1553156505.587306
benign,216.58.217.34,192.168.137.186,1484,1553156505.587741
benign,216.58.217.34,192.168.137.186,1484,1553156505.588037
benign,216.58.217.34,192.168.137.186,1484,1553156505.589843
benign,216.58.217.34,192.168.137.186,1484,1553156505.590061
benign,192.168.137.186,216.58.217.34,66,1553156505.591437
benign,192.168.137.186,216.58.217.34,66,1553156505.591438
benign,216.58.217.34,192.168.137.186,1484,1553156505.591553
benign,216.58.217.34,192.168.137.186,1484,1553156505.591927
benign,216.58.217.34,192.168.137.186,1484,1553156505.593708
benign,192.168.137.186,216.58.217.34,66,1553156505.593714
benign,216.58.217.34,192.168.137.186,1484,1553156505.593922
benign,216.58.217.34,192.168.137.186,1484,1553156505.595761
benign,216.58.217.34,192.168.137.186,1484,1553156505.596047
benign,192.168.137.186,216.58.217.34,66,1553156505.596057
benign,216.58.217.34,192.168.137.186,1484,1553156505.597279
benign,192.168.137.186,216.58.217.34,66,1553156505.598175
benign,192.168.137.186,216.58.217.34,66,1553156505.599467
benign,192.168.137.186,34.227.126.240,74,1553156505.608942
benign,52.219.74.64,192.168.137.186,54,1553156505.608999
benign,52.219.74.64,192.168.137.186,60,1553156505.609206
benign,52.219.74.64,192.168.137.186,99,1553156505.609286
benign,216.58.217.34,192.168.137.186,1484,1553156505.610469
benign,216.58.217.34,192.168.137.186,1484,1553156505.610833
benign,192.168.137.186,52.219.74.64,54,1553156505.611599
benign,192.168.137.186,52.219.74.64,54,1553156505.611601
benign,216.58.217.34,192.168.137.186,1484,1553156505.612499
benign,216.58.217.34,192.168.137.186,1484,1553156505.612761
benign,192.168.137.186,216.58.217.34,66,1553156505.612994
benign,216.58.217.34,192.168.137.186,1484,1553156505.614265
