Service,Src IP,Dst IP,Frame Size,Timestamp
benign,216.58.217.34,192.168.137.186,66,1553157419.442729
benign,216.58.217.34,192.168.137.186,1484,1553157419.450914
benign,216.58.217.34,192.168.137.186,1428,1553157419.45098
benign,192.168.137.186,216.58.217.34,66,1553157419.453157
benign,192.168.137.186,216.58.217.34,66,1553157419.453158
benign,192.168.137.186,216.58.217.34,159,1553157419.461548
benign,216.58.217.34,192.168.137.186,350,1553157419.491271
benign,216.58.217.34,192.168.137.186,135,1553157419.491561
benign,34.232.92.167,192.168.137.186,376,1553157419.49412
benign,52.219.72.4,192.168.137.186,54,1553157419.498623
benign,52.219.72.4,192.168.137.186,60,1553157419.498711
benign,52.219.72.4,192.168.137.186,99,1553157419.498753
benign,192.168.137.186,52.219.72.4,54,1553157419.50094
benign,192.168.137.186,52.219.72.4,54,1553157419.500941
"ads,tracking",192.168.137.186,35.241.52.229,97,1553157419.512711
benign,192.168.137.186,34.232.92.167,1122,1553157419.519518
benign,192.168.137.186,52.219.72.4,331,1553157419.527581
benign,192.168.137.186,216.58.217.34,66,1553157419.534855
benign,192.168.137.186,216.58.217.34,159,1553157419.539426
benign,192.168.137.186,216.58.217.34,503,1553157419.541047
"ads,tracking",35.241.52.229,192.168.137.186,66,1553157419.545796
"ads,tracking",35.241.52.229,192.168.137.186,66,1553157419.546059
benign,216.58.217.34,192.168.137.186,135,1553157419.563508
benign,192.168.137.186,216.58.217.34,78,1553157419.567323
benign,216.58.217.34,192.168.137.186,104,1553157419.569415
benign,192.168.137.186,216.58.217.34,66,1553157419.57142
benign,216.58.217.34,192.168.137.186,542,1553157419.57546
benign,216.58.217.34,192.168.137.186,1484,1553157419.576039
benign,216.58.217.34,192.168.137.186,1484,1553157419.576999
benign,216.58.217.34,192.168.137.186,1484,1553157419.577343
benign,216.58.217.34,192.168.137.186,1484,1553157419.579212
benign,216.58.217.34,192.168.137.186,1484,1553157419.579563
benign,192.168.137.186,216.58.217.34,66,1553157419.580325
benign,192.168.137.186,216.58.217.34,66,1553157419.580325
benign,192.168.137.186,216.58.217.34,66,1553157419.580326
benign,192.168.137.186,216.58.217.34,66,1553157419.580326
benign,216.58.217.34,192.168.137.186,1484,1553157419.581011
benign,216.58.217.34,192.168.137.186,1484,1553157419.581339
benign,192.168.137.186,216.58.217.34,66,1553157419.58202
benign,192.168.137.186,216.58.217.34,66,1553157419.582021
benign,216.58.217.34,192.168.137.186,1484,1553157419.583037
benign,216.58.217.34,192.168.137.186,1484,1553157419.583363
benign,192.168.137.186,216.58.217.34,66,1553157419.584751
benign,192.168.137.186,216.58.217.34,66,1553157419.584751
benign,216.58.217.34,192.168.137.186,1484,1553157419.585064
benign,216.58.217.34,192.168.137.186,1484,1553157419.585393
"ads,tracking",192.168.137.186,35.241.52.229,66,1553157419.586164
benign,192.168.137.186,216.58.217.34,66,1553157419.586164
benign,216.58.217.34,192.168.137.186,1484,1553157419.58728
benign,216.58.217.34,192.168.137.186,1484,1553157419.587561
benign,192.168.137.186,216.58.217.34,66,1553157419.58901
benign,192.168.137.186,216.58.217.34,66,1553157419.589011
benign,192.168.137.186,216.58.217.34,66,1553157419.589011
benign,192.168.137.186,216.58.217.34,66,1553157419.591788
benign,192.168.137.186,216.58.217.34,66,1553157419.591788
benign,216.58.217.34,192.168.137.186,1484,1553157419.591824
benign,216.58.217.34,192.168.137.186,1484,1553157419.591915
benign,216.58.217.34,192.168.137.186,1484,1553157419.591968
benign,216.58.217.34,192.168.137.186,1484,1553157419.592071
benign,216.58.217.34,192.168.137.186,1484,1553157419.593298
benign,192.168.137.186,216.58.217.34,66,1553157419.594067
benign,192.168.137.186,216.58.217.34,66,1553157419.594067
benign,192.168.137.186,216.58.217.34,66,1553157419.594068
benign,192.168.137.186,216.58.217.34,66,1553157419.594068
benign,216.58.217.34,192.168.137.186,1484,1553157419.597351
benign,192.168.137.186,216.58.217.34,66,1553157419.600757
benign,192.168.137.186,216.58.217.34,66,1553157419.600757
benign,216.58.217.34,192.168.137.186,1484,1553157419.602441
benign,216.58.217.34,192.168.137.186,1484,1553157419.602792
benign,34.232.92.167,192.168.137.186,377,1553157419.603714
benign,52.219.72.4,192.168.137.186,99,1553157419.603962
benign,192.168.137.186,216.58.217.34,66,1553157419.60471
benign,192.168.137.186,216.58.217.34,66,1553157419.604711
benign,192.168.137.186,52.219.72.4,66,1553157419.606249
benign,216.58.217.34,192.168.137.186,1484,1553157419.610494
benign,216.58.217.34,192.168.137.186,1484,1553157419.610815
benign,216.58.217.34,192.168.137.186,1484,1553157419.612342
benign,216.58.217.34,192.168.137.186,1484,1553157419.612722
benign,192.168.137.186,216.58.217.34,66,1553157419.613387
benign,192.168.137.186,216.58.217.34,66,1553157419.613387
benign,216.58.217.34,192.168.137.186,1484,1553157419.614575
benign,192.168.137.186,216.58.217.34,66,1553157419.614735
benign,192.168.137.186,216.58.217.34,66,1553157419.614736
benign,216.58.217.34,192.168.137.186,1484,1553157419.615
benign,216.58.217.34,192.168.137.186,1484,1553157419.61661
benign,192.168.137.186,216.58.217.34,66,1553157419.616638
benign,192.168.137.186,216.58.217.34,66,1553157419.616639
benign,216.58.217.34,192.168.137.186,1484,1553157419.616873
benign,216.58.217.34,192.168.137.186,1484,1553157419.618538
benign,192.168.137.186,216.58.217.34,66,1553157419.618562
benign,192.168.137.186,216.58.217.34,66,1553157419.618562
benign,216.58.217.34,192.168.137.186,1484,1553157419.618886
benign,216.58.217.34,192.168.137.186,1484,1553157419.621021
benign,216.58.217.34,192.168.137.186,1484,1553157419.621123
benign,192.168.137.186,216.58.217.34,66,1553157419.621255
benign,192.168.137.186,216.58.217.34,66,1553157419.621256
benign,216.58.217.34,192.168.137.186,1484,1553157419.622841
benign,216.58.217.34,192.168.137.186,1484,1553157419.623206
benign,192.168.137.186,216.58.217.34,66,1553157419.623473
benign,216.58.217.34,192.168.137.186,1484,1553157419.624524
benign,216.58.217.34,192.168.137.186,1484,1553157419.624727
benign,192.168.137.186,216.58.217.34,66,1553157419.625015
benign,192.168.137.186,216.58.217.34,66,1553157419.625016
benign,192.168.137.186,216.58.217.34,66,1553157419.626265
benign,192.168.137.186,216.58.217.34,66,1553157419.626266
benign,192.168.137.186,216.58.217.34,66,1553157419.626266
benign,216.58.217.34,192.168.137.186,1484,1553157419.626419
benign,216.58.217.34,192.168.137.186,1484,1553157419.626752
benign,216.58.217.34,192.168.137.186,1484,1553157419.628162
benign,192.168.137.186,216.58.217.34,66,1553157419.628746
benign,192.168.137.186,216.58.217.34,66,1553157419.628746
benign,216.58.217.34,192.168.137.186,1484,1553157419.629022
benign,216.58.217.34,192.168.137.186,1484,1553157419.629366
benign,192.168.137.186,216.58.217.34,66,1553157419.630355
benign,192.168.137.186,216.58.217.34,66,1553157419.630355
benign,216.58.217.34,192.168.137.186,1484,1553157419.630801
benign,216.58.217.34,192.168.137.186,1484,1553157419.631166
benign,216.58.217.34,192.168.137.186,1484,1553157419.632753
benign,216.58.217.34,192.168.137.186,1484,1553157419.633067
benign,192.168.137.186,216.58.217.34,66,1553157419.633429
benign,192.168.137.186,216.58.217.34,66,1553157419.63343
benign,216.58.217.34,192.168.137.186,1484,1553157419.63455
benign,216.58.217.34,192.168.137.186,1484,1553157419.634844
benign,192.168.137.186,216.58.217.34,66,1553157419.634848
benign,192.168.137.186,216.58.217.34,66,1553157419.634849
benign,192.168.137.186,216.58.217.34,66,1553157419.63485
benign,216.58.217.34,192.168.137.186,1484,1553157419.636269
benign,216.58.217.34,192.168.137.186,1484,1553157419.636598
benign,192.168.137.186,34.227.126.240,74,1553157419.637039
benign,192.168.137.186,216.58.217.34,66,1553157419.63704
benign,192.168.137.186,216.58.217.34,66,1553157419.637041
benign,216.58.217.34,192.168.137.186,1484,1553157419.637509
benign,216.58.217.34,192.168.137.186,1484,1553157419.637724
benign,216.58.217.34,192.168.137.186,1484,1553157419.638425
benign,216.58.217.34,192.168.137.186,1484,1553157419.638637
benign,216.58.217.34,192.168.137.186,1484,1553157419.639421
benign,216.58.217.34,192.168.137.186,1484,1553157419.63978
benign,216.58.217.34,192.168.137.186,1484,1553157419.640384
benign,216.58.217.34,192.168.137.186,1484,1553157419.640708
benign,192.168.137.186,216.58.217.34,66,1553157419.640772
benign,192.168.137.186,216.58.217.34,66,1553157419.640773
benign,192.168.137.186,216.58.217.34,66,1553157419.640774
benign,192.168.137.186,216.58.217.34,66,1553157419.640774
benign,192.168.137.186,216.58.217.34,66,1553157419.640775
benign,216.58.217.34,192.168.137.186,1484,1553157419.641432
