Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,13.32.252.89,955,1553162053.78635
benign,192.168.137.186,23.59.158.55,74,1553162053.817571
benign,23.59.158.55,192.168.137.186,74,1553162053.842382
benign,192.168.137.186,23.59.158.55,66,1553162053.844747
benign,192.168.137.186,23.59.158.55,246,1553162053.844748
benign,13.32.252.89,192.168.137.186,66,1553162053.860019
benign,23.59.158.55,192.168.137.186,66,1553162053.87457
benign,23.59.158.55,192.168.137.186,1514,1553162053.877458
benign,23.59.158.55,192.168.137.186,1514,1553162053.877656
benign,23.59.158.55,192.168.137.186,871,1553162053.877744
benign,192.168.137.186,23.59.158.55,66,1553162053.880699
benign,192.168.137.186,23.59.158.55,66,1553162053.8807
benign,192.168.137.186,23.59.158.55,66,1553162053.880701
benign,192.168.137.186,23.59.158.55,192,1553162053.892757
benign,23.59.158.55,192.168.137.186,324,1553162053.914854
benign,192.168.137.186,216.58.193.66,74,1553162053.916926
benign,192.168.137.186,23.59.158.55,1058,1553162053.916927
benign,192.168.137.186,13.32.252.89,816,1553162053.935996
benign,13.32.252.89,192.168.137.186,282,1553162053.945936
benign,192.168.137.186,13.32.252.89,66,1553162053.949005
benign,216.58.193.66,192.168.137.186,74,1553162053.950401
benign,192.168.137.186,216.58.193.66,66,1553162053.952747
benign,192.168.137.186,216.58.193.66,259,1553162053.955435
benign,13.32.252.89,192.168.137.186,66,1553162053.963777
benign,192.168.137.186,13.32.252.108,771,1553162053.970242
benign,23.59.158.55,192.168.137.186,66,1553162053.979826
benign,216.58.193.66,192.168.137.186,66,1553162053.987596
benign,216.58.193.66,192.168.137.186,1484,1553162053.995456
benign,216.58.193.66,192.168.137.186,1188,1553162053.995666
benign,192.168.137.186,216.58.193.66,66,1553162053.998543
benign,192.168.137.186,216.58.193.66,66,1553162053.998544
benign,192.168.137.186,216.58.193.66,159,1553162054.017223
benign,192.168.137.186,216.58.193.66,1434,1553162054.017224
benign,192.168.137.186,216.58.193.66,1434,1553162054.017225
benign,216.58.193.66,192.168.137.186,66,1553162054.04573
benign,216.58.193.66,192.168.137.186,350,1553162054.045954
benign,192.168.137.186,216.58.193.66,1324,1553162054.048089
benign,13.32.252.108,192.168.137.186,66,1553162054.055314
benign,192.168.137.186,216.58.193.66,66,1553162054.08787
benign,13.32.252.89,192.168.137.186,283,1553162054.097123
benign,192.168.137.186,13.32.252.89,66,1553162054.09985
benign,216.58.193.66,192.168.137.186,66,1553162054.114833
benign,23.59.158.55,192.168.137.186,452,1553162054.14231
benign,192.168.137.186,24.244.3.27,97,1553162054.14803
benign,192.168.137.186,24.244.3.27,66,1553162054.148031
benign,24.244.3.27,192.168.137.186,97,1553162054.157057
benign,24.244.3.27,192.168.137.186,66,1553162054.158468
benign,192.168.137.186,24.244.3.27,54,1553162054.15926
benign,192.168.137.186,24.244.3.27,54,1553162054.16067
benign,24.244.3.27,192.168.137.186,66,1553162054.163305
benign,192.168.137.186,24.244.3.27,54,1553162054.165449
benign,192.168.137.186,13.32.252.89,861,1553162054.177244
benign,192.168.137.186,23.59.158.55,66,1553162054.184439
benign,13.32.252.89,192.168.137.186,66,1553162054.204093
benign,192.168.137.186,23.59.158.55,1088,1553162054.205782
benign,23.59.158.55,192.168.137.186,66,1553162054.227359
benign,13.32.252.108,192.168.137.186,1514,1553162054.329169
benign,13.32.252.108,192.168.137.186,1514,1553162054.329406
benign,13.32.252.108,192.168.137.186,198,1553162054.329521
benign,13.32.252.108,192.168.137.186,104,1553162054.329666
benign,192.168.137.186,13.32.252.108,66,1553162054.331788
benign,192.168.137.186,13.32.252.108,66,1553162054.33179
benign,192.168.137.186,13.32.252.108,66,1553162054.33179
benign,192.168.137.186,13.32.252.108,66,1553162054.331791
benign,13.32.252.89,192.168.137.186,283,1553162054.334067
benign,192.168.137.186,13.32.252.89,66,1553162054.336484
benign,216.58.193.66,192.168.137.186,1484,1553162054.441846
benign,216.58.193.66,192.168.137.186,1484,1553162054.442025
benign,216.58.193.66,192.168.137.186,1484,1553162054.444072
benign,216.58.193.66,192.168.137.186,1484,1553162054.444276
benign,216.58.193.66,192.168.137.186,1484,1553162054.446064
benign,216.58.193.66,192.168.137.186,1484,1553162054.446245
benign,192.168.137.186,216.58.193.66,66,1553162054.447404
benign,192.168.137.186,216.58.193.66,66,1553162054.447404
benign,192.168.137.186,216.58.193.66,66,1553162054.447405
benign,192.168.137.186,216.58.193.66,66,1553162054.447405
benign,216.58.193.66,192.168.137.186,1484,1553162054.448344
benign,216.58.193.66,192.168.137.186,1484,1553162054.448542
benign,192.168.137.186,216.58.193.66,66,1553162054.449191
benign,192.168.137.186,216.58.193.66,66,1553162054.449192
benign,216.58.193.66,192.168.137.186,1484,1553162054.450529
benign,216.58.193.66,192.168.137.186,1484,1553162054.450876
benign,192.168.137.186,216.58.193.66,66,1553162054.451154
benign,192.168.137.186,216.58.193.66,66,1553162054.451155
benign,216.58.193.66,192.168.137.186,1484,1553162054.452848
benign,216.58.193.66,192.168.137.186,1484,1553162054.453026
benign,192.168.137.186,216.58.193.66,66,1553162054.454153
benign,192.168.137.186,216.58.193.66,66,1553162054.454154
benign,216.58.193.66,192.168.137.186,1484,1553162054.455044
benign,192.168.137.186,216.58.193.66,66,1553162054.456309
benign,192.168.137.186,216.58.193.66,66,1553162054.45631
benign,192.168.137.186,216.58.193.66,66,1553162054.457675
benign,216.58.193.66,192.168.137.186,1484,1553162054.474536
benign,216.58.193.66,192.168.137.186,1484,1553162054.474771
benign,216.58.193.66,192.168.137.186,1484,1553162054.476503
benign,216.58.193.66,192.168.137.186,1484,1553162054.476743
benign,192.168.137.186,216.58.193.66,66,1553162054.476975
benign,192.168.137.186,216.58.193.66,66,1553162054.476976
benign,192.168.137.186,216.58.193.66,66,1553162054.478937
benign,192.168.137.186,216.58.193.66,66,1553162054.478938
benign,216.58.193.66,192.168.137.186,1484,1553162054.478953
benign,216.58.193.66,192.168.137.186,1484,1553162054.479188
benign,216.58.193.66,192.168.137.186,1484,1553162054.481103
benign,216.58.193.66,192.168.137.186,587,1553162054.481296
benign,192.168.137.186,216.58.193.66,66,1553162054.482679
benign,192.168.137.186,216.58.193.66,66,1553162054.48268
benign,192.168.137.186,216.58.193.66,66,1553162054.484037
benign,192.168.137.186,216.58.193.66,66,1553162054.484038
benign,23.59.158.55,192.168.137.186,481,1553162054.496466
benign,192.168.137.186,23.59.158.55,66,1553162054.499034
benign,192.168.137.186,24.244.3.27,320,1553162054.633534
benign,192.168.137.186,35.201.103.6,74,1553162054.646494
benign,24.244.3.27,192.168.137.186,1514,1553162054.656894
benign,24.244.3.27,192.168.137.186,1514,1553162054.657569
benign,24.244.3.27,192.168.137.186,1514,1553162054.657737
benign,24.244.3.27,192.168.137.186,551,1553162054.657818
benign,24.244.3.27,192.168.137.186,1514,1553162054.657902
benign,24.244.3.27,192.168.137.186,1514,1553162054.657972
benign,24.244.3.27,192.168.137.186,1514,1553162054.658039
benign,24.244.3.27,192.168.137.186,1514,1553162054.658106
benign,24.244.3.27,192.168.137.186,1514,1553162054.658303
benign,24.244.3.27,192.168.137.186,1514,1553162054.658392
benign,24.244.3.27,192.168.137.186,1514,1553162054.658465
benign,24.244.3.27,192.168.137.186,1514,1553162054.658573
benign,24.244.3.27,192.168.137.186,1514,1553162054.658639
benign,24.244.3.27,192.168.137.186,1514,1553162054.658705
benign,24.244.3.27,192.168.137.186,1514,1553162054.658786
benign,24.244.3.27,192.168.137.186,1514,1553162054.658866
benign,24.244.3.27,192.168.137.186,1514,1553162054.658928
benign,24.244.3.27,192.168.137.186,1514,1553162054.658988
benign,24.244.3.27,192.168.137.186,1514,1553162054.6591
benign,24.244.3.27,192.168.137.186,1514,1553162054.659173
benign,24.244.3.27,192.168.137.186,1514,1553162054.659237
benign,24.244.3.27,192.168.137.186,1514,1553162054.659297
benign,24.244.3.27,192.168.137.186,1514,1553162054.659362
benign,24.244.3.27,192.168.137.186,1514,1553162054.659423
benign,24.244.3.27,192.168.137.186,1514,1553162054.659483
benign,24.244.3.27,192.168.137.186,1514,1553162054.659544
benign,24.244.3.27,192.168.137.186,1514,1553162054.659609
benign,24.244.3.27,192.168.137.186,1514,1553162054.659667
benign,24.244.3.27,192.168.137.186,1009,1553162054.659936
benign,24.244.3.27,192.168.137.186,1514,1553162054.660019
benign,24.244.3.27,192.168.137.186,1514,1553162054.660082
benign,24.244.3.27,192.168.137.186,1514,1553162054.660141
benign,24.244.3.27,192.168.137.186,1514,1553162054.6602
benign,24.244.3.27,192.168.137.186,1514,1553162054.660262
benign,24.244.3.27,192.168.137.186,1514,1553162054.660322
benign,24.244.3.27,192.168.137.186,1514,1553162054.660421
benign,24.244.3.27,192.168.137.186,1514,1553162054.660485
benign,24.244.3.27,192.168.137.186,1514,1553162054.660544
benign,24.244.3.27,192.168.137.186,1514,1553162054.660873
benign,192.168.137.186,24.244.3.27,66,1553162054.660925
benign,192.168.137.186,24.244.3.27,78,1553162054.660926
benign,192.168.137.186,24.244.3.27,78,1553162054.660927
benign,192.168.137.186,24.244.3.27,78,1553162054.660928
benign,24.244.3.27,192.168.137.186,1514,1553162054.660954
benign,24.244.3.27,192.168.137.186,551,1553162054.661018
benign,24.244.3.27,192.168.137.186,107,1553162054.661081
benign,24.244.3.27,192.168.137.186,1514,1553162054.661143
benign,24.244.3.27,192.168.137.186,1514,1553162054.661208
benign,24.244.3.27,192.168.137.186,1514,1553162054.661266
benign,24.244.3.27,192.168.137.186,1091,1553162054.661327
benign,24.244.3.27,192.168.137.186,156,1553162054.661387
benign,192.168.137.186,24.244.3.27,78,1553162054.662972
benign,192.168.137.186,24.244.3.27,78,1553162054.662973
benign,192.168.137.186,24.244.3.27,78,1553162054.662974
benign,192.168.137.186,24.244.3.27,78,1553162054.662974
benign,192.168.137.186,24.244.3.27,78,1553162054.662975
benign,192.168.137.186,24.244.3.27,78,1553162054.662976
benign,192.168.137.186,24.244.3.27,78,1553162054.662977
benign,192.168.137.186,24.244.3.27,78,1553162054.662977
benign,192.168.137.186,24.244.3.27,78,1553162054.662978
benign,192.168.137.186,24.244.3.27,78,1553162054.662979
benign,192.168.137.186,24.244.3.27,78,1553162054.66298
benign,192.168.137.186,24.244.3.27,78,1553162054.66298
benign,192.168.137.186,24.244.3.27,78,1553162054.662981
benign,192.168.137.186,24.244.3.27,78,1553162054.662982
benign,192.168.137.186,24.244.3.27,78,1553162054.664584
benign,192.168.137.186,24.244.3.27,78,1553162054.664585
benign,192.168.137.186,24.244.3.27,78,1553162054.664586
benign,192.168.137.186,24.244.3.27,78,1553162054.664586
benign,192.168.137.186,24.244.3.27,78,1553162054.664587
benign,192.168.137.186,24.244.3.27,78,1553162054.664588
benign,192.168.137.186,24.244.3.27,78,1553162054.664593
benign,192.168.137.186,24.244.3.27,78,1553162054.664594
benign,192.168.137.186,24.244.3.27,78,1553162054.664594
benign,192.168.137.186,24.244.3.27,78,1553162054.664595
benign,192.168.137.186,24.244.3.27,78,1553162054.664596
benign,192.168.137.186,24.244.3.27,78,1553162054.664597
benign,192.168.137.186,24.244.3.27,78,1553162054.664597
benign,192.168.137.186,24.244.3.27,78,1553162054.664598
benign,192.168.137.186,24.244.3.27,78,1553162054.664599
benign,192.168.137.186,24.244.3.27,78,1553162054.6646
benign,192.168.137.186,24.244.3.27,78,1553162054.665144
benign,192.168.137.186,24.244.3.27,78,1553162054.665145
benign,192.168.137.186,24.244.3.27,78,1553162054.665146
benign,192.168.137.186,24.244.3.27,78,1553162054.665147
benign,192.168.137.186,24.244.3.27,78,1553162054.665148
benign,192.168.137.186,24.244.3.27,78,1553162054.665148
benign,192.168.137.186,24.244.3.27,78,1553162054.665149
benign,192.168.137.186,24.244.3.27,78,1553162054.66515
benign,192.168.137.186,24.244.3.27,78,1553162054.665151
benign,192.168.137.186,24.244.3.27,78,1553162054.665151
benign,192.168.137.186,24.244.3.27,78,1553162054.665152
benign,192.168.137.186,24.244.3.27,78,1553162054.665153
benign,192.168.137.186,24.244.3.27,78,1553162054.665738
benign,24.244.3.27,192.168.137.186,1514,1553162054.672163
benign,24.244.3.27,192.168.137.186,1514,1553162054.672395
benign,24.244.3.27,192.168.137.186,1514,1553162054.672486
benign,24.244.3.27,192.168.137.186,1514,1553162054.672669
benign,24.244.3.27,192.168.137.186,1514,1553162054.672806
benign,24.244.3.27,192.168.137.186,1514,1553162054.673128
benign,24.244.3.27,192.168.137.186,1514,1553162054.673267
benign,24.244.3.27,192.168.137.186,1514,1553162054.673458
benign,192.168.137.186,24.244.3.27,78,1553162054.674854
benign,192.168.137.186,24.244.3.27,78,1553162054.674855
benign,192.168.137.186,24.244.3.27,78,1553162054.674856
benign,192.168.137.186,24.244.3.27,78,1553162054.674856
benign,192.168.137.186,24.244.3.27,78,1553162054.676227
benign,192.168.137.186,24.244.3.27,78,1553162054.676228
benign,192.168.137.186,24.244.3.27,78,1553162054.676229
benign,192.168.137.186,24.244.3.27,66,1553162054.676229
benign,35.201.103.6,192.168.137.186,74,1553162054.679716
benign,192.168.137.186,35.201.103.6,66,1553162054.682032
benign,192.168.137.186,35.201.103.6,269,1553162054.682034
benign,35.201.103.6,192.168.137.186,66,1553162054.712649
benign,35.201.103.6,192.168.137.186,1484,1553162054.713553
benign,35.201.103.6,192.168.137.186,1484,1553162054.713724
benign,35.201.103.6,192.168.137.186,155,1553162054.714604
benign,192.168.137.186,35.201.103.6,66,1553162054.719139
benign,192.168.137.186,35.201.103.6,66,1553162054.71914
benign,192.168.137.186,35.201.103.6,66,1553162054.719141
benign,192.168.137.186,24.244.3.27,318,1553162054.754729
benign,192.168.137.186,35.201.103.6,159,1553162054.762469
benign,24.244.3.27,192.168.137.186,1514,1553162054.764846
benign,24.244.3.27,192.168.137.186,1514,1553162054.765085
benign,24.244.3.27,192.168.137.186,1514,1553162054.76517
benign,24.244.3.27,192.168.137.186,1514,1553162054.765232
benign,24.244.3.27,192.168.137.186,1514,1553162054.765397
benign,24.244.3.27,192.168.137.186,1514,1553162054.765472
benign,24.244.3.27,192.168.137.186,1514,1553162054.765533
benign,24.244.3.27,192.168.137.186,1514,1553162054.765636
benign,24.244.3.27,192.168.137.186,1514,1553162054.765793
benign,24.244.3.27,192.168.137.186,1514,1553162054.765868
benign,24.244.3.27,192.168.137.186,1514,1553162054.765924
benign,24.244.3.27,192.168.137.186,551,1553162054.76598
benign,24.244.3.27,192.168.137.186,1514,1553162054.766169
benign,24.244.3.27,192.168.137.186,1514,1553162054.766239
benign,24.244.3.27,192.168.137.186,1514,1553162054.766297
benign,24.244.3.27,192.168.137.186,1514,1553162054.766357
benign,24.244.3.27,192.168.137.186,1514,1553162054.766488
benign,24.244.3.27,192.168.137.186,1514,1553162054.766559
benign,24.244.3.27,192.168.137.186,1514,1553162054.766614
benign,24.244.3.27,192.168.137.186,1514,1553162054.766671
benign,24.244.3.27,192.168.137.186,1514,1553162054.766795
benign,24.244.3.27,192.168.137.186,1514,1553162054.766875
benign,24.244.3.27,192.168.137.186,1514,1553162054.766935
benign,24.244.3.27,192.168.137.186,1514,1553162054.766991
benign,24.244.3.27,192.168.137.186,628,1553162054.767145
benign,192.168.137.186,24.244.3.27,66,1553162054.768445
benign,192.168.137.186,24.244.3.27,66,1553162054.768446
benign,192.168.137.186,24.244.3.27,66,1553162054.771719
benign,192.168.137.186,24.244.3.27,66,1553162054.77172
benign,192.168.137.186,24.244.3.27,66,1553162054.771721
benign,192.168.137.186,24.244.3.27,66,1553162054.771721
benign,192.168.137.186,24.244.3.27,66,1553162054.771722
benign,192.168.137.186,24.244.3.27,66,1553162054.771723
benign,192.168.137.186,24.244.3.27,66,1553162054.771724
benign,192.168.137.186,24.244.3.27,66,1553162054.771724
benign,192.168.137.186,24.244.3.27,66,1553162054.771725
benign,192.168.137.186,24.244.3.27,66,1553162054.771726
benign,192.168.137.186,24.244.3.27,66,1553162054.771727
benign,192.168.137.186,24.244.3.27,66,1553162054.771727
benign,192.168.137.186,24.244.3.27,66,1553162054.771728
benign,192.168.137.186,24.244.3.27,66,1553162054.771729
benign,192.168.137.186,24.244.3.27,66,1553162054.771729
benign,192.168.137.186,24.244.3.27,66,1553162054.77173
benign,192.168.137.186,24.244.3.27,66,1553162054.772323
benign,192.168.137.186,24.244.3.27,66,1553162054.772324
benign,192.168.137.186,24.244.3.27,66,1553162054.772325
benign,192.168.137.186,24.244.3.27,66,1553162054.772326
benign,192.168.137.186,24.244.3.27,66,1553162054.772326
benign,192.168.137.186,24.244.3.27,66,1553162054.772327
benign,192.168.137.186,24.244.3.27,66,1553162054.772328
benign,192.168.137.186,216.58.193.66,1434,1553162054.781907
benign,192.168.137.186,216.58.193.66,1434,1553162054.781914
benign,192.168.137.186,216.58.193.66,1423,1553162054.785005
benign,192.168.137.186,24.244.3.27,319,1553162054.789174
benign,35.201.103.6,192.168.137.186,350,1553162054.789356
benign,192.168.137.186,35.201.103.6,643,1553162054.791822
benign,192.168.137.186,24.244.3.27,74,1553162054.801678
benign,24.244.3.27,192.168.137.186,1514,1553162054.803479
benign,24.244.3.27,192.168.137.186,1514,1553162054.803662
benign,24.244.3.27,192.168.137.186,1514,1553162054.803793
benign,24.244.3.27,192.168.137.186,1514,1553162054.803881
benign,24.244.3.27,192.168.137.186,1514,1553162054.804036
benign,24.244.3.27,192.168.137.186,1514,1553162054.804418
benign,24.244.3.27,192.168.137.186,944,1553162054.804621
benign,192.168.137.186,24.244.3.27,66,1553162054.806195
benign,192.168.137.186,24.244.3.27,66,1553162054.806196
benign,192.168.137.186,24.244.3.27,66,1553162054.806196
benign,216.58.193.66,192.168.137.186,66,1553162054.810017
benign,24.244.3.27,192.168.137.186,74,1553162054.813601
benign,192.168.137.186,24.244.3.27,66,1553162054.816033
benign,192.168.137.186,24.244.3.27,260,1553162054.817636
benign,24.244.3.27,192.168.137.186,66,1553162054.833204
benign,192.168.137.186,24.244.3.27,66,1553162054.84453
benign,24.244.3.27,192.168.137.186,1514,1553162054.846789
benign,24.244.3.27,192.168.137.186,1457,1553162054.846973
benign,192.168.137.186,24.244.3.27,66,1553162054.849131
benign,192.168.137.186,24.244.3.27,66,1553162054.849132
benign,216.58.193.66,192.168.137.186,66,1553162054.855011
benign,35.201.103.6,192.168.137.186,66,1553162054.862842
benign,35.201.103.6,192.168.137.186,1484,1553162054.889669
benign,35.201.103.6,192.168.137.186,1484,1553162054.890864
benign,35.201.103.6,192.168.137.186,1422,1553162054.891867
benign,35.201.103.6,192.168.137.186,921,1553162054.894465
benign,192.168.137.186,35.201.103.6,66,1553162054.894645
benign,192.168.137.186,24.244.3.27,192,1553162054.894646
benign,192.168.137.186,35.201.103.6,66,1553162054.898098
benign,192.168.137.186,23.59.156.199,97,1553162054.900053
benign,192.168.137.186,23.59.156.199,66,1553162054.900054
benign,24.244.3.27,192.168.137.186,324,1553162054.904769
benign,192.168.137.186,24.244.3.27,316,1553162054.906894
benign,24.244.3.27,192.168.137.186,647,1553162054.92044
tracking,192.168.137.186,205.185.208.52,97,1553162054.924272
tracking,192.168.137.186,205.185.208.52,66,1553162054.924272
benign,23.59.156.199,192.168.137.186,97,1553162054.927262
benign,23.59.156.199,192.168.137.186,66,1553162054.927524
benign,192.168.137.186,23.59.156.199,54,1553162054.930839
benign,192.168.137.186,23.59.156.199,54,1553162054.93084
benign,192.168.137.186,24.244.3.27,316,1553162054.949454
tracking,205.185.208.52,192.168.137.186,97,1553162054.962094
benign,192.168.137.186,24.244.3.27,317,1553162054.962096
tracking,205.185.208.52,192.168.137.186,66,1553162054.962173
tracking,205.185.208.52,192.168.137.186,66,1553162054.962208
benign,192.168.137.186,24.244.3.27,74,1553162054.963884
tracking,192.168.137.186,205.185.208.52,54,1553162054.963884
tracking,192.168.137.186,205.185.208.52,54,1553162054.963884
tracking,192.168.137.186,205.185.208.52,54,1553162054.963885
benign,24.244.3.27,192.168.137.186,1514,1553162054.971095
benign,24.244.3.27,192.168.137.186,1514,1553162054.971184
benign,24.244.3.27,192.168.137.186,1514,1553162054.97146
benign,24.244.3.27,192.168.137.186,1514,1553162054.971537
benign,24.244.3.27,192.168.137.186,1514,1553162054.971592
benign,24.244.3.27,192.168.137.186,1514,1553162054.971826
benign,24.244.3.27,192.168.137.186,1514,1553162054.971878
benign,24.244.3.27,192.168.137.186,1514,1553162054.971938
benign,24.244.3.27,192.168.137.186,1514,1553162054.972123
benign,24.244.3.27,192.168.137.186,1514,1553162054.972214
benign,24.244.3.27,192.168.137.186,1514,1553162054.972274
benign,24.244.3.27,192.168.137.186,551,1553162054.972307
benign,24.244.3.27,192.168.137.186,1514,1553162054.972654
benign,24.244.3.27,192.168.137.186,1514,1553162054.972705
benign,24.244.3.27,192.168.137.186,1514,1553162054.972737
benign,24.244.3.27,192.168.137.186,1514,1553162054.972956
benign,24.244.3.27,192.168.137.186,1514,1553162054.973007
benign,24.244.3.27,192.168.137.186,1514,1553162054.973067
benign,24.244.3.27,192.168.137.186,1514,1553162054.973099
benign,24.244.3.27,192.168.137.186,1514,1553162054.973322
benign,24.244.3.27,192.168.137.186,1514,1553162054.973373
benign,24.244.3.27,192.168.137.186,1514,1553162054.973432
benign,24.244.3.27,192.168.137.186,1514,1553162054.973667
benign,24.244.3.27,192.168.137.186,1514,1553162054.973838
benign,192.168.137.186,24.244.3.27,66,1553162054.973851
benign,192.168.137.186,24.244.3.27,66,1553162054.973852
benign,192.168.137.186,24.244.3.27,66,1553162054.973852
benign,192.168.137.186,24.244.3.27,66,1553162054.973852
benign,24.244.3.27,192.168.137.186,1514,1553162054.974048
benign,24.244.3.27,192.168.137.186,1514,1553162054.974309
benign,24.244.3.27,192.168.137.186,1514,1553162054.974384
benign,24.244.3.27,192.168.137.186,1514,1553162054.974667
benign,24.244.3.27,192.168.137.186,1514,1553162054.974745
benign,24.244.3.27,192.168.137.186,1514,1553162054.975102
benign,24.244.3.27,192.168.137.186,1514,1553162054.97521
benign,192.168.137.186,24.244.3.27,66,1553162054.975212
benign,192.168.137.186,24.244.3.27,66,1553162054.975213
benign,192.168.137.186,24.244.3.27,66,1553162054.975213
benign,192.168.137.186,24.244.3.27,66,1553162054.975213
benign,192.168.137.186,24.244.3.27,66,1553162054.975214
benign,24.244.3.27,192.168.137.186,1514,1553162054.975415
benign,24.244.3.27,192.168.137.186,1514,1553162054.975567
benign,24.244.3.27,192.168.137.186,1514,1553162054.975764
benign,24.244.3.27,192.168.137.186,1514,1553162054.975915
benign,24.244.3.27,192.168.137.186,1514,1553162054.97609
benign,24.244.3.27,192.168.137.186,1514,1553162054.97624
benign,24.244.3.27,192.168.137.186,1514,1553162054.976398
benign,24.244.3.27,192.168.137.186,1470,1553162054.976591
benign,24.244.3.27,192.168.137.186,1514,1553162054.976764
benign,192.168.137.186,24.244.3.27,66,1553162054.976835
benign,192.168.137.186,24.244.3.27,66,1553162054.976835
benign,192.168.137.186,24.244.3.27,66,1553162054.976835
benign,24.244.3.27,192.168.137.186,1514,1553162054.976916
benign,24.244.3.27,192.168.137.186,1514,1553162054.976951
benign,24.244.3.27,192.168.137.186,1514,1553162054.977115
benign,24.244.3.27,192.168.137.186,1514,1553162054.977266
benign,24.244.3.27,192.168.137.186,1514,1553162054.977298
benign,24.244.3.27,192.168.137.186,1514,1553162054.97744
benign,24.244.3.27,192.168.137.186,74,1553162054.977498
benign,24.244.3.27,192.168.137.186,1514,1553162054.977592
benign,24.244.3.27,192.168.137.186,1514,1553162054.977624
benign,24.244.3.27,192.168.137.186,1514,1553162054.977745
benign,24.244.3.27,192.168.137.186,1514,1553162054.97794
benign,24.244.3.27,192.168.137.186,1514,1553162054.97797
benign,24.244.3.27,192.168.137.186,1514,1553162054.978097
benign,24.244.3.27,192.168.137.186,1514,1553162054.978245
benign,24.244.3.27,192.168.137.186,1514,1553162054.978295
benign,24.244.3.27,192.168.137.186,1514,1553162054.97842
benign,24.244.3.27,192.168.137.186,1514,1553162054.978571
benign,24.244.3.27,192.168.137.186,1514,1553162054.978622
benign,24.244.3.27,192.168.137.186,655,1553162054.978658
benign,24.244.3.27,192.168.137.186,1514,1553162054.978921
benign,24.244.3.27,192.168.137.186,1514,1553162054.978974
benign,24.244.3.27,192.168.137.186,1514,1553162054.979004
benign,24.244.3.27,192.168.137.186,1514,1553162054.979262
benign,24.244.3.27,192.168.137.186,1514,1553162054.979295
benign,24.244.3.27,192.168.137.186,1514,1553162054.979327
benign,24.244.3.27,192.168.137.186,1491,1553162054.979615
benign,192.168.137.186,24.244.3.27,66,1553162054.981151
benign,192.168.137.186,24.244.3.27,66,1553162054.981151
benign,192.168.137.186,24.244.3.27,66,1553162054.981151
benign,192.168.137.186,24.244.3.27,66,1553162054.981152
benign,192.168.137.186,24.244.3.27,66,1553162054.981152
benign,192.168.137.186,24.244.3.27,66,1553162054.981152
benign,192.168.137.186,24.244.3.27,66,1553162054.981152
benign,192.168.137.186,24.244.3.27,66,1553162054.981152
benign,192.168.137.186,24.244.3.27,66,1553162054.981152
benign,192.168.137.186,24.244.3.27,66,1553162054.981153
benign,192.168.137.186,24.244.3.27,66,1553162054.981153
benign,192.168.137.186,24.244.3.27,66,1553162054.981153
benign,192.168.137.186,24.244.3.27,66,1553162054.981153
benign,192.168.137.186,24.244.3.27,66,1553162054.981153
benign,192.168.137.186,24.244.3.27,66,1553162054.981153
benign,192.168.137.186,24.244.3.27,66,1553162054.982606
benign,192.168.137.186,24.244.3.27,66,1553162054.982606
benign,192.168.137.186,24.244.3.27,66,1553162054.982606
benign,192.168.137.186,24.244.3.27,66,1553162054.982606
benign,192.168.137.186,24.244.3.27,66,1553162054.982606
benign,192.168.137.186,24.244.3.27,66,1553162054.982607
benign,192.168.137.186,24.244.3.27,66,1553162054.982607
benign,192.168.137.186,24.244.3.27,66,1553162054.982607
benign,192.168.137.186,24.244.3.27,66,1553162054.982608
benign,192.168.137.186,24.244.3.27,66,1553162054.982608
benign,192.168.137.186,24.244.3.27,66,1553162054.982608
benign,192.168.137.186,24.244.3.27,66,1553162054.982609
benign,192.168.137.186,24.244.3.27,66,1553162054.982609
benign,192.168.137.186,24.244.3.27,66,1553162054.982609
benign,192.168.137.186,24.244.3.27,66,1553162054.982609
benign,192.168.137.186,24.244.3.27,66,1553162054.982609
benign,192.168.137.186,24.244.3.27,66,1553162054.98274
benign,192.168.137.186,24.244.3.27,66,1553162054.98274
benign,192.168.137.186,24.244.3.27,66,1553162054.98274
benign,192.168.137.186,24.244.3.27,66,1553162054.98274
benign,192.168.137.186,24.244.3.27,66,1553162054.984017
benign,192.168.137.186,24.244.3.27,66,1553162054.984018
benign,192.168.137.186,24.244.3.27,66,1553162054.984018
benign,192.168.137.186,24.244.3.27,66,1553162054.984018
benign,192.168.137.186,24.244.3.27,66,1553162054.984018
benign,192.168.137.186,24.244.3.27,66,1553162054.984019
benign,192.168.137.186,24.244.3.27,66,1553162054.984019
benign,192.168.137.186,24.244.3.27,66,1553162054.984019
benign,192.168.137.186,24.244.3.27,66,1553162054.984019
