Service,Src IP,Dst IP,Frame Size,Timestamp
ads,192.168.137.186,192.48.236.12,66,1553165747.492872
benign,13.32.252.14,192.168.137.186,66,1553165747.493782
benign,192.168.137.186,13.32.252.14,66,1553165747.495798
benign,157.240.3.20,192.168.137.186,1464,1553165747.620699
benign,157.240.3.20,192.168.137.186,793,1553165747.620936
benign,192.168.137.186,157.240.3.20,66,1553165747.623275
benign,192.168.137.186,13.32.252.5,74,1553165747.64662
benign,192.168.137.186,13.32.252.5,66,1553165747.674718
benign,13.32.252.5,192.168.137.186,74,1553165747.680084
ads,192.168.137.186,192.48.236.12,746,1553165747.680399
benign,192.168.137.186,13.32.252.5,66,1553165747.682454
benign,192.168.137.186,13.32.252.5,772,1553165747.682455
benign,13.32.252.5,192.168.137.186,66,1553165747.707154
benign,192.168.137.186,157.240.3.20,1464,1553165747.711081
benign,192.168.137.186,157.240.3.20,1464,1553165747.711083
benign,192.168.137.186,13.32.252.5,66,1553165747.711088
benign,192.168.137.186,157.240.3.20,729,1553165747.712669
benign,13.32.252.5,192.168.137.186,66,1553165747.717126
benign,13.32.252.5,192.168.137.186,728,1553165747.730158
benign,192.168.137.186,13.32.252.5,66,1553165747.733889
benign,157.240.3.20,192.168.137.186,66,1553165747.739031
benign,13.32.252.5,192.168.137.186,71,1553165747.769411
benign,192.168.137.186,13.32.252.5,66,1553165747.772173
ads,192.48.236.12,192.168.137.186,462,1553165747.777046
ads,192.168.137.186,192.48.236.12,66,1553165747.779331
benign,157.240.3.20,192.168.137.186,66,1553165747.784426
benign,157.240.3.20,192.168.137.186,1464,1553165747.83777
benign,157.240.3.20,192.168.137.186,795,1553165747.838017
ads,192.168.137.186,192.48.236.12,746,1553165747.841399
benign,192.168.137.186,157.240.3.20,66,1553165747.8414
ads,192.168.137.186,192.48.236.12,746,1553165747.905241
benign,192.168.137.186,52.4.227.176,74,1553165747.926737
ads,192.48.236.12,192.168.137.186,461,1553165747.932406
ads,192.168.137.186,192.48.236.12,66,1553165747.934564
ads,192.48.236.12,192.168.137.186,461,1553165747.998722
benign,192.168.137.186,23.59.158.55,97,1553165748.004646
benign,192.168.137.186,23.59.158.55,66,1553165748.006037
benign,52.4.227.176,192.168.137.186,74,1553165748.010287
benign,192.168.137.186,52.4.227.176,66,1553165748.012709
benign,192.168.137.186,52.4.227.176,254,1553165748.014749
benign,23.59.158.55,192.168.137.186,66,1553165748.025698
benign,23.59.158.55,192.168.137.186,97,1553165748.025882
benign,23.59.158.55,192.168.137.186,66,1553165748.026954
benign,192.168.137.186,23.59.158.55,54,1553165748.030369
benign,192.168.137.186,23.59.158.55,54,1553165748.03037
