Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,52.9.217.117,1124,1553837863.471301
benign,52.9.217.117,192.168.137.46,379,1553837863.541379
benign,52.9.217.117,192.168.137.46,104,1553837863.541813
benign,192.168.137.46,52.9.217.117,66,1553837863.542738
benign,192.168.137.46,52.9.217.117,66,1553837863.542849
benign,23.21.184.127,192.168.137.46,97,1553837873.668015
benign,192.168.137.46,23.21.184.127,66,1553837873.944027
benign,23.21.184.127,192.168.137.46,66,1553837878.672605
benign,192.168.137.46,23.21.184.127,66,1553837878.822458
benign,192.168.137.46,52.9.217.117,1039,1553837881.9364
benign,52.9.217.117,192.168.137.46,379,1553837882.002555
benign,52.9.217.117,192.168.137.46,104,1553837882.00296
benign,192.168.137.46,52.9.217.117,66,1553837882.003799
benign,192.168.137.46,52.9.217.117,66,1553837882.003961
benign,192.168.137.46,157.240.3.35,74,1553837882.113189
benign,157.240.3.35,192.168.137.46,74,1553837882.145431
benign,192.168.137.46,157.240.3.35,66,1553837882.146511
benign,192.168.137.46,157.240.3.35,583,1553837882.146872
benign,157.240.3.35,192.168.137.46,66,1553837882.184638
benign,157.240.3.35,192.168.137.46,1464,1553837882.186466
benign,157.240.3.35,192.168.137.46,1464,1553837882.186552
benign,157.240.3.35,192.168.137.46,410,1553837882.186587
benign,192.168.137.46,157.240.3.35,66,1553837882.187855
benign,192.168.137.46,157.240.3.35,66,1553837882.188021
benign,192.168.137.46,157.240.3.35,66,1553837882.188837
benign,192.168.137.46,157.240.3.35,130,1553837882.205038
benign,192.168.137.46,157.240.3.35,152,1553837882.205544
benign,192.168.137.46,157.240.3.35,648,1553837882.20607
benign,157.240.3.35,192.168.137.46,229,1553837882.234661
benign,157.240.3.35,192.168.137.46,140,1553837882.234755
benign,192.168.137.46,157.240.3.35,66,1553837882.236563
benign,192.168.137.46,157.240.3.35,97,1553837882.236882
benign,157.240.3.35,192.168.137.46,66,1553837882.239701
benign,157.240.3.35,192.168.137.46,110,1553837882.239888
benign,192.168.137.46,157.240.3.35,66,1553837882.279135
benign,157.240.3.35,192.168.137.46,1464,1553837882.298246
benign,157.240.3.35,192.168.137.46,629,1553837882.298396
benign,192.168.137.46,157.240.3.35,66,1553837882.299433
benign,192.168.137.46,157.240.3.35,66,1553837882.300061
benign,192.168.137.46,157.240.3.35,923,1553837882.310815
benign,157.240.3.35,192.168.137.46,101,1553837882.344767
benign,192.168.137.46,157.240.3.35,66,1553837882.385875
benign,157.240.3.35,192.168.137.46,462,1553837882.51743
benign,157.240.3.35,192.168.137.46,1296,1553837882.517617
benign,157.240.3.35,192.168.137.46,1296,1553837882.5177
benign,157.240.3.35,192.168.137.46,1296,1553837882.517742
benign,157.240.3.35,192.168.137.46,1296,1553837882.517948
benign,157.240.3.35,192.168.137.46,1296,1553837882.518015
benign,157.240.3.35,192.168.137.46,1296,1553837882.518118
benign,157.240.3.35,192.168.137.46,1296,1553837882.51818
benign,157.240.3.35,192.168.137.46,1296,1553837882.518483
benign,192.168.137.46,157.240.3.35,66,1553837882.519165
benign,192.168.137.46,157.240.3.35,66,1553837882.519601
benign,192.168.137.46,157.240.3.35,66,1553837882.51975
benign,192.168.137.46,157.240.3.35,66,1553837882.520417
benign,192.168.137.46,157.240.3.35,66,1553837882.520671
benign,192.168.137.46,157.240.3.35,66,1553837882.521293
benign,192.168.137.46,157.240.3.35,66,1553837882.521562
benign,157.240.3.35,192.168.137.46,1296,1553837882.521833
benign,192.168.137.46,157.240.3.35,66,1553837882.521837
benign,192.168.137.46,157.240.3.35,66,1553837882.522088
benign,192.168.137.46,157.240.3.35,66,1553837882.523131
benign,157.240.3.35,192.168.137.46,1464,1553837882.548942
benign,157.240.3.35,192.168.137.46,1464,1553837882.54905
benign,157.240.3.35,192.168.137.46,1464,1553837882.549089
benign,157.240.3.35,192.168.137.46,1464,1553837882.549248
benign,157.240.3.35,192.168.137.46,1464,1553837882.549372
benign,157.240.3.35,192.168.137.46,1464,1553837882.549414
benign,157.240.3.35,192.168.137.46,1464,1553837882.549581
benign,157.240.3.35,192.168.137.46,1464,1553837882.549675
benign,157.240.3.35,192.168.137.46,1464,1553837882.549718
benign,157.240.3.35,192.168.137.46,1464,1553837882.549898
benign,157.240.3.35,192.168.137.46,1464,1553837882.550018
benign,157.240.3.35,192.168.137.46,1464,1553837882.550056
benign,192.168.137.46,157.240.3.35,66,1553837882.550472
benign,192.168.137.46,157.240.3.35,66,1553837882.550825
benign,192.168.137.46,157.240.3.35,66,1553837882.551095
benign,157.240.3.35,192.168.137.46,1464,1553837882.551191
benign,157.240.3.35,192.168.137.46,1464,1553837882.551518
benign,192.168.137.46,157.240.3.35,66,1553837882.551623
benign,192.168.137.46,157.240.3.35,66,1553837882.552294
benign,192.168.137.46,157.240.3.35,66,1553837882.552567
benign,157.240.3.35,192.168.137.46,1464,1553837882.553578
benign,157.240.3.35,192.168.137.46,159,1553837882.553644
benign,192.168.137.46,157.240.3.35,66,1553837882.554704
benign,192.168.137.46,157.240.3.35,66,1553837882.555724
benign,192.168.137.46,157.240.3.35,66,1553837882.556459
benign,192.168.137.46,157.240.3.35,66,1553837882.556746
benign,192.168.137.46,157.240.3.35,66,1553837882.557431
benign,192.168.137.46,157.240.3.35,66,1553837882.558119
benign,192.168.137.46,157.240.3.35,66,1553837882.558826
benign,192.168.137.46,157.240.3.35,66,1553837882.559564
benign,192.168.137.46,157.240.3.35,66,1553837882.560255
benign,192.168.137.46,157.240.3.35,66,1553837882.560506
benign,192.168.137.46,157.240.3.29,74,1553837882.564416
benign,192.168.137.46,157.240.3.29,74,1553837882.564997
benign,192.168.137.46,24.244.45.17,74,1553837882.565905
benign,192.168.137.46,157.240.3.35,220,1553837882.567197
benign,24.244.45.17,192.168.137.46,74,1553837882.581532
benign,192.168.137.46,24.244.45.17,66,1553837882.582583
benign,192.168.137.46,24.244.45.17,583,1553837882.583207
benign,157.240.3.29,192.168.137.46,74,1553837882.598454
benign,157.240.3.29,192.168.137.46,74,1553837882.599283
benign,192.168.137.46,157.240.3.29,66,1553837882.599503
benign,24.244.45.17,192.168.137.46,66,1553837882.599603
benign,24.244.45.17,192.168.137.46,1464,1553837882.600208
benign,192.168.137.46,157.240.3.29,583,1553837882.600502
benign,192.168.137.46,157.240.3.29,66,1553837882.601546
benign,157.240.3.35,192.168.137.46,101,1553837882.602038
benign,192.168.137.46,157.240.3.29,583,1553837882.602583
benign,24.244.45.17,192.168.137.46,1464,1553837882.603255
benign,24.244.45.17,192.168.137.46,406,1553837882.603279
benign,192.168.137.46,24.244.45.17,66,1553837882.60523
benign,192.168.137.46,24.244.45.17,66,1553837882.605486
benign,192.168.137.46,24.244.45.17,66,1553837882.605712
benign,192.168.137.46,24.244.45.17,130,1553837882.617517
benign,192.168.137.46,24.244.45.17,551,1553837882.619689
benign,24.244.45.17,192.168.137.46,238,1553837882.626284
benign,24.244.45.17,192.168.137.46,140,1553837882.626368
benign,192.168.137.46,24.244.45.17,66,1553837882.62749
benign,192.168.137.46,24.244.45.17,97,1553837882.627788
benign,24.244.45.17,192.168.137.46,110,1553837882.631429
benign,24.244.45.17,192.168.137.46,1464,1553837882.632236
benign,24.244.45.17,192.168.137.46,1464,1553837882.632586
benign,24.244.45.17,192.168.137.46,1373,1553837882.63286
benign,192.168.137.46,24.244.45.17,66,1553837882.633107
benign,192.168.137.46,24.244.45.17,66,1553837882.633946
benign,157.240.3.29,192.168.137.46,66,1553837882.636823
benign,157.240.3.29,192.168.137.46,1464,1553837882.637427
benign,157.240.3.29,192.168.137.46,1464,1553837882.637812
benign,157.240.3.29,192.168.137.46,411,1553837882.63833
benign,192.168.137.46,157.240.3.29,66,1553837882.638555
benign,157.240.3.29,192.168.137.46,66,1553837882.638563
benign,192.168.137.46,157.240.3.29,66,1553837882.639237
benign,157.240.3.29,192.168.137.46,1464,1553837882.639296
benign,192.168.137.46,157.240.3.29,66,1553837882.640139
benign,192.168.137.46,157.240.3.29,66,1553837882.640905
benign,157.240.3.29,192.168.137.46,1464,1553837882.641113
benign,157.240.3.29,192.168.137.46,410,1553837882.641304
benign,192.168.137.46,157.240.3.35,66,1553837882.642446
benign,192.168.137.46,157.240.3.29,66,1553837882.643411
benign,192.168.137.46,157.240.3.29,66,1553837882.644023
benign,192.168.137.46,157.240.3.29,130,1553837882.648597
benign,192.168.137.46,157.240.3.29,130,1553837882.649455
benign,192.168.137.46,157.240.3.29,66,1553837882.650137
benign,192.168.137.46,157.240.3.29,152,1553837882.650795
benign,192.168.137.46,157.240.3.29,557,1553837882.651753
benign,157.240.3.35,192.168.137.46,292,1553837882.667426
benign,157.240.3.35,192.168.137.46,107,1553837882.667494
benign,192.168.137.46,157.240.3.35,66,1553837882.668503
benign,192.168.137.46,157.240.3.35,66,1553837882.668651
benign,192.168.137.46,157.240.3.29,144,1553837882.677327
benign,157.240.3.29,192.168.137.46,66,1553837882.679768
benign,157.240.3.29,192.168.137.46,229,1553837882.679844
benign,157.240.3.29,192.168.137.46,140,1553837882.67987
benign,157.240.3.29,192.168.137.46,97,1553837882.679892
benign,24.244.45.17,192.168.137.46,66,1553837882.681022
benign,192.168.137.46,157.240.3.29,66,1553837882.681024
benign,157.240.3.29,192.168.137.46,229,1553837882.68109
benign,157.240.3.29,192.168.137.46,140,1553837882.681122
benign,192.168.137.46,157.240.3.29,97,1553837882.682071
benign,192.168.137.46,157.240.3.29,54,1553837882.682602
benign,192.168.137.46,157.240.3.29,54,1553837882.683234
benign,157.240.3.29,192.168.137.46,127,1553837882.683279
benign,157.240.3.29,192.168.137.46,1464,1553837882.683963
benign,157.240.3.29,192.168.137.46,1464,1553837882.684046
benign,157.240.3.29,192.168.137.46,1464,1553837882.684311
benign,157.240.3.29,192.168.137.46,1464,1553837882.684384
benign,157.240.3.29,192.168.137.46,1464,1553837882.684641
benign,157.240.3.29,192.168.137.46,1464,1553837882.68494
benign,192.168.137.46,157.240.3.29,66,1553837882.68518
benign,192.168.137.46,157.240.3.29,66,1553837882.686084
benign,192.168.137.46,157.240.3.29,66,1553837882.686362
benign,157.240.3.29,192.168.137.46,66,1553837882.687294
benign,192.168.137.46,157.240.3.29,54,1553837882.688204
benign,157.240.3.29,192.168.137.46,1464,1553837882.709311
benign,157.240.3.29,192.168.137.46,1464,1553837882.709413
benign,157.240.3.29,192.168.137.46,1464,1553837882.709523
benign,157.240.3.29,192.168.137.46,1464,1553837882.709724
benign,157.240.3.29,192.168.137.46,1464,1553837882.709803
benign,157.240.3.29,192.168.137.46,1464,1553837882.710248
benign,192.168.137.46,157.240.3.29,66,1553837882.71036
benign,192.168.137.46,157.240.3.29,66,1553837882.710887
benign,192.168.137.46,157.240.3.29,66,1553837882.712188
benign,157.240.3.29,192.168.137.46,1464,1553837882.714051
