Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,157.240.3.35,1064,1553840662.773969
benign,157.240.3.35,192.168.137.46,66,1553840662.803233
benign,157.240.3.35,192.168.137.46,1102,1553840662.851201
benign,192.168.137.46,157.240.3.35,66,1553840662.852671
benign,192.168.137.46,157.240.3.35,867,1553840666.465516
benign,157.240.3.35,192.168.137.46,66,1553840666.4952
benign,157.240.3.35,192.168.137.46,1088,1553840667.720323
benign,157.240.3.35,192.168.137.46,1088,1553840667.821207
benign,157.240.3.35,192.168.137.46,1088,1553840667.91713
benign,157.240.3.35,192.168.137.46,1088,1553840668.108208
benign,192.168.137.46,157.240.3.35,66,1553840668.313667
benign,192.168.137.46,157.240.3.35,78,1553840668.31388
benign,192.168.137.46,157.240.3.35,78,1553840668.315246
benign,192.168.137.46,157.240.3.35,78,1553840668.315388
benign,192.168.137.46,157.240.3.35,867,1553840672.370405
benign,157.240.3.35,192.168.137.46,66,1553840672.399829
benign,157.240.3.35,192.168.137.46,1084,1553840672.658933
benign,192.168.137.46,157.240.3.35,66,1553840672.818832
benign,192.168.137.46,157.240.3.35,874,1553840680.217971
benign,157.240.3.35,192.168.137.46,66,1553840680.248447
benign,157.240.3.35,192.168.137.46,1092,1553840681.375671
benign,157.240.3.35,192.168.137.46,1092,1553840681.822634
benign,157.240.3.35,192.168.137.46,1092,1553840682.557293
benign,192.168.137.46,157.240.3.35,66,1553840682.718237
benign,192.168.137.46,157.240.3.35,78,1553840682.71837
benign,192.168.137.46,157.240.3.35,888,1553840702.646097
benign,157.240.3.35,192.168.137.46,66,1553840702.680089
benign,157.240.3.35,192.168.137.46,1102,1553840703.138215
benign,192.168.137.46,157.240.3.35,66,1553840703.232175
benign,192.168.137.46,157.240.3.35,892,1553840706.914166
benign,157.240.3.35,192.168.137.46,66,1553840706.944021
benign,157.240.3.35,192.168.137.46,1107,1553840707.168872
benign,192.168.137.46,157.240.3.35,66,1553840707.2255
benign,192.168.137.46,157.240.3.35,892,1553840708.865795
benign,157.240.3.35,192.168.137.46,66,1553840708.895281
benign,157.240.3.35,192.168.137.46,1108,1553840709.099307
benign,192.168.137.46,157.240.3.35,66,1553840709.478411
benign,192.168.137.46,157.240.3.35,893,1553840712.443875
