Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,157.240.3.20,74,1553841588.185873
benign,157.240.3.20,192.168.137.46,74,1553841588.219915
benign,192.168.137.46,157.240.3.20,66,1553841588.222046
benign,192.168.137.46,157.240.3.20,225,1553841588.223262
benign,157.240.3.20,192.168.137.46,66,1553841588.258818
benign,157.240.3.20,192.168.137.46,222,1553841588.259542
benign,192.168.137.46,157.240.3.20,66,1553841588.260979
benign,192.168.137.46,157.240.3.29,74,1553841595.378977
benign,157.240.3.29,192.168.137.46,74,1553841595.413938
benign,192.168.137.46,157.240.3.29,66,1553841595.415128
benign,192.168.137.46,157.240.3.29,287,1553841595.415603
benign,157.240.3.29,192.168.137.46,66,1553841595.453094
benign,157.240.3.29,192.168.137.46,1464,1553841595.453854
benign,157.240.3.29,192.168.137.46,1464,1553841595.453922
benign,157.240.3.29,192.168.137.46,410,1553841595.453955
benign,192.168.137.46,157.240.3.29,66,1553841595.454974
benign,192.168.137.46,157.240.3.29,66,1553841595.456531
benign,192.168.137.46,157.240.3.29,66,1553841595.457417
benign,192.168.137.46,157.240.3.29,130,1553841595.464078
benign,192.168.137.46,157.240.3.29,536,1553841595.464728
benign,157.240.3.29,192.168.137.46,66,1553841595.495179
benign,157.240.3.29,192.168.137.46,237,1553841595.495272
benign,157.240.3.29,192.168.137.46,140,1553841595.495304
benign,157.240.3.29,192.168.137.46,110,1553841595.495358
benign,192.168.137.46,157.240.3.29,66,1553841595.49715
benign,192.168.137.46,157.240.3.29,97,1553841595.497427
benign,157.240.3.29,192.168.137.46,936,1553841595.511488
benign,192.168.137.46,157.240.3.29,66,1553841595.551957
benign,157.240.3.29,192.168.137.46,66,1553841595.572806
benign,192.168.137.46,157.240.3.35,74,1553841597.320063
benign,157.240.3.35,192.168.137.46,74,1553841597.35239
benign,192.168.137.46,157.240.3.35,66,1553841597.363563
benign,192.168.137.46,157.240.3.35,283,1553841597.364061
benign,157.240.3.35,192.168.137.46,66,1553841597.401624
benign,157.240.3.35,192.168.137.46,1464,1553841597.402247
benign,192.168.137.46,157.240.3.35,66,1553841597.403494
benign,157.240.3.35,192.168.137.46,1464,1553841597.403506
benign,157.240.3.35,192.168.137.46,409,1553841597.403571
benign,192.168.137.46,157.240.3.35,66,1553841597.404699
benign,192.168.137.46,157.240.3.35,66,1553841597.404845
benign,192.168.137.46,157.240.3.35,130,1553841597.410497
benign,192.168.137.46,157.240.3.35,937,1553841597.416178
benign,157.240.3.35,192.168.137.46,237,1553841597.440718
benign,157.240.3.35,192.168.137.46,140,1553841597.440794
benign,192.168.137.46,157.240.3.35,66,1553841597.441827
benign,192.168.137.46,157.240.3.35,97,1553841597.442224
benign,157.240.3.35,192.168.137.46,110,1553841597.446996
benign,192.168.137.46,157.240.3.35,66,1553841597.4852
benign,157.240.3.35,192.168.137.46,66,1553841597.517203
benign,157.240.3.35,192.168.137.46,1059,1553841597.718148
benign,192.168.137.46,157.240.3.35,66,1553841597.719675
benign,157.240.3.35,192.168.137.46,105,1553841642.627159
benign,157.240.3.35,192.168.137.46,66,1553841642.627454
benign,157.240.3.35,192.168.137.46,66,1553841642.710171
benign,192.168.137.46,157.240.3.35,66,1553841642.749022
benign,192.168.137.46,157.240.3.35,78,1553841642.749244
benign,192.168.137.46,157.240.3.35,105,1553841642.749536
