Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,157.240.3.35,74,1553842511.414345
benign,157.240.3.35,192.168.137.46,74,1553842511.446591
benign,192.168.137.46,157.240.3.35,66,1553842511.447938
benign,192.168.137.46,157.240.3.35,583,1553842511.448619
benign,157.240.3.35,192.168.137.46,66,1553842511.486802
benign,157.240.3.35,192.168.137.46,1464,1553842511.487374
benign,157.240.3.35,192.168.137.46,1464,1553842511.48873
benign,157.240.3.35,192.168.137.46,411,1553842511.48894
benign,192.168.137.46,157.240.3.35,66,1553842511.489596
benign,192.168.137.46,157.240.3.35,66,1553842511.492355
benign,192.168.137.46,157.240.3.35,66,1553842511.492797
benign,192.168.137.46,157.240.3.35,130,1553842511.507289
benign,192.168.137.46,157.240.3.35,152,1553842511.508031
benign,192.168.137.46,157.240.3.35,662,1553842511.508952
benign,157.240.3.35,192.168.137.46,66,1553842511.542463
benign,157.240.3.35,192.168.137.46,229,1553842511.54258
benign,157.240.3.35,192.168.137.46,140,1553842511.542626
benign,157.240.3.35,192.168.137.46,110,1553842511.542664
benign,192.168.137.46,157.240.3.35,66,1553842511.544548
benign,192.168.137.46,157.240.3.35,97,1553842511.546647
benign,157.240.3.35,192.168.137.46,1464,1553842511.599565
benign,157.240.3.35,192.168.137.46,642,1553842511.599639
benign,192.168.137.46,157.240.3.35,66,1553842511.601042
benign,192.168.137.46,157.240.3.35,938,1553842511.609784
benign,157.240.3.35,192.168.137.46,101,1553842511.639847
benign,192.168.137.46,157.240.3.35,66,1553842511.677926
benign,157.240.3.35,192.168.137.46,497,1553842511.846359
benign,157.240.3.35,192.168.137.46,1296,1553842511.846491
benign,157.240.3.35,192.168.137.46,1296,1553842511.846589
benign,157.240.3.35,192.168.137.46,1296,1553842511.846813
benign,157.240.3.35,192.168.137.46,1296,1553842511.846905
benign,157.240.3.35,192.168.137.46,1296,1553842511.847111
benign,157.240.3.35,192.168.137.46,1296,1553842511.847174
benign,157.240.3.35,192.168.137.46,1296,1553842511.847373
benign,157.240.3.35,192.168.137.46,1296,1553842511.847655
benign,157.240.3.35,192.168.137.46,1296,1553842511.847933
benign,192.168.137.46,157.240.3.35,66,1553842511.848044
benign,192.168.137.46,157.240.3.35,66,1553842511.850407
benign,192.168.137.46,157.240.3.35,66,1553842511.851661
benign,192.168.137.46,157.240.3.35,66,1553842511.851936
benign,192.168.137.46,157.240.3.35,66,1553842511.852216
benign,192.168.137.46,157.240.3.35,66,1553842511.852509
benign,192.168.137.46,157.240.3.35,66,1553842511.85374
benign,192.168.137.46,157.240.3.35,66,1553842511.854009
benign,192.168.137.46,157.240.3.35,66,1553842511.854295
benign,192.168.137.46,157.240.3.35,66,1553842511.854586
benign,157.240.3.35,192.168.137.46,1464,1553842511.878094
benign,157.240.3.35,192.168.137.46,1464,1553842511.878243
benign,157.240.3.35,192.168.137.46,1464,1553842511.87832
benign,157.240.3.35,192.168.137.46,1464,1553842511.87837
benign,157.240.3.35,192.168.137.46,1464,1553842511.878423
benign,157.240.3.35,192.168.137.46,1464,1553842511.878604
benign,157.240.3.35,192.168.137.46,1464,1553842511.878687
benign,157.240.3.35,192.168.137.46,1464,1553842511.878762
benign,157.240.3.35,192.168.137.46,1464,1553842511.878977
benign,157.240.3.35,192.168.137.46,1464,1553842511.879045
benign,192.168.137.46,157.240.3.35,66,1553842511.880982
benign,192.168.137.46,157.240.3.35,66,1553842511.881162
benign,192.168.137.46,157.240.3.35,66,1553842511.881886
benign,192.168.137.46,157.240.3.35,66,1553842511.882162
benign,157.240.3.35,192.168.137.46,1464,1553842511.882815
benign,192.168.137.46,157.240.3.35,66,1553842511.882825
benign,157.240.3.35,192.168.137.46,1464,1553842511.882927
benign,157.240.3.35,192.168.137.46,1464,1553842511.883092
benign,157.240.3.35,192.168.137.46,1464,1553842511.88328
benign,192.168.137.46,157.240.3.35,66,1553842511.883335
benign,192.168.137.46,157.240.3.35,66,1553842511.884041
benign,192.168.137.46,157.240.3.35,66,1553842511.884748
benign,157.240.3.35,192.168.137.46,1464,1553842511.885036
benign,157.240.3.35,192.168.137.46,181,1553842511.88506
