Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,74.125.195.113,847,1553847133.256961
benign,74.125.195.113,192.168.137.46,380,1553847133.301107
benign,192.168.137.46,74.125.195.113,66,1553847133.302335
benign,192.168.137.46,216.58.217.37,1434,1553847138.385051
benign,192.168.137.46,216.58.217.37,294,1553847138.385905
benign,216.58.217.37,192.168.137.46,66,1553847138.415326
benign,216.58.217.37,192.168.137.46,66,1553847138.419193
tracking,192.168.137.46,40.85.218.175,74,1553847138.443063
benign,216.58.217.37,192.168.137.46,359,1553847138.512564
benign,216.58.217.37,192.168.137.46,207,1553847138.513491
benign,216.58.217.37,192.168.137.46,227,1553847138.51366
benign,216.58.217.37,192.168.137.46,112,1553847138.513748
tracking,40.85.218.175,192.168.137.46,74,1553847138.52038
tracking,192.168.137.46,40.85.218.175,66,1553847138.525594
tracking,192.168.137.46,40.85.218.175,250,1553847138.529839
benign,192.168.137.46,216.58.217.37,66,1553847138.536383
benign,192.168.137.46,216.58.217.37,112,1553847138.540412
benign,216.58.217.37,192.168.137.46,66,1553847138.569737
tracking,40.85.218.175,192.168.137.46,1514,1553847138.60846
tracking,40.85.218.175,192.168.137.46,1514,1553847138.60953
tracking,40.85.218.175,192.168.137.46,1514,1553847138.609954
tracking,40.85.218.175,192.168.137.46,1514,1553847138.610107
tracking,40.85.218.175,192.168.137.46,1205,1553847138.610335
tracking,192.168.137.46,40.85.218.175,66,1553847138.610834
tracking,192.168.137.46,40.85.218.175,66,1553847138.611785
tracking,192.168.137.46,40.85.218.175,66,1553847138.612476
tracking,192.168.137.46,40.85.218.175,66,1553847138.612615
tracking,192.168.137.46,40.85.218.175,66,1553847138.613063
tracking,192.168.137.46,40.85.218.175,216,1553847138.664797
tracking,40.85.218.175,192.168.137.46,141,1553847138.740549
tracking,192.168.137.46,40.85.218.175,66,1553847138.742605
tracking,192.168.137.46,40.85.218.175,807,1553847138.749798
tracking,40.85.218.175,192.168.137.46,631,1553847138.859394
benign,192.168.137.46,13.107.5.88,85,1553847138.867711
benign,192.168.137.46,13.107.5.88,54,1553847138.869193
benign,13.107.5.88,192.168.137.46,54,1553847138.90139
tracking,192.168.137.46,40.85.218.175,66,1553847138.902753
benign,13.107.5.88,192.168.137.46,54,1553847138.90631
benign,13.107.5.88,192.168.137.46,54,1553847138.906563
benign,192.168.137.46,13.107.5.88,54,1553847138.909182
benign,192.168.137.46,20.36.243.0,96,1553847142.84157
benign,20.36.243.0,192.168.137.46,66,1553847142.971093
benign,192.168.137.46,20.36.243.0,212,1553847142.973113
benign,20.36.243.0,192.168.137.46,66,1553847143.064022
benign,20.36.243.0,192.168.137.46,123,1553847143.064121
benign,192.168.137.46,20.36.243.0,66,1553847143.065278
benign,192.168.137.46,34.238.173.60,66,1553847143.763394
