Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,45.60.110.19,74,1553848071.032209
benign,45.60.110.19,192.168.137.46,74,1553848071.055997
benign,192.168.137.46,45.60.110.19,66,1553848071.057359
benign,192.168.137.46,45.60.110.19,266,1553848071.06092
benign,45.60.110.19,192.168.137.46,66,1553848071.085084
benign,45.60.110.19,192.168.137.46,1514,1553848071.085935
benign,45.60.110.19,192.168.137.46,1514,1553848071.086959
benign,45.60.110.19,192.168.137.46,1266,1553848071.087133
benign,45.60.110.19,192.168.137.46,779,1553848071.087358
benign,192.168.137.46,45.60.110.19,66,1553848071.087526
benign,192.168.137.46,45.60.110.19,66,1553848071.08812
benign,192.168.137.46,45.60.110.19,66,1553848071.091847
benign,192.168.137.46,45.60.110.19,66,1553848071.092005
benign,192.168.137.46,45.60.110.19,192,1553848071.102931
benign,45.60.110.19,192.168.137.46,340,1553848071.124774
benign,45.60.110.19,192.168.137.46,129,1553848071.124832
benign,192.168.137.46,45.60.110.19,500,1553848071.126328
benign,45.60.110.19,192.168.137.46,104,1553848071.147223
benign,192.168.137.46,45.60.110.19,104,1553848071.149006
benign,45.60.110.19,192.168.137.46,591,1553848071.192986
benign,45.60.110.19,192.168.137.46,104,1553848071.193068
benign,192.168.137.46,45.60.110.19,66,1553848071.196775
benign,54.225.136.32,192.168.137.46,97,1553848073.791715
benign,192.168.137.46,54.225.136.32,66,1553848074.009688
benign,54.225.136.32,192.168.137.46,66,1553848078.800317
benign,192.168.137.46,54.225.136.32,66,1553848078.989246
benign,192.168.137.46,45.60.110.19,147,1553848079.13526
benign,45.60.110.19,192.168.137.46,66,1553848079.194621
benign,45.60.110.19,192.168.137.46,661,1553848079.397755
benign,45.60.110.19,192.168.137.46,104,1553848079.397894
benign,45.60.110.19,192.168.137.46,104,1553848079.449292
benign,192.168.137.46,45.60.110.19,78,1553848079.539483
benign,192.168.137.46,45.60.110.19,145,1553848085.071876
benign,45.60.110.19,192.168.137.46,66,1553848085.094472
benign,45.60.110.19,192.168.137.46,643,1553848085.213542
benign,45.60.110.19,192.168.137.46,104,1553848085.213631
benign,192.168.137.46,45.60.110.19,66,1553848085.217331
benign,192.168.137.46,45.60.110.19,66,1553848085.217605
benign,192.168.137.46,45.60.110.19,148,1553848085.75379
benign,45.60.110.19,192.168.137.46,66,1553848085.774488
benign,45.60.110.19,192.168.137.46,665,1553848085.866422
benign,45.60.110.19,192.168.137.46,104,1553848085.867273
benign,192.168.137.46,45.60.110.19,66,1553848085.903599
benign,192.168.137.46,45.60.110.19,66,1553848085.903795
benign,192.168.137.46,45.60.110.19,150,1553848086.970665
benign,45.60.110.19,192.168.137.46,66,1553848086.991079
benign,45.60.110.19,192.168.137.46,737,1553848087.104992
benign,45.60.110.19,192.168.137.46,104,1553848087.105395
benign,192.168.137.46,45.60.110.19,66,1553848087.139482
