Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,54.67.33.208,74,1553851943.93302
benign,54.67.33.208,192.168.137.46,74,1553851943.986665
benign,192.168.137.46,54.67.33.208,66,1553851944.02872
benign,192.168.137.46,54.67.33.208,255,1553851944.03616
benign,54.67.33.208,192.168.137.46,66,1553851944.088785
benign,54.67.33.208,192.168.137.46,1514,1553851944.089667
benign,54.67.33.208,192.168.137.46,1514,1553851944.090642
benign,54.67.33.208,192.168.137.46,1514,1553851944.090822
benign,192.168.137.46,54.67.33.208,66,1553851944.090851
benign,54.67.33.208,192.168.137.46,1117,1553851944.09088
benign,192.168.137.46,54.67.33.208,66,1553851944.091577
benign,192.168.137.46,54.67.33.208,66,1553851944.092083
benign,192.168.137.46,54.67.33.208,66,1553851944.092272
benign,192.168.137.46,54.67.33.208,192,1553851944.119866
benign,54.67.33.208,192.168.137.46,340,1553851944.169161
benign,192.168.137.46,54.67.33.208,370,1553851944.170172
benign,54.67.33.208,192.168.137.46,447,1553851944.228879
benign,54.67.33.208,192.168.137.46,1514,1553851944.229395
benign,54.67.33.208,192.168.137.46,1514,1553851944.229615
benign,54.67.33.208,192.168.137.46,1514,1553851944.229797
benign,54.67.33.208,192.168.137.46,1514,1553851944.229925
benign,54.67.33.208,192.168.137.46,1514,1553851944.230122
benign,54.67.33.208,192.168.137.46,1514,1553851944.230242
benign,192.168.137.46,54.67.33.208,66,1553851944.23036
benign,54.67.33.208,192.168.137.46,1514,1553851944.230476
benign,54.67.33.208,192.168.137.46,1514,1553851944.230571
benign,54.67.33.208,192.168.137.46,1514,1553851944.230885
benign,192.168.137.46,54.67.33.208,66,1553851944.231427
benign,192.168.137.46,54.67.33.208,66,1553851944.231695
benign,192.168.137.46,54.67.33.208,66,1553851944.231985
benign,192.168.137.46,54.67.33.208,66,1553851944.23227
benign,54.67.33.208,192.168.137.46,1514,1553851944.279921
benign,54.67.33.208,192.168.137.46,1514,1553851944.280099
benign,54.67.33.208,192.168.137.46,1514,1553851944.280544
benign,54.67.33.208,192.168.137.46,1514,1553851944.280591
benign,54.67.33.208,192.168.137.46,1514,1553851944.280659
benign,54.67.33.208,192.168.137.46,1514,1553851944.280696
benign,54.67.33.208,192.168.137.46,1514,1553851944.280717
benign,54.67.33.208,192.168.137.46,1514,1553851944.280764
benign,54.67.33.208,192.168.137.46,1514,1553851944.280854
benign,54.67.33.208,192.168.137.46,1514,1553851944.28088
benign,54.67.33.208,192.168.137.46,1514,1553851944.281034
benign,54.67.33.208,192.168.137.46,1514,1553851944.281106
benign,192.168.137.46,54.67.33.208,66,1553851944.281155
benign,54.67.33.208,192.168.137.46,1514,1553851944.281192
benign,54.67.33.208,192.168.137.46,1514,1553851944.281238
benign,54.67.33.208,192.168.137.46,1514,1553851944.281391
benign,54.67.33.208,192.168.137.46,1514,1553851944.281541
benign,192.168.137.46,54.67.33.208,66,1553851944.282187
benign,192.168.137.46,54.67.33.208,66,1553851944.282484
benign,192.168.137.46,54.67.33.208,66,1553851944.282797
benign,192.168.137.46,54.67.33.208,66,1553851944.283075
benign,192.168.137.46,54.67.33.208,66,1553851944.283313
benign,192.168.137.46,54.67.33.208,66,1553851944.283688
benign,192.168.137.46,54.67.33.208,66,1553851944.283882
benign,54.67.33.208,192.168.137.46,1514,1553851944.284908
benign,54.67.33.208,192.168.137.46,1514,1553851944.284969
benign,54.67.33.208,192.168.137.46,1514,1553851944.285228
benign,54.67.33.208,192.168.137.46,1514,1553851944.285274
benign,192.168.137.46,54.67.33.208,66,1553851944.286013
benign,192.168.137.46,54.67.33.208,66,1553851944.286536
benign,54.67.33.208,192.168.137.46,1514,1553851944.330938
benign,54.67.33.208,192.168.137.46,1514,1553851944.331165
benign,54.67.33.208,192.168.137.46,1514,1553851944.3313
benign,54.67.33.208,192.168.137.46,1514,1553851944.331524
benign,54.67.33.208,192.168.137.46,1514,1553851944.331696
benign,54.67.33.208,192.168.137.46,1514,1553851944.331824
benign,54.67.33.208,192.168.137.46,1011,1553851944.331997
benign,192.168.137.46,54.67.33.208,66,1553851944.332664
benign,192.168.137.46,54.67.33.208,66,1553851944.332979
benign,192.168.137.46,54.67.33.208,66,1553851944.333245
benign,192.168.137.46,54.67.33.208,66,1553851944.372122
benign,54.67.33.208,192.168.137.46,97,1553852004.28224
benign,54.67.33.208,192.168.137.46,66,1553852004.282406
benign,54.67.33.208,192.168.137.46,66,1553852004.420072
benign,192.168.137.46,54.67.33.208,66,1553852004.500615
benign,192.168.137.46,54.67.33.208,78,1553852004.501549
benign,192.168.137.46,54.67.33.208,66,1553852244.472253
